,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600271.SH,X600741.SH,X600066.SH,X002292.SZ,X002241.SZ,X000100.SZ,X600031.SH,X002236.SZ,X600177.SH,X600118.SH,X002506.SZ,X002475.SZ,X000559.SZ,X600372.SH,X000568.SZ,X000157.SZ,X000338.SZ,X002085.SZ,X002074.SZ,X300003.SZ,X002294.SZ,X300124.SZ,X600867.SH,X600089.SH,X002426.SZ,X002007.SZ,X002456.SZ,X000869.SZ,X000050.SZ,X002465.SZ,X002180.SZ,X600498.SH,X002508.SZ,X601877.SH,X002049.SZ,X000981.SZ,X002008.SZ,X600699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.0549742582475365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104015954289964,0,0,0,0,-0.012894917995575,0,0,0,0.0365672656319984,0.0222909343454784,0,0,0,0,0,-0.0580696751911182,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,-0.0312249636274389,0,0,-0.037446150772206,-0.0203768092827804,0.0452301828236059,0,0,0,0,0
X600104.SH,0,0,0.0779815739029308,0,0,0,0,0,0,0,0,0,0,0.358299257772803,0,0,0,0,0.0126918455696702,0,0.00969538373240054,0,-0.0129442373724607,0,0,0.0226774165391415,0,0,0,0.0162649125323624,0,0,0,0,0,0,0,0,0,0,0,0,0.0425780450534427,0,0,0,0,0,0,-1.0842021724855e-19,0,-0.00422970542777765,-0.0698520163306972,0,0,0,0,0,0
X002415.SZ,0,0.111099829022196,0,0,0,0,0,0.00881860809116745,0,0,0,0,0,0,0,0.0124612438781415,0,0.0990857265798104,0,0,0,0,0,0,0.00338287942739512,0,0,0,0,0.0216668953643115,0.0408158904445072,0,0,0,0,0.256041733261673,-0.111281922842568,0,0.249998783476131,0,0.0153218874928271,0,0,0,0.125160663452647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0.0356927151482462,0,0,0,0,0,0,0,0,0.0256599149489798,0,0,0,0,0,0,0,0,0,0,0.00102209782888477,0,0,0,0.0128273511226933,0,0,0,0,0.0353660294764029,0.000997019700984581,0,0,0,0,0,0,0,0,0,0,0,0.126214038443857,-0.00405451402624525,0,0.015927988917938,0.00353953887046764,0,0,0,0,0.0415242404301546,-0.0393345575688368,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.0879449883099104,0,0,0,0,0,0,0,0,0,0.0352511369082811,0,0,0,0.0725724191011102,0,0,0.0276794129433468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443988396702572,0,0.101724433318155,0,0,0.0125659540237133,0,0,0,0,0,0,0,0.0231559502895703,0,0,0,0,0,0,0
X002304.SZ,0.184111000071034,0,0,0,0.560752715798939,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0208401566969621,0,0,0.0323391082447354,0,0,0,0,0,0,0.00893809234417053,0,0.0335777929657944,0,0,0,0,0,0,0,0,0,0.0935925777041252,0,0,0,0,0.00391215648459828,-0.130451101251558,0,0.0172918701029865,0,0,-0.0112811542622742,0,-0.0445875795051113,-0.0168013115572976,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00629463108679909,0,-0.0412508375859383,0,0,0,0,0,0,-0.0536412796818115,0.20643834318963,0,0,0,0,0,0,0.0696500501979691,0,0,0,0.0939933878886761,-0.0245454007273121,0,0,0,0,0,0,0.00404514248519861,0,-0.024334230603621,-0.0107706095408495,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034695213973975,0,0,0,0,0.0928017369642467,0,0.0644544834519396,0,0.143062966049728,0,0,0,0,0.113263839923642,0.0118981283573817,0,0,0.21608458060677,0,0,0,0,0.0825513449716568,0,0.0157345689646348,0,0,0,0,0.00514360247756244,0.0152713011591393,0,0,0,0,0.00296512395334091,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0.175635952313249,0,0,0,0,0,0.022932437553634,0,0,0,0,0,0,0.0606111223492138,0.0563699506532174,0.0513605121293533,0,0,0,0,0,0,0,0,0,0,0,0,0.0743448639793562,0,0,0,0.0179303417649036,0,0,0.103907059568688,0.0465682707676089,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.247798514453535,0,0,0,0.247194125036534,0,0,0,0,0,0,0.0524869752190573,0,0,0.10856013789092,0,0.327383955788138,0.129158592578886,0,0,0,0,0,0,0.0667975184120551,0.0100848287490058,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.062165617804266,0,0,0,0,0,0,0
