,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X000100.SZ,X600031.SH,X600690.SH,X600276.SH,X000338.SZ,X600372.SH,X000157.SZ,X600741.SH,X002241.SZ,X600703.SH,X600089.SH,X600066.SH,X600271.SH,X600118.SH,X601877.SH,X002236.SZ,X000550.SZ,X600177.SH,X000581.SZ,X600582.SH,X002475.SZ,X000568.SZ,X300124.SZ,X002129.SZ,X000800.SZ,X000050.SZ,X000623.SZ,X600060.SH,X000559.SZ,X002294.SZ,X002292.SZ,X300146.SZ,X600839.SH,X300003.SZ,X002465.SZ,X002456.SZ,X000400.SZ,X000977.SZ,X600166.SH,X000869.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0,0,0.044731795204842,0,0.0455892458242527,0,0.173464339855964,0,3.46944695195361e-18,0,0,0.303510836859441,0,0,0.24706471907913,0,0,0,0,0,0.14874231482523,0,0,0,0,0,0,-0.102842260348706,0.00452314094751531,0,0.0764819933479123,0,-0.00831575073613051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138172658593377,0,0,0,0,0,0
X600519.SH,0,0,0,0,0,0,0.0812523424752518,0.170021921750187,0,0,0,0.146031880830196,0,0,0,0,0,0,0,0,0,0,0,0.0761599557731365,-0.0253911146996857,0,0.0167288918224562,0.0365415535043411,0,-0.0987524535221106,0.0342873847650294,0,0,0,0,0,0.00147149244809794,0,0,0,0,0,0,0,0,0,0,0,0.00402301348619591,0,0,0,-0.00566308598113401,0,-0.0995750917233872,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.232869906560392,0,0,0,0.242629599973501,0,0.0840709341708352,0,0,0,0,0,0,0.0627457437049863,0,0,0,0.0635456876312977,0,0,0,0.0490107073786495,0.0945412092283304,0,0,0,0,0,0,0,0,0,0.111576999288599,0.0606228586400328,0,0,0,-0.00359532223724698,0,0.0242255180437518,0,0,0,-0.000948636737333052,0,0,0,0,0,0
X000651.SZ,0.0817732990028283,0,0.208719230801191,0,0.043157448928286,0,0,0,0,0.0574772287314402,0,0,0,0,0,0,0,0,0,0,0,0.0744400577483794,0,0,0.0175156353912742,0,0,0.0342836619594288,0,0,0,0.135945342717553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379405000019958,-0.00828611299242531,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.356165791386498,0,0,0.0251104367597128,0.108588413438378,0,0,0,0,0,0,0,0,0,0,0.00884517513227759,0,0,0,0.181212059040867,0.0209441798974232,-0.182362596024895,0,0,0,0,0.189693105045353,0,0.16468722329545,0,0,0,0,0,0.0172631866029234,0,0,0,0,0,0.129166313943358,0,0,0,0,0,0,0.00148682153267305,0,0,0,0,0,0
X000625.SZ,0.154887756770177,0,0.0380978767654672,0.12414443234608,0,0,0.235230665984873,0,0,0,0,0,0,0,0,0,0.0258831559842609,0,-0.083851955874401,0,0,0,0,0,0,0.28976867676108,0,0,-0.10721895316503,0,0,0,0,0,0.0321187784158482,0,0,0,0.0907878293600181,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269014960952832,0,0.0594734638327702,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.145806591407784,0,0.0341537010133271,0,0,0.35475904352855,0,0,0,0,0,-0.157454284471297,0,0.0376134412338065,0,0,0,0,0.282202431087658,0,0,0,0,0,-0.0232924954909769,0,-0.00768812776173294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244401228883999,0,0,0,-0.0273567305481158,0,0,0,0,0,0
X000858.SZ,0,0,0.104423404571857,0,0,0,0.0820284706241255,0,0.0589371507046051,0.0500900651582974,0.200631275630193,0.0923429724405827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0785042650633511,0,0,0.0469765194502448,-1.73472347597681e-18,0.00702820162809616,0,0,0,0,0,0.0452202525411672,0,0,0,0,-0.0423036303008029,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0.0572981433349653,0,0,0,0.0240334610219895,0,0,0.145657778158443,0.0893435703997731,0,0,0.105321436400946,0,0.0432966609870824,0,0,0,0,0,0,0,0,0,0,0.0544755048678068,0.00297031192714204,0,0,0,0.127620154593744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0497470136122736,0.158046477672969,0,0.0988269851381555,0,0.0259807564607564,-0.00288811164372747,0.00498080399614052,0,0,0,0,0
X000100.SZ,0,0,0.306833466360953,0,0,0,0,0,0,0,0,0.0673188363070782,0,2.16840434497101e-19,0,0,0,0,0,0.0661859772023918,0,-0.0373971228044892,0,0,0,0.0401170288949635,0,0.0270293599121736,0,0,0,0,0,0.0649090401399194,0,0.0189459334806676,0.326790524522281,0,0,0,0,0.022958136028915,0,0,0,0,0,0,0,0,0,0,-0.00720475482790527,0,0,0,0,0,0
