,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X002236.SZ,X600031.SH,X300003.SZ,X000338.SZ,X601877.SH,X300124.SZ,X002008.SZ,X600809.SH,X002456.SZ,X600867.SH,X000625.SZ,X600271.SH,X600066.SH,X600487.SH,X000100.SZ,X000981.SZ,X002294.SZ,X600566.SH,X002241.SZ,X300142.SZ,X000596.SZ,X002508.SZ,X000661.SZ,X002049.SZ,X000157.SZ,X000050.SZ,X002180.SZ,X300136.SZ,X000977.SZ,X002179.SZ,X600522.SH,X002038.SZ,X600089.SH,X600498.SH,X002129.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.534169035846475,0,0.0953458304990649,0,0,0.0169354270506806,0,0,1.73472347597681e-18,0.0034003134974574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111768505601316,0.0196911483880974,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0998977828025086,0,0,0,0,0,0.093571338757427,0.152547270382941,0,0,-0.114101974502681,0,0,0,0,0.0107789237285475,0,0,0,0,0,0,0,0,0,-0.194755137382425,0,0,0,0,0,0,0,0,0,0,-0.0687617677162536,0,0,-0.0168183773997243,-0.00349173629006456,0,0,0,0,0,0
X002415.SZ,0.22058227202398,0,0,0,0,0,0.022946142992751,0,0,0,0,0,0,0,0.175817586715768,0,0.0457958280221689,0.0581832989012613,0,0,-6.93889390390723e-18,0,0,0,0,-0.0297754368371571,0,0.362036942046274,0,0,0,0.0711394458291005,0.0922561253346022,0.00801827013730329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0252603605212202,0,-0.0452012992899445,0,0,0,0,0
X000858.SZ,0.337030036053493,0,0,0,0.157255019484912,0,0,0,0,0,0.493190245566325,0,0,-0.0807295070376026,0.0172873573944812,0.0468256066265502,0,0.0954284945727017,0,0,0,0,0,-0.0364729186182326,-0.112037432497121,0,0,0,0,-0.0166606392349557,0,0,0,0,0,0,0,0,0,0,0.0425112440176507,-0.0116065424885018,-0.0181291528889002,0,0,0,0,0,0,0,0,0.00620704634010647,-0.00745714418799337,0,0,0,0,0,0
X000651.SZ,0,0,0,0.240322880628494,0,0,0,0,0,0.54733097055958,0,0,0,0,0,0,0,0,0,0,-0.0203930331938719,0,0.11615075476199,0,0,0,0,0,0,0,0,0,-0.0935979655970433,0,0,0.00159341068208635,0,0,0,0,0,0,-0.0588657868720427,0,0.354199867660659,0,0,0,0,0,0,0,0.0361985751932232,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0874089222447279,0,0.0693318420625703,0,0.073337902525618,0,0,0,0.049665405005958,0.10999264208968,0.381051477559302,-0.0831966110637017,0.127595978705536,0,0,0,0,0,0,-0.0725424267647308,0,0,0,0,0,0,0,0,0,0,0.0954086480196374,0,0,0,0,0,0,0,0,0.138495116142826,0,0,0,0,0,-0.0495949061175155,0.0323239916167735,0,0,0,0,0,0
X002304.SZ,0,0.00621653271588848,0,0,0,0.129224878701418,0,0,0,0.181349803046442,0.295158507633474,0,0.178035616098061,0,0,0,0,0,0,0,0,0,0.0207194479496038,0,0,0,0,0,0,0,0.0420387278809568,0,0,0,0,0.328530271307444,0,0,0,0,0,0,0,0,0,0,0,-0.112148834228544,-0.020972675332407,0,0,0.0248707131475028,-0.0280430632666012,-0.047466072735414,0,0,0,0,0
X000725.SZ,0,0,0.0605403795364448,0,0,0,0,0,0.290669178459906,0,0.0248808113471036,0,0,0,0.0917583711600592,0,0.0348682261596726,0.181248317383451,0,0,0,0,0,0,0,0,0,0,0.306518392536586,0,-0.0149693546819485,0,0,0,0,0.00897038659896279,0,0,0,0,-0.0986963189190487,0,-0.106727536835682,0,0,0,0.287792081936593,0.0302667767443234,0,0,0,-0.00826455033499632,0.0731940569956189,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0.332212220131831,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.119574734105148,0,0,0,0,0,0.31140776258143,0.154990449790608,0,0,0.317128819905748,0,0,0.146117959704197,0,0,0,0,0,0,0,0,-0.0364170543694824,0,0,0,0,0.165931347609134,0,0,0.0330409199616212,0.0650704364667057,0,0,0,0,0,0
X600690.SH,0,0,0.0351882027038161,0.198569099802829,0.285606077010077,0,0.053468737765318,0,0,0,0.138510580917941,0,0.032521256498477,0,0,0,0,0,0,0.0355837075010902,0,0,0,0,0,0,0.0889923802412715,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00197410559596715,0,0,-0.198605577937294,0,-0.0139514327412577,0,0.00635410287975675,0,0,0,0.0188261320596238,-0.00520008324784777,0,0,0,0,0,0
