,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000063.SZ,X002304.SZ,X000858.SZ,X000625.SZ,X600690.SH,X600031.SH,X600276.SH,X600271.SH,X000100.SZ,X600118.SH,X600372.SH,X000157.SZ,X600703.SH,X000338.SZ,X002129.SZ,X002241.SZ,X000559.SZ,X600741.SH,X600089.SH,X300124.SZ,X600177.SH,X600839.SH,X600066.SH,X002456.SZ,X002236.SZ,X600582.SH,X002292.SZ,X002465.SZ,X600198.SH,X600435.SH,X000977.SZ,X002475.SZ,X600060.SH,X600498.SH,X002276.SZ,X000800.SZ,X601877.SH,X300003.SZ,X000623.SZ,X000581.SZ,X002008.SZ,X000050.SZ,X000568.SZ,X600166.SH,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0832495359162816,0,0,0.0129690557883271,0,0,0,0,0.0544692538843633,0,0.0114565894914503,0,0,0.0361949982498926,0,0,0,0,0,0,0,0,0,0.0200446573268221,0.0163652085602761,0,0,0,0,0,0,0,0,0,0,0,0,0.0771745890624721,0,0,0,0,0,0,0,0.287178464820414,0,0,0,0,0.00343451409388758,0,0,0,0,0,0
X600104.SH,0,0,0.153088691778966,0,0,0.014882116593905,0,0,0,0,0,0,0.0203789198501064,0,0,0.0798020444210076,0,0,0,0,0,0,0,0,0,0,0.0331148185957744,0,-0.0121969552953041,0.0583008522624651,0,0,0,-0.0173857115062755,0,0,0.0271050705406166,0,0.0103481877335754,0.0415021489880566,0,0,0,0.0952348312792028,0,0,0,0.12978724459767,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0.115770421237359,0,0,0.0223720042174417,0,0.0370676207858988,0,0,0.0111010252989007,0.0200607270158977,0,0,0.0741436602275528,0,0,0,0.0785724379273415,0,0,0,0,0,0,0,0,0,0,0,0.0017485860595335,0,0,0,0,0,0,0,0,0.148465484509714,0,0,0,0,0,0,0,0,0,0.0705451435216714,0,0,0,-4.15979389102995e-05,0.0136645818935389,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.109950193332322,0,0,0,0,0,0,0.0669741650039175,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.00755116842685278,0,0,0,0,0,0.00803368897358083,0.0278443553932584,0,0.236278814873232,0,0,0.061090958396343,0,0,0,0.0975968172491471,0,0,0,0,0,0,0,0,0,0,0,-0.0206946689844012,5.42101086242752e-20,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0925387587975027,0,0,0.137694626089203,0,0,0,0,0,0.162212081045822,0,0,0.0629624649077475,0,0,0,0.226380862500549,0,0,0,0,0,0,0,0.21670075141741,0,0,0.0707686642569022,0.117442035994904,0,0,0,0,0,0,0,0,-0.00115818637958649,0,0,0,0,0,0,0
X000063.SZ,0.0845245638965722,0,0.163804165151837,0,0,0,0,0,0,0,0,0,0.0597041964077351,0.056213398855378,0,0,0.0580761106966858,0,0,0,0,0,0,0.152711323627105,0,0,0.0391145258618926,0,0,0,0,0,0,0,0,0.101052711459575,0,0,0.123349156179695,0,0,0,0,0,0,0,0,0.129200961509236,0,0,0,-0.0101975897740796,0.000707392776831959,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071391717018604,0,0.087386334716039,0,0,0,0,0,0,0.0303271715323702,0,0,0,0,0.0197540018290094,0,0,0,0,0,0.0978271529661151,0,0,0.049907873546386,0.00250491335481321,0,0.113835723406934,0,0.0508900489333776,0,0,0,0,0,0.0508512837201471,0,-0.00165635840711364,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0613205891311923,0,0,0,-0.0116186672920625,0,0,0,0.0826926541512993,0,0,0,0.103375077467026,0,0,-0.00256776015599871,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0.351714336283103,0,0,0,-0.00331490550987581,0,0,0,0,0,0,0
X000625.SZ,0.0545692804556509,0,0,0,0,0,0,0,0,0,0,0,0.0603216978973486,0.0483235942997713,-0.00180869558612833,0,0.175962694720855,0,0,0,0,0.0527120800984324,0.0964929824091611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00426631381150399,0,0,0,0,0,0,0,0,0,0,0,0,0.0095402176982065,0.0688644652136607,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0297559400251911,0,0,0,0,0,0.054766064657241,0,0,0.00857053855737441,0,0,0,0,0.106718432492402,0,0,0,0,0,0,0.0247039437401335,0,0,0,0.0325162257482337,0.0414829890470466,0.113210399228223,0,0,0,0,0,0,0,0,0,0,0,0.00279663935706759,0.00258242747840881,0,0,0,0,0,0
