,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X000651.SZ,X600104.SH,X000661.SZ,X002304.SZ,X600031.SH,X000063.SZ,X000568.SZ,X000725.SZ,X003816.SZ,X600809.SH,X600690.SH,X000338.SZ,X002241.SZ,X600703.SH,X300142.SZ,X002007.SZ,X002371.SZ,X000596.SZ,X300014.SZ,X300124.SZ,X002049.SZ,X000100.SZ,X600741.SH,X300003.SZ,X002129.SZ,X600584.SH,X002236.SZ,X601877.SH,X000157.SZ,X000800.SZ,X600183.SH,X002414.SZ,X000066.SZ,X000625.SZ,X300136.SZ,X000977.SZ,X002179.SZ,X002456.SZ,X600118.SH,X002185.SZ,X002008.SZ,X002180.SZ,X300146.SZ,X601799.SH,X002463.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.420999791105001,0,0,0,0,0,0,0,0,0,0.00537966056969292,0,0,0,0,0,0,0,0.0380286893099373,0,0,0.0714514580876889,0,0,0.0377713359599853,0,0,0,0.039688625043053,0.0296751050765569,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.00699114751557981,-0.00396016486936305,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.143768904488808,0,0,0.228534154779256,0,0,0.402581057523714,0,0,0.0300156268569585,0.0594341064418233,0.00456445120681787,0,0.0330573986747043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031701757203084,0,0,0,-0.00806413020130487,1.0842021724855e-19,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.234336848716043,0.187073002632293,0,0,0,0,0,0,0,0,0.0678723914566983,0.00786076362066542,0.0199001712551676,1.73472347597681e-18,0.00202664631396137,0,0,0,0,0,0,0,0.0255220082997792,0,0,0,0,0,0,0.0646159672881942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0049403693357224,0.00491960865323818,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0559530324482858,0.0143319623742151,0,0,0,0.00141854985449027,0.276965788904948,0,0,0,0,0,0,0,0.0809367056748745,0.0779240014577202,0,0,0,0,-6.93889390390723e-18,0.0262085572260976,0,0,0,0,-0.0562333274133124,-0.014908455989691,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320874913197964,0,0,0.0726017990053425,0.0125016909883659,0.0214803377902698,0,0,0.0105659627508983,0,0,0,0.0319028381106725,0.0432218130163941,0,0,0,0,0,0,0,0,0.0466556323348541,0,0,0.0785944185310051,0,0.0582331898544193,0.0156312100806411,0,0.0169183494070228,0,0,0,0,-0.0224025666508945,0,0,0,0,0,0
X000651.SZ,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0.0482008259044261,0,0.0374198712109375,0,0,0,0.145182279038986,0.140466525164159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0695963869507651,0,0,0,0,0,0,0,0.057383234960676,0,0,0.0463057502698306,0,0,0,0,0,0.0148520337573047,-0.0116583323150085,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,-0.0395046464950016,0,0,0,0,0,0,0,0.0268425622307317,0,0,0,0,0,0.0120107978556035,0,-0.126951877805072,0,0,0,0,0,0,0,0.0441937556693518,0.0503337526483273,0,0.0274185764057336,0,0,0.0717319425913837,0.11119664059787,0,0,0,0.0917646827974763,0,0,0.0979493765212951,0,0,0,0,-0.0133506615985082,-0.018794834303392,0.0146865024962395,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0.340390240113917,0,0,0,-0.012407158376398,0,0,0,-0.0624353152396581,0,0,0.108080671485516,-0.129090151556448,0,0,0,0.138732996005777,0,0,0,0,0,0,0,0.0150980553241,0,-0.0939397988116754,0,0,0,0,0,0,0.0965137591562491,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.124328812381407,0,0,0,0.012820958879427,-0.0174821358522937,0,0,0,0,0,0
X002304.SZ,0,0.126821499026019,0,0,0,0,0,0,0,0,0,0.448284309207442,0,0,0.10169034837856,0,0,0,0,0,0.0314919570670128,0.00126239483434739,0.11977846909057,0,0,0.00762000646647142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,-0.141492075231206,0,0,0,0,0,0,0,0,0.265237131101559,0,0,0.00888169323686957,0,0,0.188316966331088,0,0,0.0999765769062812,0,0,0,0,-0.105081075468878,0,0,0.164466557295336,0,0,0,0,0,0.0945917264587666,0,0,0,0,0,0,0,0,0,0.139135314003213,0,-0.0108203824934809,-0.0192155953677183,0,0,0,0,0,0
