,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X600690.SH,X000651.SZ,X000625.SZ,X300124.SZ,X002304.SZ,X600104.SH,X003816.SZ,X000725.SZ,X000063.SZ,X000596.SZ,X002371.SZ,X000338.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X600703.SH,X600089.SH,X002241.SZ,X002236.SZ,X600372.SH,X002129.SZ,X000661.SZ,X002049.SZ,X000157.SZ,X600584.SH,X000977.SZ,X600741.SH,X601877.SH,X600522.SH,X600183.SH,X002007.SZ,X000800.SZ,X002463.SZ,X601799.SH,X002028.SZ,X600460.SH,X600418.SH,X002074.SZ,X002294.SZ,X000066.SZ,X300142.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.400574145797364,0,0,0.280631159568811,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0133240292112587,0,0,0,0,0,0,0,0,-0.139316174953922,0,0,0,0.186184771387593,0,0,0,0,0,0,0,0.186349116238377,0,0.093827359848525,0,0,-0.0157705916558079,0.0156103454643089,0,0,-0.00328577184691583,0,0,0,0,0.0672028536270532,0,0
X000858.SZ,0.136681652580563,0,0,0,0.103763916978707,0.306214853691825,0,0.119006733781792,0,0,-0.0137433324446364,0.0277643775317629,-0.0876487044986353,0,0,0,0,0,0,0,0.0488109506054576,-0.000335580469426683,0.0882417802988775,0,0,0,0,0,0.0792732974369034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171082576952231,0,0,-0.0018074800761994,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,-0.0101313827731466,0.0473875203540144,0,0,0,0,0,0.0583799865060782,0,0,0,0,0.10405418459044,0,0,0,0.260634765234896,0,0,0,0,-0.0492781533375928,0,0,0.0893635048539467,0,0,0,0,0,0,0,-0.0501150744018049,0.129403056488947,0,3.46944695195361e-18,0,-0.0440740239404113,0,0,0,0.0678591607763122,0.0109268328116403,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0822490508095562,0,0,0.0412107364827909,0,0,0,0,0,0,0,0,0.110479670408464,0,0,0,0,0,0,0,0.00922411130672568,0,0,0.065304116989256,0,0,0,-0.0211395924476532,0,0,0,0,0,0,0,0,0,0,0,0,0.24092334187551,-0.0379276193793524,0,0.038721378336638,0,0.0152484217992307,-0.0101423375900272,0,0,0,0,0,0
X600809.SH,0.238165110754881,0,0,0,0,0.281370691817753,0,0,0,0,0,0,0,0,0,0,0.240556023163742,0,0,0,0,0,0,0,0,0,0.101341049080744,0,0,0,0,0,0,0.0283956787913113,0,0,-0.0812487969211253,0,0,-0.0904566722713401,0.0393441876837113,0,0,0,0,0,0,0,0,0,0,0.0243713225827632,-0.0514726414985881,0,0,0,0,0,0
X000568.SZ,0,0.572455510336432,0,0,0.435404252884532,0,0,0,0,0,0.0189675817989972,0,0,0,0,0,0,-0.0171571877090498,0.0954273484610124,0,0,-0.0731190844805683,0,-0.0868101070616408,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,-0.0833901599802201,0,0,0,0,0,0,-0.0175383439860651,0,-0.0130514804015666,0,0.0260624987924224,0,0,0.0031259016567254,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165077400162706,0,0,0,0,0.213819642525803,0.116722911517326,0,0,0,0,0,0.093939920003619,-0.152844107583757,0,0,0,0,0,0,0,0.134962165214912,0,0,0.137768168261953,0,0,0.0314733942715864,0,0,0,-0.0381536999663114,0.0668736303525833,0,0,0,0,0,0
X600690.SH,0.139294563801619,0,0,0,0,0.113764767170445,0,0,0.0242281262252454,-3.46944695195361e-18,0,0,-0.0562232066442186,0,0,-0.0243333345385789,0.152696856842219,0,0.0530816258278178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0223080426058427,0,0,0.0420843728598226,0,0,0,-0.0331828173891479,0,0,0,0,0,0,0,0,0,0.0108260013336286,0.0177519854642361,-4.33680868994202e-19,0,0,0,0,0,0
X000651.SZ,0,0,0,0.128302237505674,0,0,0,0.0999588079704494,0,0.00318094128843431,0,0,0,0,0,0,0,0,0.0540997889441703,0,0,0,0,0,0,0,0,0,0,0,-0.246230277630005,0,0,0,0,0,0.141001702816036,0,0,0.0357643709846888,0,0.177188931133229,0,0,0,0,0,-0.034462316816465,0.0915726522858426,-0.0444862815259196,0,0.0181787860062374,-0.0731731240324029,0,0,0,0,0,0
X000625.SZ,0,0,-0.243550583001559,0,0,0,0,0,0,0,0.0393891106314209,0.131484353307784,0,0.00929669553265148,0,0,0,0,0.351528053774012,0,0.0683572983888237,0,0,0,0,0,0,0,0.198579977050261,0,0,0,0,0.0259556492809376,0,0,0,0,0,0.140084782562107,0.0425462479050798,0.104507580295992,0,0,0.323334663632402,0,0,0,0,0,0,0.0164919363049459,0,0,0,0,0,0,0
