,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X600741.SH,X000625.SZ,X002236.SZ,X002475.SZ,X002241.SZ,X600031.SH,X600066.SH,X000338.SZ,X002456.SZ,X002508.SZ,X000100.SZ,X601877.SH,X300124.SZ,X600177.SH,X300136.SZ,X300003.SZ,X600522.SH,X002008.SZ,X600271.SH,X002007.SZ,X002294.SZ,X000157.SZ,X002085.SZ,X600118.SH,X600089.SH,X600487.SH,X600566.SH,X600809.SH,X600867.SH,X600699.SH,X600372.SH,X000559.SZ,X000623.SZ,X000596.SZ,X300115.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,-0.0378238146494603,0,0,0,0.177804463821403,0,0,0,0,0.0191727869109973,0,0,0,0,0,0,0,0,-0.0295520968630126,0,0,0,0,0.0413407658261583,0,0,0,-0.00415217062035037,0.135924351326197,0,0.173177518663633,0.0420006079201688,0,0.225473006481522,0,0,0,0,0,0.213921978377359,0,-0.0580994163645397,0,0.0137792285834387,-0.0157718191098123,0,0,0,0,0,0
X600104.SH,0,0,0,0.22380439653782,0,0,0,0,0.165539931811204,-0.0208988442170754,0,0,0.436066152271509,0,-0.00766983349060698,0,-0.0599998277666604,0,0,0,0,0,0,0,-0.114396902421972,0,-0.0547721384600005,0,0,0,0,0,0,0,-0.0964245239498056,0,0,0,0.188212327095819,0,0,0,0,0,0,0,0,0,-0.21385534476956,0.0171868875227481,-0.017188317339017,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.167415515823542,0.0397800834410496,0.0125486065482179,0,0,0,0,0,0,0,0.293883939976629,0,0,0,0,0,0,0.132032943015438,0,0,0,0,0,0,0.0352220271102687,0,0.110147694862617,0,0,0,0,0,0,0,0.041064517571591,0,0,-0.312651140314386,0,-0.054709080723982,0,0,0,0,0,0,0.0271949558041843,0,0,0,0,0,0
X000651.SZ,0.109208507702909,0,0,0,0,0.0408639807985019,0.0505920217267196,0,0.21113091695453,0.173566491824702,0.0482618668047553,0,0,0,1.0842021724855e-19,0,0,0,0.0452517943098549,0,0,0.115098016253231,0,0,0,0,0.0671950582108748,0,0,0,0,0,0,-0.0230895969177751,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144885246070831,0,0,0.00149435067365681,0,0,0,0,0,0
X000858.SZ,0.0581733878551759,0.0142480411525623,0,0,0,0,0.0162131526642093,0,0,0,0,0.604566696649281,0,0,0.0984696228349106,0,0,0,0,0,0,0,0,0.0896784598576905,0,0,0,0.0121191965785046,0,0,0,0,0,0,0,0,0,0,0,0.00745655581657261,0,0,0,0,0,0,0,0,0,-0.00318156098507117,-0.00122438266789445,0,0,0,0,0,0
X600276.SH,0,0.133693719706612,0.0650033261794013,0,0.0154643850256679,0,0,0,0,0,0,0,0,0,0,0,0,-0.0953895191284125,0,0,0,0,0,0,0,0,0,0,0,0,-0.148329188955299,0,0,0,0,0,0,0,0,0,0,0,-0.0511786373352693,-0.143032728381144,0,0.0609871074845123,-0.00790499639845262,-0.0182270718317381,0,0.0112217602749132,0.0119874258035708,0,0,0,0,0,0
X000725.SZ,0,0,0.377285440771462,0,0,0,0,0,0,0,0,0,0,0,-0.068969069441937,-0.112519157263932,0,0,0,0.0546635338701513,0,0,0,0,0,0,0,0,0,-0.00783439639377184,0.256012905926314,0,0,0,0.285326772112583,0,0.422119056987895,0.0172335240905193,0,0,0,0,0.178057670766502,0,0,0,0,-0.0134418393003959,0,0,0.0200902046983206,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0.245481038293244,0,-0.168509349271948,0,0.21385618742897,0,0,0,0.0209613683398048,0,0,0,0,0,0,0,0,0,0,0.145569161158886,0,0,0,0,0,0,0,0,0,0,0.206210843969165,0.0575815601406551,0,-0.0660457402706453,-0.181600131028039,0,0,0.669227308680514,-0.395875689488224,0,0,-1.0842021724855e-19,0.0449107781627136,0,0,0,-0.423849035630111,0,0
X600690.SH,0,0.460940092982785,0,-1.38777878078145e-17,0,0,0,0.101575350311009,0,0,0,0,0.149442879671146,0,0.0800183954287757,0,0,0,0,0,0,0,0,0,0,0,0.0464777637914314,-0.128355426089403,0,0,0,0.0133484949354325,0,0,0,0,0,0,0,0,0,-0.0380753987788738,0,-0.0974093985412999,0,0,0.0697791660137212,0.0788497991920116,0,-0.00137717841306893,-0.0108222805124366,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.0163694851661357,-0.0409075726897238,0,0,0.175584790436159,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138280620969823,0,0,0,0,0.0592649620721833,0,0,-0.163155663777956,0,-0.048450573229454,0,0,0.1350239466726,0,0,0,0,0.0842415387868287,0,0,0,0.130468006308525,0,0,0.00463814852238742,-0.0242994083266086,0,0,0,0,0,0
