,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X000338.SZ,X600031.SH,X300003.SZ,X002236.SZ,X000063.SZ,X002008.SZ,X600809.SH,X600867.SH,X300124.SZ,X600271.SH,X601877.SH,X002456.SZ,X000596.SZ,X000625.SZ,X000661.SZ,X600066.SH,X600487.SH,X600566.SH,X000100.SZ,X002294.SZ,X002179.SZ,X002007.SZ,X000977.SZ,X002241.SZ,X300142.SZ,X000157.SZ,X300136.SZ,X002180.SZ,X000981.SZ,X000050.SZ,X600498.SH,X000869.SZ,X002049.SZ,X002508.SZ,X600779.SH,X600177.SH,X600522.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.144256225657573,0.121463493422117,0,0.0217948924476816,0,0,0,0,0,0,0.0253552208803371,0,0,0,0,0,0.017695082211337,0,0,0,0,0,0,0,0,0,0.0152537880231701,0,0,0,0,0,0,0,0.0371783768539446,0,0,0,0,0,0.0646336339576798,0.113804887990664,-8.67361737988404e-19,0,0,0,0,0,0.01495058375918,0.00570033070465161,0,0,0,0,0,0
X600104.SH,0,0,0.0870847706619671,0,0,0,0,0,0.172909613952891,0.0406240119746483,0,0.326663423333279,0.0632517591990239,0,0.0147162006570257,0,0,0,0.060127747413932,0,-0.125911697938896,0.029704495311665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11202191231505,0,0,-0.103498860105802,0,-0.047805627748157,0,0,0,0,0,0.0257376256752332,-0.0163974308981941,0,0,0,0.128932043146481,0,0
X002415.SZ,0,0,0,0,0,0,0.0455216667510312,0,0,0,0,0,0.0388794019407089,0,0,0,0.291105841200054,-0.0650336840291446,0.00405248587919254,0,0,0.106271233425985,0,0,0,0,0,0,0,0.0606738013727756,0.20802892847656,0,0,0,0,-8.67361737988404e-19,0.0642272129811172,0,0,0,0,0,0,0,0,0,0.166226134996489,0,0,0,0,0.0066054112418001,-0.0369435820481421,0,0,0,0,0,0
X000858.SZ,0.0754684446821306,0,0,0,0,0,0.266318999755338,0,0.0957967010090656,0,0,0,0.0126576148066933,0,0,0,0.223267999669136,0,0,0,0,0,0,0.0215541438763101,0,0.00665753818637164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0414961784395175,0.0684980657823502,0,0,0,0.0010667278759069,0.031971379899977,0,0,0,0,0,0
X000651.SZ,0,0,0,0.0512689736126368,0,0,0,0,0.0702095012002303,0,0.225622762279238,0,0,0,0,0,0,0,0,0.20663309551533,0,0,0,0,0,0,0,0,0,0.0160025508963043,0,0,0,0,0,-0.0387561345885877,0,0,0,0.0587251626377373,-0.170144072085597,0,0.016158525783398,0,0,0,0,0.158558969986618,0,0.0964097522988349,0,-0.0571363713453699,0.162747237970911,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.158283182759086,0,-0.062945572509137,0,-0.205365480507412,0.3472269204995,0,0,-0.0212552080642589,0,0,0,0,0,-0.0933502338214183,0,0,0,0.31490659717544,0,0,0.159582886719674,0,0.052711506323805,0,0.0178401304242028,-0.0727022245722608,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.226702006463258,0,0,0,0,0.0304750154621585,0,0,0,0,0,0
X002304.SZ,0,0,0.158113168795505,0,0,0,0,0,0.324983726861394,0,0,0,0,0.000293459016008329,0,0,0,-0.0933100971877102,0,0.310479056389038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0176139395720883,0,0,0,0,0,0.0292682069103932,0,0,0,0,0,0,0.0441042363959847,0,0,0,0.0385787357117782,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0753980429920716,0,0,0,0,0,0.0421936562903156,0,0,-0.211082770970892,0,0,0,0,0,0,0,0.050300651695843,0,0,0,0.149367314563235,-0.132512364224401,0.0559511662734708,0.19869420760281,0.207734771598095,0,0,0,0,0,0.125494985087251,-0.123953681922528,-0.00682700472660882,1.73472347597681e-18,0,0,0,0,0,0
X600690.SH,0,0,0,0.442817034074486,0,0,0.257306002272659,0,0,0,0,0,0,0,0,0,0.00485182596275688,0,0,0.00179812254988695,0,0,0.0333759563853068,0,0.0924769333026238,0,0,0,0,0,0.0256673900382432,0,0,0,0,-0.118786096477845,0,0,0,0,0,0,0,0,0,0,0.0107184950721839,0,0,0,0,0.00520538225530265,0.00891459925219606,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0,0.130346097937995,0,0,0.15415211200539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121724718729746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286206857678111,0,-0.0593955378867893,0,0.104749015551457,0,0.0726042716326553,0,0.0325109594551087,0.0177251785857799,0,0,0,0,0,0
