,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X600104.SH,X003816.SZ,X000568.SZ,X000725.SZ,X300124.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X600418.SH,X002179.SZ,X002241.SZ,X002463.SZ,X600584.SH,X000977.SZ,X600089.SH,X600703.SH,X000066.SZ,X600372.SH,X600839.SH,X000157.SZ,X002028.SZ,X002049.SZ,X002236.SZ,X600522.SH,X002456.SZ,X600741.SH,X600183.SH,X600066.SH,X601877.SH,X600460.SH,X002156.SZ,X000661.SZ,X000800.SZ,X002129.SZ,X002085.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.360149233976489,0,0,0,0,0.0638021688613252,0,0,0,0,0,0,0,0,0,0,0.136832842956716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00263984340883782,0,0,0,0,0,0,0,0,0,0,-0.132101691875801,-0.020043579694769,0,0,-0.072167623623252,0,0
X000858.SZ,0.52485041411073,0,0,0,0,0,0.402318064829619,0,0,0.0167783625678765,0,0,0,0,0,0,0,0,0.0498326711227062,0,0,0,-0.0263219294925097,0.0796469411911598,0,0,0,0,0,0,0,0,0.0196367782511943,0,0.154810625712196,0,0,0,0,0,0,0.00941999023131329,0,0,0,0,0,0,-0.0149754314902743,0,0,0,0.00967535594669732,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.0757566875378558,0,0,0,0,0,0,0,0.0879786835874638,0.201856613359211,-0.125634268227975,0,0.135744521936453,0,-0.0518826459782636,-0.020771940403774,0,0,0,0,0,0,0,0.0526831796972528,0,0,0.239716175160677,-0.00771476080506338,0,0,0,0,0,0,0.0818215590637683,0,0,0,0,0,0,-0.273629487004936,-0.0191946412384008,0,0,-0.186470829902738,0,0
X002415.SZ,0,0,0,0,0,0.0506076143298577,0.0432303238939428,0,0,0,0,0,0,0,0.00547098323821038,0.105966427746204,0,0,0,0.0996983801700959,0.290350888936079,0,0,0,0,0,0,0,0,0,0.04829613196973,0,-0.0567160178095489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0962971637203574,0,0.0089821333704202,0,0,-0.0536084258095014,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132895865261864,0,0,0,0,-0.0361968006490789,0,0.0171640947413106,0,0,0,0.448460354755129,0.138088928220194,0,0.0308237691439042,0,0,0,0,0.0282085165635558,0,0,0,0,0,0.0447002013697685,0,0.0299197873691514,0,0,-0.0450558464943211,-0.00131424606998214,0,0,0,0,0,0,0,-0.0758340530687138,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.161878391289651,0,0,0.268858311809239,0,0,0,0,0,1.73472347597681e-18,0,0.0327552646801062,0,1.6940658945086e-21,0,0.0859071789387699,0,0,0,0,0.00744790168889262,0,0,0,0.180590299237051,0,-0.0210403331758319,0,0.0250024048517429,0,0.0494488334693291,0,0,0,0.0740224487004739,0,0,0,0,0,0,0,0,-0.113361980883292,-0.0161388304742301,0,0,0,0.0165594572566204,0,0,0,0.0156809507746926,0,0
X600809.SH,0,0.0351316059044065,0,0,0,0,0,0,0,0.000809687645142382,0,0.729752798395584,0,0,0,0,0,0,0,0.138971555141882,0,0,0.0533841357171885,0,0,0.0709207209305315,0,0,0,0,-0.0134924093148098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0382049546472169,0,-0.00743758047244361,0,0
X000651.SZ,0,0,0,0,0,0.424091887925979,0,0,0,0.0220531940792896,0.0769027194973681,0,0,-6.93889390390723e-18,0,0,0,0.171681407084304,0,0,0,0,-0.0398993583933901,0.0623036878838475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122483272146939,-0.102483302215715,-0.025860558632041,0,0,0,0,0,0,0,0,0,0,0,0,0.0091082596002247,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401080374585614,0,0,0,0,0,0,0.0305577151578019,0,0,0,-0.00578264287230949,0,0,0.127210179510756,0,0,-4.33680868994202e-19,0,0,0,0,0.0449562629574276,0,0,0,0,0,0,0,0,0.15443983315819,0,0,0,0.0260004912588917,0,0,0.0820980353126841,-0.0726127548477624,0,0,0,0,0,0
X600104.SH,0,0,0.205487110563474,0,0,0,0.513325546417206,0,0,0,0.0158048650004728,0,0,0,0,0,0,0,0,0,0,0,0.232489984278822,0,0,-0.175384665174507,0,0,0,0,-0.411619104156027,0,0,0,0,-0.179389929070262,0,0.144771341609679,0.011501012106941,0.264930577659097,0,0,0,-0.243407675060291,0,0,0,0,0,0,0,0,0.0544200735653817,0,0,0,0.0382759621459885,0,0
