,X600519.SH,X002415.SZ,X600104.SH,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X600031.SH,X002475.SZ,X000338.SZ,X000568.SZ,X600741.SH,X600703.SH,X601877.SH,X600271.SH,X000100.SZ,X002236.SZ,X600809.SH,X300003.SZ,X300124.SZ,X002008.SZ,X600487.SH,X000625.SZ,X600776.SH,X002456.SZ,X000596.SZ,X600498.SH,X000661.SZ,X002007.SZ,X000050.SZ,X300142.SZ,X000157.SZ,X002179.SZ,X000977.SZ,X600522.SH,X300146.SZ,X600177.SH,X300136.SZ,X600066.SH,X600867.SH,X600089.SH,X002241.SZ,X600372.SH,X002129.SZ,X600566.SH,X002180.SZ,X002371.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0955209056700199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225052673924671,0,0,0,0,0,0,0,0.0805917092611544,0,0,0,0,0,0,0,0,0.0498137186002906,0,0.023264605790275,0,0.0112414062936228,0,0,0,0.0965375742969136,0,0,0,0,-0.00597271778069405,0.0100317254609989,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.00384905659012287,0,0.0172117081519659,0,0,0.0313729258259082,0,0,0.0837344044842506,0,0,0.133820383994806,0,0,0.372411805137909,0,0.0293356582772981,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.0197013058243292,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,-0.00981246961699924,0.020384001610442,0,0,0,0,0,0
X600104.SH,0,0,0,0.150976582707121,0,0,0,0,0,0.129599206989415,0,0,0.206060168368684,0,0.0724729143373255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103961998865155,0.223626577715349,0,0,0,0,-0.0552643586510473,0,0,0,-0.0438012408668469,0,0
X000858.SZ,0,0.0467940122663369,0,0,0,0.0300071580556421,0.0853425752706239,0,0,0,0,0,0,0.28820534421488,0,0,0,0,0,0.0930753543598396,0.072253779936522,0,0,0,0,0,0.00387959805157482,0,0.0459578268074421,0,0,0,0.0213901641588287,0,0,0,0,0,0,0,0.00864737800686737,0,0,0,0,0,0,0,0,0,0,-0.0141386397098038,-4.33680868994202e-19,0,0,0,-0.00257025966731103,0,0
X000651.SZ,0,0,0.271155332535245,0,0,0,0,0,0,0.187714891698193,0,0,0,0.0459216246321922,0,0,0,0,0,0.0554445681476457,0,0,0,0,0,0.0501785101426722,0.00988621393008881,0,0,0,0,0,0,0,0,0,0,0,0.0230294568384971,0,0.000890142098930589,0,0,0,0,0,0,0,0,0.0223014497182798,0,0,0.0114009560882863,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,-0.466897863242481,0,0,0.0201177080398719,0.0914724877415252,0,0,0,0,0,0.446237068135979,0,0,0,0,0,0,0.28038376961563,0,0.255924078522927,0,0,0,0,0,0,0.151797936225373,0.0630272470508786,0,0,0,0.0580335367733094,0,0,0,0,0,0,0,0,0.0362545870127713,0.0669507493111279,0,0,0,0,0,0
X002304.SZ,0,0,0,0.144439887756384,0,0,0,0,0,0.0201765353548354,0,0,0,0.198568481154524,0,-0.057792986001722,0,0,0,0,0,0.1015973345841,0.246133318789922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115342998297453,0,0,0,0,0,0,0,-0.0319338891610856,0,0,0,0,0.0194973721361129,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0.0146103540740744,0,0,0,0,0.104956063978611,0,0,0,0,0,0.183277168967552,0.0262475317542543,0.253425598573946,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246194173484353,0,0,0.0349056511739551,0,0,0,0,0,0.0182412910580141,0,0,0,0,0,0,0,0,-0.0330040223967439,-0.00391804628259959,0.00893539135394216,0,0,0,-0.0467403237133798,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0537586294863389,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.354762929865185,0,0,-3.46944695195361e-18,0,0,0,0.0477187765254297,0,0,0,0.0476440305845362,0,0.0842041571415929,0,0,0,1.73472347597681e-18,0,0,0,0,0.0054175302283447,0,0,0,0,0.142688475895935,0,0
X600690.SH,0,0.0164644751903048,0.100129364144365,0,0.256865487687274,0,0,0,0,0,0,0,0,0,0.129908132458494,0,0,0,0,0.0786502923830881,0,0,0,0,0,0,-0.00323319458312145,0,0,0,0,0,-0.0529551927939344,0,0,0.151295231850628,0.0500593686527281,0,0,0,0,0,0,0,0,0,0,0.00206343248278944,0,0,0,0.0128509811461565,-0.0437674991380696,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0.0420323431400346,0,0,0,0,0.148625304714999,0,0.0499176812513205,0,0,0,0,0.00961678780462454,0,0,0,0,0,0,0,0.0330703943621315,0,0,0,0,0.0223836446292492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376227993888036,0.234867338833601,0,0,0,-0.0153499839410317,0.0459162976718706,0,0,0,-0.019338909688959,0,0
X002475.SZ,0,0,0,0,0,-0.00530967960902656,-0.0995153986117545,-0.0258450080442574,0.0374364149586623,0,0,0,0,0,0,0,0.0353189989410582,0,0.0692310740746341,0,0,0,0,0,0,0,0.0237323974119696,0,0,0,0,0.0500663129467641,0,0.177071698170165,0,0,0,0,0.202307975422946,0,0.233421210693016,0,0,0,0,0,0,0,0,0,0,0.0325097799938506,0,0,0,0,0,0,0
