,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600703.SH,X000100.SZ,X600741.SH,X002241.SZ,X600066.SH,X002292.SZ,X002049.SZ,X002465.SZ,X600031.SH,X002506.SZ,X600118.SH,X000157.SZ,X002236.SZ,X002475.SZ,X600372.SH,X000559.SZ,X000568.SZ,X000338.SZ,X300124.SZ,X600089.SH,X300003.SZ,X600867.SH,X002007.SZ,X600177.SH,X002294.SZ,X600584.SH,X000869.SZ,X002512.SZ,X600582.SH,X600699.SH,X000550.SZ,X300146.SZ,X002456.SZ,X002008.SZ,X600498.SH,X002129.SZ,X601877.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.023440376270401,0,0.170457274117197,0,0,0,0,0,0,0.230959240714949,0.0898968694524401,0,-0.0116450561974153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105105710932775,0.146041703177593,-0.0827032272973093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00739205514224355,0.00614329960774818,0,0,0,0,0,0
X600104.SH,0,0,-6.93889390390723e-18,0.121126807284663,0,0,0,0,0.0367650197630027,0,0,0.139865759372611,0,0.101629189504649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0907929214772058,0,0,0,0,0,0,0,0,0,0.0996962483735609,0,-0.0160045248230799,-0.00388457486707432,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.104524833554557,0,0,0.126240808813035,0.0793077116905954,0,0.348504464058624,0,0,0,-0.0966492480070752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219537730007145,0,0,0,0,0.0328074258958626,0,0.103910453810424,0,0,0,0,0,0.0413716661136622,0,0.0116552681557229,0.019408708655673,0.110508749652781,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.136690010187832,0.208249029327283,0.0962884068824612,0,-0.0359329436448237,0,0,0,0.0581973919246823,0,0,0,0,0,0,0,0,0.143160246585481,0,0,0,0,0,0,0.0781033983666261,0.171746766259632,0,0.00394567661726392,0,0,0.0971464849273276,0,-1.38777878078145e-17,0,0,0,0,-0.00281773728156298,-0.0169777809143639,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.0572433111192718,0,0,0,0,0,0.158630782376655,0.0896855213437174,0,0,0,0.00836957210079965,0,0,0,0,0,0.00114295901523474,0,0,0,0,0,0,0,0,0,0,0.271226918711491,0.128814647190879,0,0.198012783156025,0,0,0,0,0.0411792026925684,0,0,0,-0.0134769990393451,-0.00307038480201347,0,0,0,0,0,0
X002304.SZ,0.217211953467864,0,0,0,0,0,0,0,0,0,0.0283057496939286,0,0,0,0,0,-0.0429744521919117,0,0,-0.0463460941921864,3.46944695195361e-18,0,0,0,0,0,0.409831573996465,0,0,0,0,0.0397620652742039,0,0.084907654258097,0,0,0.0916694010455818,0,0,0,0,0.00657499215185886,0,0,0.027946681101613,0,0.0226080251034676,0,0,-0.0254454535994992,0,0,0,0,0,0
X600276.SH,0,0,0.0961963967674382,0,0,0,0,0,0.0641197630973014,0,0,0.00929111251327516,0,-1.73472347597681e-18,0,0,-0.101055638453615,-0.0910561278221792,0,0,0.0480576613725172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0638185311027237,0.0886204373443946,0,0.119151618240021,0,0,0,0,0,0.0286144643453864,0.0153478175917987,0,-0.146970498388966,-0.0444105964786191,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125940540148163,0,0.268114204529593,0.0677599331527059,0,0,0.109047439660762,0,0,0,0,0,0,0,0.131898040102373,0,0,0,0,0,0,0,0.079569079068562,0.050817412960555,0,0,0.0906739010359491,0,0,0,-0.0179423921164481,0,0,0,0,0,0
X000625.SZ,0,0,0.235665194557302,0,0,0,0,0,0,0,0,0.0297533222661756,0,0,0.0630513127547054,0,0,0,0,0,0.0371672060514208,0,0,0,0,0.231007865037206,0,0,-0.0158914274364508,0,0,0,0,0.100096264719588,0,0,0,0,0,0,0.155965727682112,0.0765066239154397,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0
X000063.SZ,0,0,0.0526267724134669,0,0,0,0,0,0,0,0,0,0,0.111491913370504,0,0,0,0,0.0995362155804982,0,0,0,0,0,0,0.151209794308204,0,0.0598366272590256,0.201884843453805,0,0,0,0,0.110940559611941,0,0,0,0,3.46944695195361e-18,0,0,0,0.0151011241768089,0,0,0,0,0,-0.0250832263080324,-0.0189061058953344,0,0,0,0,0,0
