,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002475.SZ,X002415.SZ,X600104.SH,X000063.SZ,X002304.SZ,X600031.SH,X000725.SZ,X003816.SZ,X000568.SZ,X000661.SZ,X600809.SH,X600690.SH,X000338.SZ,X600703.SH,X000100.SZ,X002371.SZ,X002241.SZ,X000596.SZ,X002007.SZ,X300142.SZ,X300014.SZ,X600741.SH,X600183.SH,X300003.SZ,X300124.SZ,X002129.SZ,X000977.SZ,X601877.SH,X002236.SZ,X000625.SZ,X000800.SZ,X000157.SZ,X300136.SZ,X600584.SH,X002456.SZ,X002463.SZ,X002414.SZ,X002049.SZ,X002179.SZ,X000066.SZ,X600118.SH,X002185.SZ,X600522.SH,X600498.SH,X000021.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.293890591759793,0.216239726794172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391976287019613,0,0,0,0,0,0.0492645202798308,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295510476060906,0,0.0600577351693213,0,0,0.00624610560232791,0.0059698875475721,-0.00897368720129266,0,0,0,0,0,0
X000858.SZ,0.136972339288669,0,0,0,0,0,0.00668419038633032,0,0,0.000802138101083841,0,0,0.243826160266649,0,0.423297265116662,0,0,0,0,0,0.0920030571784509,0.0769797054895961,0,0.0472879930759707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0545325587276898,0,0,0.000351096941739151,0,0,0,0,0,0,0
X600276.SH,0,0.174504158021159,0,0,0,0,0,0,0,0,0,0,0,0.346803863089827,0,0,0,0,0,0.00129495480367938,0,0,0.0303843260601613,0.0555446446360743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068573947873012,0,0,0,0,-0.103682641798397,0,0,0.0923609800984329,-0.00811979151138764,-0.0149752742490432,0,0,0,0,0,0,0
X000651.SZ,0,0.179007062508288,0,0,0,0.0690177214862828,0.0289699878694934,0,0,0.00164743929502312,0,0,0,0.115640315615859,0,0.242052838890268,0,0,0,0,0,0,0,0,0.0381587443715774,0.0129070111905999,0,0,0,0,0.031926278991304,0,0,0,0,0,0,0,-0.088912327119384,0,0,0.055930837919305,0,0,0,0,0,0,0,0,0,0.00888558533600519,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0626641513280632,0,0,0,0,0.192836690959052,0,0,0,0.167679904617326,0,0,0,0,0.129184476115791,0,0,0,0,0,0,0,0,0,0,0,0.0180646525271682,0,0,0.278298450404757,0,0,0,0.0468971313517687,0,0,0.00247030327205979,-0.0180744598167552,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.193843247056099,0,-0.112466143637374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166406225826969,0.00842049373567133,0,0,0,0,0,0,0,0.118533674595396,0,0.356984257386859,-0.00529121351900527,0,0,0,0,0,0,0,0,0,0,0.109367475485906,0,-0.0461017414935329,0.230392475931741,-0.0147751013262913,0,0,0.0155978600405118,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00193649951167868,0.070992567976916,0,0,0,0.332910883317702,0,0.0751775374818595,0,0.0318509035764819,0.143871062964189,0,0,0.0469858644652147,0.0489185246773767,0,0,0,0,0,0,0,0,0,0,0,0,-0.0872177282481147,0,0,-0.0133139168781806,0.0259304190862455,0.0220276970178485,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.222628579242522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0898038211606424,0,0,0,0,0,0,0,0,0,0,0.0156601952463602,0.201385011068943,0,0.28588623221427,0,0,0.0417583655108716,0,-0.0247621534468271,0,0,0,0,-0.100323082451292,0.120022338811231,0,0,0,0.0443224139520815,-0.0378170194211152,0,0,0,0,0,0
X002304.SZ,0,0.191652200547639,0,0,0,0,0,0,0,0.0552410875499108,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0.0730107306165004,0,0.0429061212373717,0,0,0,0,0,0,0,0.0462076341128952,0,0,0,-0.0311280007250724,0,0.0682384781670211,0,0,0,0,0,0,0,0.0276165261566051,0,0,0,0.0106652485370782,-0.0106397837652216,0,0,0,0,0,0
X600031.SH,0,0.0783756838007741,0,0,0.133902121929711,0,0.0699392901616768,0,0.0802376960051502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0915465064652937,0.227623267506,0,0,0,0,0,0,0,0,0,0,-0.034576430368483,0,0,0.0400091844927721,0,0,0,0,0,0,0,0,0,0,-0.00863321997601631,-0.0026420677516035,0,0,0,0,0,0
