,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X600104.SH,X000651.SZ,X300014.SZ,X600031.SH,X000725.SZ,X300124.SZ,X002241.SZ,X000063.SZ,X002371.SZ,X600703.SH,X003816.SZ,X000338.SZ,X002049.SZ,X002129.SZ,X000596.SZ,X000625.SZ,X601877.SH,X000661.SZ,X002179.SZ,X300142.SZ,X600741.SH,X000100.SZ,X002074.SZ,X600089.SH,X600460.SH,X002180.SZ,X600702.SH,X000157.SZ,X002236.SZ,X600884.SH,X000733.SZ,X000799.SZ,X002007.SZ,X002414.SZ,X601799.SH,X600779.SH,X600183.SH,X600584.SH,X002008.SZ,X600522.SH,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000651.SZ,0,0,0,0,0.074569753513828,0,0,0.158002800245699,0,0,0,0,0,0,0,0.101114388743924,0,0,0,0,0,0,0,0.0474887753708005,0,-0.208113450459009,0,0,-0.0889336577044336,0,0,0,0,0,0,0.0418196546259607,0,0.0424528272186122,0,-0.119085911485641,0,0,0,0,0,0,0,0,0,0,0,-0.0610142191111313,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0.0862403520541628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0923148706145559,0,0,0.0505905564032981,0.0836980562422328,0.0477056466084504,0,0,0,0,0.21459055349453,0.0612590771578273,0.167310716961897,0,0,0,0,0.105485991944002,0,0,0,0,0.0894138868695958,0,0,0,0,0.0226375986780396,0,0.0971199836171198,0.0298998841816058,0,0,0,0,-0.00531423395590035,0,0
X600031.SH,0,0,0,0,0,0,0.0560950459827927,0,-0.0768577474020992,0.112562254057585,0.0966814496000988,-0.082583183496167,0,0,0,0,0,-0.0354403406358748,0,0,0.322288374886204,0,0.0562362971174622,0,0.0879515335755831,0,0,0,0,0.0758200410658724,0,0,0,0,0,0,0,0,-0.00982116440758575,0,0,0,0.0284055785104274,0,0,0,0,0,0,0,0,-0.00220186751517241,0.0052416089683806,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0.0205509700611924,0,0,0.0181094378088107,0,0,0,0,0,0,0,0,0,0.0485086510079426,0,0,0,0,0,0,0,-0.00599906003768562,0,0.406637032502075,0.00414122519150453,0,1.73472347597681e-18,0,0,0,0,-0.00353691333570031,-0.00750992858802251,0,0,0,0,0,0.0149216202478162,0,0.0021212895307509,0,0,0,0,-0.0103464988897659,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0797306552977745,0,0.397139873453523,0,0,0,4.33680868994202e-19,0.0182629243093948,0,-0.188984303797646,0,0,0.00610525742755127,0,-0.0542796729434032,0,0.152145313492606,0,0,0,0.0258213762005974,0.0745740450401496,0,0,0,0,0,0,0,0,0,0,0,0,0.0759470300347772,-0.0447997318097866,0,0,0,0.0125951132579729,0,0
X002241.SZ,0,0,0,-0.0379486650180092,0,0.400082751561072,0,0,0,0,0,0.340597476108187,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180277535479,0,0.0347706099496884,0.177988234068971,0,0,0.299113341516217,0,0,0,0,0.101521893996578,0,0,0,0,0,0,0,0,0,0,0.12187092523277,0,0,-0.0370966161951108,0.046256978611138,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.0570955071819092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0259483359396567,0,0.136207917797725,0,0,0.138330388026875,0,-0.0132355746717558,0.0951153671733825,0.151438059726497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00446354426524282,0,0,0,0,0,0,-0.0123007668017524,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038500193562769,0,0,0,0,0.34806942141509,0.0881538347495781,0.0534791390646798,0,0,0.00776948126156101,0.06771065713056,0.204516520446,0,0,0.182885250126068,0,0,0,0,0.224366784761795,-0.127926558385904,0.268566545637253,0.312069799703311,0,-0.0286521763036609,0,0,0,-0.105659482441755,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112984538193034,0,0.215623325203778,0,0.104036046176544,0,0,0,0,0,0,0,-0.0942217607371871,0,0,0,0,0,0,0,0,0.194526431112954,-0.301561615343508,0,0,0,0.052321941042689,-0.00266588765034301,0,0,0.305306152251183,0,0,0.224056278128642,0,-0.0386033256899769,0,0,0.0501262301933862,-0.0595622982369629,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0.168338002499107,0,0,-0.0471208800170001,0,0,0,0,0,0,0.100200635611527,0,0,0,0.0872937097815144,0,0,0.0087191758292635,0,0,0,0.00240125717464793,0,0.0467832383087796,0,0,0,0,0.0488838970717124,0,0,0,0,-0.167930349710903,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00358142808584065,0.00302736196670342,0,0,0,0,0,0
