,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X002304.SZ,X600690.SH,X600104.SH,X000651.SZ,X000725.SZ,X002371.SZ,X002129.SZ,X600031.SH,X003816.SZ,X300124.SZ,X300014.SZ,X002049.SZ,X002241.SZ,X000338.SZ,X000063.SZ,X600703.SH,X002179.SZ,X000596.SZ,X601877.SH,X000625.SZ,X600460.SH,X600089.SH,X300142.SZ,X000661.SZ,X000100.SZ,X600741.SH,X600522.SH,X600702.SH,X000157.SZ,X002180.SZ,X600884.SH,X002074.SZ,X000733.SZ,X000799.SZ,X002236.SZ,X600584.SH,X002008.SZ,X600779.SH,X600563.SH,X002007.SZ,X002414.SZ,X000977.SZ,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.329100531978393,0,0,0.0553488822229305,0.0276870163529823,0,0,0,0,0,0,0,0,0,0,0,-0.0647769417630571,0,0,0,0,0,0,0.195982011992144,0,0,0,0,0,-0.00272075911397948,0,0,0,0,0,0,0,0,0,0,0.0457557267135016,0,0,0.125368093809902,0,0,0,0.0202345640957466,0,-0.00484226395013702,-0.0152208983814853,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.207085432439345,0.0371194197277521,0,0,0.0327847993925673,0,0,0,0,0,0.00355542058723013,0,0,0,0,0,0,0,0.0137979088601441,0,0,0,0,0,0,0,0,0,0,0,0.140804016887073,0,0.00963545400952974,0,0,0,0.0900802507950639,0,0,0,0,0,0,0,0.0351437713323214,0.0847417909480369,0,-0.0329030099407483,0.0422142190832335,0,0,0,0.00571182529801019,0,0
X002415.SZ,0,0,0,0,0,0.116833856804705,0,0.148196939202872,0,0,0,0,0.0235789067928372,0,0,0,0.116493878775203,0,0,0,0,0,0.0376336001732324,0,-0.0342376035010592,0,0,0,-0.107921081994141,-0.0534915091346673,0.0421524250358927,0,0,-0.020828177837161,0,0,0.00664031476725284,0,0,0,0,0,0,0,0.061473486089322,0,0,0,0.187185677040308,0,0,0,0.0131777231845841,0,0,0,0,0,0
X600809.SH,0,0,0,0,0.380246405252953,0,0,0.2450313010827,0,0,0,0,0,0,0,0,0,-0.0460543484954494,0.0563169535179995,0,-0.277830623825868,0.0132751564003767,0,0,0,0,0,0,0,-0.129210897032936,0,0,0,0,0.0852058532705574,0,0,0,0,0,0.0783054505601098,0,0,0,0,0,0,0,0.0349871126652207,0,0.0770030300772714,0.0212630922661931,0,0,0,0,0,0,0
X000568.SZ,0.38663031375472,0.12940056405392,0,0,0,0.0330278144029007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223906248964019,0,0,0,0,0,0,0,0,0,0,0,0.0400507105437542,0,0,0,8.67361737988404e-19,0,0,0.0780697110930588,0,0,0,0,0,0,0,0.0820967303892505,0,0,0,0,0.105857905069015,0,0
X002475.SZ,0.0567777353420969,0,0,-0.00300910482120616,0,0,0,0,0,0,0,0,0.202305985024935,0,0,0,0,0,0,0.433628688947767,0,0,0.011197691315094,0,0,0,0,0,-0.0607956153763973,0,0,0,0,0,0,-0.27459177956125,0.00629152462539586,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.189865250513661,0,-0.0242752386134589,0.0301620870194866,0,0,0,0.0745732285141072,0,0
X600276.SH,0.169737886665149,0,0.0290801017776575,0,0,0,0,0,0.203198049846503,0,0,0,0,0,0,0,0,0,0,0,0.0664413514940845,0.242066475467044,0,0,0,0,0,0,-0.0363825084810381,0.063485645254032,0.0254917782606466,0,0,0,0,0,0.0354549565020507,0,-0.00403382448104948,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0499988964471438,0,0,0,-0.0733555991779105,0,0
X002304.SZ,0.1061042139149,0,0,0.185376317976943,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.0350964972628788,0,0,0,0.00645283722231769,0,0,0,0.0449043258320837,0,0,0,0,0,0,0,0,0,0.191841870343787,0,0,0,0,0,0.110952833564124,0,0,0,0.0150687158750377,-0.024121271773433,0,0.0465347412709399,0,0,0,-0.0613112738373327,0.0617502843272014,0,0,0,0,0,0
X600690.SH,0,0.0786292523467196,0,0,0,0,0.0485916175898669,0.0723053987006501,0,0,0,0,0,0,0,0,0,0,0,0,0.150437631039918,0.101522130168126,0,0,0,0,0,0.0647618555712609,0,0,0,0,0,0.118786227300894,0.0962343696002386,0,0,0,0,0,0.0480618087286208,0,0,0,0.0918247254937047,0,0,0,0,0,0,-0.0076190273308814,0,0,0,0,-0.0148784525779516,0,0
X600104.SH,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0.128608002847981,0,0,0.00251289437328003,0,0,0.117336729060512,0,0,0,0,0.239278811662977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00121614680254191,0,0,0,-1.73472347597681e-18,0,-0.00713150973702234,0.00937024593142931,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0553592218709615,0,0,0.0411210730597443,0,0,0,0,0,0,0.133060766018501,-1.38777878078145e-17,0.151136430782243,0,0,0,0,0,0,0,0,0,0,0,0,0.0292111607554917,0.00944579189632953,0.1040171807441,0,-0.0563249467849276,0,0,0,-0.0826110094693009,0,0,0,0,0,0,0,0,0.0365346911103675,0.0204052780651007,0,0,0,0,-0.011922621730448,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.167513479785142,0,0,-0.0397014857910569,-0.000812452370939097,0,0,0,0,0,0,0.0623753668494398,0,0,0.0271741717247137,0,0,0.189774838898847,0,0,0.00656644395768067,0,0.178129439842164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422344522891359,0,0,0,-0.0185290630453984,0.026198043657437,0,0,0,0.0325595576812473,0,0
X002371.SZ,0,0,0,0.112921034467544,0.0990338672949273,0,0,0,0,0,0,0,0,0.384372152339472,0,0,0,0,0.0699335350749336,0,0,0,-0.0296732543052921,0,0,0.0843584609988585,0,0.376496662333711,0,0,0,0,0.0752298750257786,0,0,0,0,0,0,0,0,0,0,0,0,0.225958992763728,0,0,-0.0196726259593534,0,0.0423537935430831,-0.0246462702942034,-0.0382755530761534,0,0,0,-0.0681370383501721,0,0
X002129.SZ,0.134719471829429,0,0,0,0,0.00402012585031727,0,0,0,0,-0.0475441986310604,0,0.130218712746064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0917718534609831,0,0,0,0,0,0,0,-0.058739618886897,0,0,0,0,0.0445205872839359,0,0,0,0,0,0,0,0.07951081145981,0,0,-0.0233476447449619,-0.000410107092581536,0,0,0,-0.0924681401962574,0,0
X600031.SH,0,0,0,0,0,0,0,-0.10110718866614,0.07731610783586,0,0.131086032881313,0,0,0,0,0,0.082615217768867,0,0,0,0.253259103993051,0,0,0,-8.67361737988404e-19,0,0,0.123299828801837,0,0,-4.33680868994202e-19,0,0,-0.0591778843379099,0,0.153776069885817,0,0,0,0,0,0,0,0,0,-0.00781124428292114,0,0.0599332300783373,0,0,0,0.0409748199019626,-0.037593558965645,0,0,0,0.0404234830384438,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100659141012814,0,0,0,0.0799716570030456,0,0,0,0,0,0,0,0,0,0.0170688167778423,0,0,-0.0124000834397887,0,0,0,0,0,0.0626543887456832,0,0.0451383733046567,0,0.00291414990844927,0,0,0,-0.0105816500132403,0,0,0,0,-0.0363817039404856,0,0
