,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X003816.SZ,X002475.SZ,X300124.SZ,X600104.SH,X002371.SZ,X000725.SZ,X002304.SZ,X000625.SZ,X000338.SZ,X000063.SZ,X000596.SZ,X600031.SH,X000100.SZ,X600089.SH,X300014.SZ,X002179.SZ,X000157.SZ,X600703.SH,X002236.SZ,X000977.SZ,X002049.SZ,X002241.SZ,X600372.SH,X002463.SZ,X600741.SH,X002129.SZ,X000661.SZ,X600584.SH,X002028.SZ,X600522.SH,X601877.SH,X000921.SZ,X601799.SH,X600066.SH,X600183.SH,X000800.SZ,X002156.SZ,X002007.SZ,X002223.SZ,X600418.SH,X002074.SZ,X600566.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.150304932971194,0,0.149223768510224,0,0.0189651551331006,0,0,0,0.191306712769044,0,0,0,0,0.167384810514976,0.0201564902571613,0,0,0,0,0,0,0,0,0,0,0,-0.0956654242647673,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0391502206214647,0,0,0,0,0,0,0,0.059358776975457,0,0,0,0.0115868403517942,0.00217220772049277,0,0,0,0,0
X000858.SZ,0,0,0.0211753792214553,0.19064471290431,0,0.364133490668495,0,0,0,0,0,0,0,0,0,0,0,0.011704904413522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106461398506298,0,0,0,0,0,0,0,-0.0344684119372333,0,0,0.0596324823346587,0,0,0,0,0,0,-0.00145264055176407,-2.16840434497101e-19,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.13794076689116,0,0,0,0,0.205858728785402,0,0,0,0.0839559988548337,0,0,0,0,0,0,0,0,0.123069175609194,0,0,0.126475652405885,0,0.0397785390783426,0,0,0,0,0,0,0.02655809268155,0,0,0,0,0,0,0.022385549036725,0.0353856177905197,0,0,0,0.00904358992966151,0,0,0,-0.0361583653237576,0.0268074131670066,0.0251072891396526,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.442458243802487,0,0,0.0827339813108237,0,0.0696249495919013,0,0,0,-6.93889390390723e-18,0,0,0,0.209806456910173,0,0,0,0.188681092459987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259473351378606,0,-0.130677570673697,0,-0.0518595014394916,0,0,0,0,0,0,-0.0297292067994498,0.0205377169963171,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.027364404042857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0948422635309117,0,0,0,0,-0.0997966528351769,0,0,-0.0282288895232647,0,0.0899893184506892,0.549219316140251,0.129845894350793,0,0.0388085243720779,0,0,0,0,0,0.18657401144239,0,0,0,0,0,0,0,0,0.00533563311529907,0.0652930757365482,0,0,0,0,0
X000568.SZ,0,0.705948355379658,0,0.0507885829582916,0,0,0,0,-0.0880733294161761,0,0,0,0,0,0.191131508406383,0,0,0,0.00219170608960224,0,0.107707438467282,0,0,-0.115928668996857,0,0,0,0,0,0,0,0,0,0.0209897277119724,0,0.0311524188548337,0,0,0,-0.011715240907304,0,0.0167292428533257,0,0,-0.0217748006283191,0,0,0,0,0,0,-0.00891649637059481,0.0279371043485285,0,0,0,0,0,0
X600690.SH,0,0,0,0.0905257177561589,0,0.0229654392116901,0,0.0389664720823852,0,0.112164200959545,0,0,0,0,0,0,0.133863068269092,0,0,0,0,0,0.0186198307333717,0,0,0,0,0,0,0,0,0,0,0.0647625594785049,0,0,0,0,0,0.0447710600275254,0,0,-0.132832674414386,0,0.0119596271336743,0,0,0,0,0,0.0626040546779127,0.00376482258657001,0.0133533922218974,-2.16840434497101e-19,0,0,0,0,0
X000651.SZ,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0.170002214158014,0,0,0,0,0,0,0,0,0,0.319329799992377,0.383233204775315,-0.403095416592746,0,0,0,0.210167710098832,0,0,0,0,0,0,0.315048775283861,0.147816769709781,0,0.0771546390644808,0,-0.233806346521113,0,-0.0187980480162401,0,0,0,0,0.00788596126690069,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,-0.01545884793226,0,0,0,0,0,0,0,0,0,0,0,0.216605379283446,0,0,0,0,-0.131257768252807,0,0,0,0.32699816073717,0,0,-0.177093598211239,0,0,-0.0811152409551014,0,0,0.041272545845763,-0.0923017492447695,0,-0.00468879772260436,0,0,0,0,-0.079643162959987,0,0.285770081319804,0.056016625316245,-0.0263778405749421,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0.0691183319912203,0.00526793903689297,0.0836875749495246,0.188459909373234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103724147818779,0,0.586322601133293,0,-0.13757516045654,0,0,0,0.128919657451574,0,0,0.0355350670897587,0,0,0,0,0,0.108784817287174,0,0,0,0,0,0,-0.0266250353101994,0,-0.130885003381907,0,0,0,0,0
