,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000858.SZ,X000651.SZ,X002304.SZ,X000725.SZ,X600690.SH,X002475.SZ,X600031.SH,X600703.SH,X000568.SZ,X000063.SZ,X600741.SH,X000338.SZ,X300003.SZ,X600271.SH,X002008.SZ,X002236.SZ,X601877.SH,X002456.SZ,X300124.SZ,X600487.SH,X600809.SH,X600867.SH,X000596.SZ,X000100.SZ,X000661.SZ,X000977.SZ,X000625.SZ,X600498.SH,X600066.SH,X600566.SH,X002179.SZ,X002294.SZ,X300142.SZ,X000157.SZ,X300136.SZ,X002180.SZ,X002007.SZ,X000981.SZ,X300146.SZ,X002049.SZ,X600522.SH,X000050.SZ,X002241.SZ,X000869.SZ,X600779.SH,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.383595996150325,0,0,0,0,0,0,0,0,0,0,0,0.039307222022443,0,0,0,0,0,0,0,0,0,0.00947913065132343,0,0.052534025818865,0,0,0,0,0,0,0,0,0,0.0480282434575803,0,0,0,0,0,0,0,0.0796659228875402,0,0,0,0,0.00527511133704688,1.73472347597681e-18,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.0241355347986468,0,0,0.0161751429271126,0.43770285695286,0,0,0,0.0108397090919452,0,0,0,0,0,0,0,0,0,0,0,0,-0.00438396842786713,0,0,0,0,0,0,0,-0.0654077481381362,0.0785738210011109,0,0,0,-0.0336449506110225,0,0,0,0,0,0.163602333970635,0.00672903635852069,0.0189461478332725,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0643170254162618,0.0172007077285941,0,0,0,0,0,-0.0599701391672594,0,0,0.015969453643657,0,-3.46944695195361e-18,0.213742860304729,0,0,0,0,0,0,0,0,0,0,0,0.127718351675722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120973716379279,0.257289348606609,0,0.00100643725080383,0.0178279693583719,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126034846406861,0.0370236686664042,0,0,0.159328667689146,0,0.0639655568898479,0,0,0,0,0,0,0.00467069532793254,0,0.105378112821504,0,0,0,0,0.157549321398434,0,0.333622403271037,0,0,0,0,0.117480117704003,0,0.105263726956412,0,0,0,0,0,0.167009493662389,0,0.104564286841554,0.0167706052304605,0.012325668498538,0,0,0,0,0,0
X000858.SZ,0.251563666449696,0.116168454339724,0,0,0,0,0.358138904365931,0,0,0,0,0,0,-0.0635136404339347,0.00454175616199196,0,0,0,0.0343115724024647,0.096729303010133,0.102957783563533,0,0,0,0,0,0.129963577390121,0,0,0,0,0,0,-0.00488213081697842,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.0134904836083271,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.314473834485755,0,0,0,0,0,0,0,0,0,0.0354075073592987,0,0,0,0.165092321306814,0,0,0,0.0156435107954512,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.216300136951862,0,0,0.00205556515733916,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0157571469352797,0.0355218891048544,0,0,0,0,0,0,0,0.255598285062561,-0.0591696631046462,0,0,0,0,0,0,0,0,0,0,0.142699489023251,0,0,0,0,0,0,0,0,0,0,0.369174260587791,0,0,0,0,0,0,-0.0995014198677508,0,0,0,0,0,0.103500945842786,0,0,0.0249447544830687,0.035698233399518,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00426065469559879,0,0,0,0,0,0,0,0,0,0,0.373168578956269,0,0.117330023647635,0,0,0,0,0,0,0.0695328267025024,0,0,0,0,0.111470352550324,-0.110415522597617,0,0.234376160909002,3.46944695195361e-18,0,0,0,0.0204629332061036,0,0,-0.00429386291840386,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.185861861182041,0,0,0,0.208268636808538,0,0,0,-0.0237908365153623,0,0,0,0,0,0.0116671367757544,0,0,0,0,0,0.142243051493879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282853857676994,0,0.235736495325904,0,0.0174768405833548,0.0439409493446801,0,0,0,0,0,0
X002475.SZ,0,0,0,0.0139132443729526,0.0143865554228532,0.0323936474070407,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0414217375430512,0,0.607166040256187,0,0,0,0,0,0,0,0,0,0,0.0842223210358424,0,0,0,0,0,0,0,0.164000655292705,0,0.0461094359045357,0,0,0,0,0,0,0,0,0.00950733897923063,0,0,0,0,0,0,0
