,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X600031.SH,X003816.SZ,X000725.SZ,X002304.SZ,X000568.SZ,X000661.SZ,X000338.SZ,X600690.SH,X600703.SH,X600809.SH,X002007.SZ,X300003.SZ,X600741.SH,X002371.SZ,X600183.SH,X002241.SZ,X000100.SZ,X300014.SZ,X000596.SZ,X000977.SZ,X601877.SH,X002236.SZ,X300142.SZ,X000625.SZ,X300124.SZ,X000157.SZ,X002129.SZ,X002463.SZ,X002223.SZ,X600498.SH,X002456.SZ,X002179.SZ,X300136.SZ,X002049.SZ,X000066.SZ,X600271.SH,X600118.SH,X600584.SH,X002414.SZ,X600177.SH,X600487.SH,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.301042751117211,0.0121565750049564,0,0,0,0,0,0,0,0,0,0.0483981122169496,0,0,0,0,0.205576938123265,0,0.0693490357899172,0,0,-0.0888977964686285,0,0,0.0650073809655426,0,0,0,-0.00926062960581287,0,0.028920752813653,0,0,0,0,0,0.0906703141361938,0,0,0,0,0,0,0,0,0,0,0,0,0.0319373507564686,8.67361737988404e-19,-0.0119292996765182,0,0,0,-0.463608038491925,0,0
X000858.SZ,0.0242690006991353,0,0,0,0,0,0,0,0.107198137216625,0,0,0,0.403645278125797,0.0821051431149582,0,0,0,0.0601903669466359,0,0,0,0,0,0,0,0,0.168516701193899,0,0,0,0,0.0408630203500165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00975309244504142,0.0154904321221087,0,0,0,0,0,0
X600276.SH,0.0282342940943983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118432239829573,0.0709207253929199,0,0,0,0,0,0,0.0326355608115129,0,0.0704994699160907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00636818458001814,0,0,0,0,0,0,0,0.00899443812419222,0,0,0,0,0,0
X000651.SZ,0,0.0581047672641716,0,0,0,0.0462441939442874,0.0528779023179234,0,0,0,0,0,0.23467249277681,0,0.0830481123764329,0,0,0,0,0,0,0,0,0,0,0,0,0.0534904357790648,0,0,0.145265523140861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0.173302905278185,0,0,0,0,0.157793612338676,0,0,0,0,0,0.160306892075685,0,0,0,0,0,0,0,0,0.000986257907133564,0.118375676511272,0,0,0.0673511782354744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0814957317881323,0.0519710134920248,0,0,0,0,0,0,0,0.000574857643038043,0.00455323780084471,0,0,0,0,0,0
X600104.SH,0,0.220263644519874,0,0,0,0,0,0,0,0,0,0,0,0,0.0881284276828466,0,0,0.0617148721022571,0,0,0.0581926307511273,0,0,0.0208570947436851,0,0,0.0840928838051726,0.0647479652929464,0,0,0,0.118196716978022,0,0,0,0,0,0,0,0,0,0.0296956673314098,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.023506363308304,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0857977413927046,0,0.359244467642248,0,0.0505938721550559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101297693142698,0,0,0,0,0,0,0,0,0.332804123270589,0,0,0.00564077874575796,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.143211956077324,0,0,0,0,0,0,0,0,0,0,0,-0.0479928226679661,0.204222903311147,0,-0.17206595328718,0.0898054195745455,0,0,0.0733878661401809,0.136133604298526,0,0,0,0,0.038424428689559,0,0,0,0,0,0.521679120443553,0,0,0,0,0,0,0,0,0.03351452930884,0,0,0,0,0.0332999603867372,0.053203839238699,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0676560350571623,0.0944064156077689,0.179540114828235,0,0,0,0,0,0,-1.38777878078145e-17,0,0,-3.46944695195361e-18,0.0455933178810841,0.0318015846938822,0,0,0,0,0.0704761128970404,0,0.293152784457831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451605110572455,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0.0656084203933458,0,0,0,0,0,0.0468942378285975,0.01541976372919,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0535448706336745,0,0,0,0,0.0868442673275687,0.131977069947255,0,0,0,-0.0990487583234613,0,0.050351769969934,0,0,0,0.163013607573806,0,0,0.0335801866434545,0,0,1.73472347597681e-18,0.0169123000728189,0,0.0605479478602376,-0.0107567886603284,0,0,0,0,0,0
