,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600703.SH,X600690.SH,X000568.SZ,X002236.SZ,X002475.SZ,X002241.SZ,X000625.SZ,X600741.SH,X600031.SH,X000338.SZ,X002456.SZ,X600066.SH,X000100.SZ,X300124.SZ,X601877.SH,X600809.SH,X002008.SZ,X300003.SZ,X300136.SZ,X002508.SZ,X600487.SH,X600089.SH,X002085.SZ,X600177.SH,X000157.SZ,X600271.SH,X600522.SH,X002294.SZ,X600118.SH,X600867.SH,X000050.SZ,X600372.SH,X000981.SZ,X300115.SZ,X600699.SH,X600566.SH,X002074.SZ,X000559.SZ,X000596.SZ,X600498.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.147371309112716,0,0,0.0870934861286117,0,0,0,0.229040623602514,0,0,0,0,0,0,0,0,0,0,0,0,0.131967221896546,0,0.0603739625760368,0,0,-0.0309640451906449,0,0.0280743322158439,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0750683346049262,0,0,-0.0594379179316713,0,0,-0.00283967886319259,-0.00917598594743212,0,0,0,0,0,0
X600104.SH,0,0,0,0.183740978356554,0,0,0,0,0,0,0,0,0.0391268468970303,0.0231362032627858,-0.0622730535419586,0,0.33826936873989,0,0,0,0.250399166299833,0,0,0.0589211390822729,0,0,0.298485873992153,-0.0128389583041964,0,0,0,0.125646914771598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536527233933661,0,0.0127367323022493,-0.3712659875766,0,0,0.00726350495932311,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0955019025381118,0,0,0.212083609221573,0.259546708525393,0.164846309562022,0.11191124939735,0.135691406305266,0,0,0,0,0,0,0,0,0,0,0.0123569325233608,0.0320332543474212,0,0.126796645052091,0,0,0,0,0,0,0,0,-0.124559268032907,0,0,0,0,0,-0.124930135051654,0,0,0,0,0,0,0,-0.00128762191480504,0.0558633934159001,0,0,0,0,0,0
X000651.SZ,0,0.10795508907625,0,0,0.216526149027896,0,0,0,0.0644214893702357,0,0.120567051888589,0,0.0823123786615797,0,0,0,0,0.0857252216246873,0,0,0,0,0,0,-0.0673756544182103,0,0,0,0.018215139329353,0,-0.0785192768547234,0,0,0,0,0,0,0,0,-0.0306048018723527,0,0,0,0,0.0250539574704188,0,0,0,0,0,0.0306923154265509,-0.00838581583353943,0,0,0,0,0,0,0
X000858.SZ,0.178482259533606,0,0.208821764418302,0.0638323312066679,0,0,0.137244455057604,0,0,0,0,0.203213371736395,0,0,0,0,0,0.0235419160534898,0,0,0,0,0,0,0.0411988693444033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00316275761602972,0.00324129279104047,0,0,0,0,0,0
X600276.SH,0,0.0387365419774306,0,0,0.332434346057819,0,0,0,-0.0283367207003684,0,0,0,0,0,-0.0907190911173267,0,0,0.0268425327995991,-0.0293012237700177,0,0,0,0,-0.0852144253740993,0,0,0,0,-0.0209229076939979,0,0,0,0,0,0,0,0,0,0,0.000958417300497287,0,0,0,0,0,0.152915392856494,0,0,0,0,-0.127137289843596,0.0229941809126823,-0.00659646055161065,0,0,0,0,0,0
X002304.SZ,0,0.0295526100706763,0,0,0.313076144983907,0,0,0,0,0.0449170694777384,0,0.286456953202041,0,0,0,0,0.0514314572119318,0.0332509022852017,0.0198330387642745,-0.10267293883069,0.122928042201914,0,0,0,0.0121655413156619,-0.0265904934367684,0,0,0,0,0,0,0,0,0,0,0,0,-0.116255225166614,0,0,0,0,0,0,0,0,0,-0.0334554936030319,0,0,-0.00837747232235394,0,0,0,0,0,0,0
X000725.SZ,0,0,0.097131012961946,0,0,0,0,0,0.0175634901956192,0,0,0,0,0,0,0,0,0,0.296063881304661,0,0,0,0,0,0.0276436628950245,0,0,0,0,0.0827549137056834,0,0.260873154762506,0,0,0,0,0.0390143343525243,0,0,0.19680503042018,0,0,-0.193684896198716,0,0,0,0.0561047653062212,0,0.0122364270322589,0,0,0,-0.00857428284220949,0,0,0,0,0,0
X000063.SZ,0,0,0.12583802948508,0,0,0,0,0,0,0.0398921046022422,0,0,0.204139990200894,0,0.192286196076157,0,0.0952468090116265,0,0.0332991136641914,0,0,0,0,0,0.115015567651095,0.0147398660126067,0,0,0,0.131366570968397,0,0,0,0,0,0,0,0,0,0,0.083451616527983,0,0,0,0,0,0,0,0,0,0,-0.0271443110754893,0,0,0,0,-0.10910767098473,0,0
X600703.SH,0,0,0,0,0,0,0.0757945170292946,0,0.187294701393706,0,0.0806964003624835,0,0.0705514879153747,0,0.214975543453831,0,0.303476576754198,0.274393499061779,0,0,0,0,0.178166698126143,0,0,0.00944436386430394,-0.123382034576988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164656865683699,0.0144952379767097,0,0,0,0,0,0
