,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002475.SZ,X002415.SZ,X600104.SH,X000063.SZ,X600031.SH,X002304.SZ,X000725.SZ,X003816.SZ,X000661.SZ,X000568.SZ,X600809.SH,X000338.SZ,X600690.SH,X600703.SH,X000100.SZ,X002241.SZ,X002371.SZ,X002007.SZ,X000596.SZ,X300142.SZ,X300014.SZ,X600741.SH,X600183.SH,X300124.SZ,X300003.SZ,X000977.SZ,X601877.SH,X002129.SZ,X000625.SZ,X000157.SZ,X002236.SZ,X000800.SZ,X600584.SH,X300136.SZ,X002456.SZ,X002049.SZ,X002414.SZ,X002463.SZ,X000066.SZ,X600118.SH,X002179.SZ,X002185.SZ,X600522.SH,X000021.SZ,X600498.SH,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.223533689922674,0,0,0,0,0,0,0,0.115931008381907,0.0392216535001454,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.209969569599059,0,0,0,0,0,0,0,0,0,0.0132535774122049,0,0.0481753655302992,0,0,0,0,-0.0150339863906023,0,0,0,0,0,0,0,0,0,0,0.0177931873778382,0.0026935351578646,-0.0103317765926116,0,0,0,0,0,0
X000858.SZ,0.133340643528873,0,0.0520386094564933,0,0,0,0.045330085686437,0,0,0,0,0,0,0.320818204145174,0.339372975672182,0,0,0,0,0.110779620186904,0,0,0.0127902857876832,0,0,0,0,0,0,0.0144262568007466,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100898140156065,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0
X600276.SH,0,0.256061676725254,0,0,0,0,0,0,0,0,0,0,0.325686762940345,0,8.67361737988404e-19,0,0,0,0,0,0.0357274717099365,0.0459263872634255,0,0.0162235069903102,0,0.0227862313563525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103184764036741,0,0,0.0617935717621744,0,-0.0151404487357218,-0.00542550221157938,0,0,0,0,0,0
X000651.SZ,0,0.237253018816036,0,0,0,0.0558819317405992,0,0,0,0,0,0,0.0294006305250926,0,0.0609998458043056,0,0.227187975521372,0,0,0,0,0,0,0,0,0.034423228090492,0,0,0,0.0363715020794725,0,0,0,0,0,0,0,0,-0.0916521761646428,0.081566176085966,0,0,0,0.0234177606633997,0,0,0,0,0,0,0.0173675632015485,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118261167907552,0,0.0125707862653782,0.140057542538775,0,0,0,0,0.0394536686522292,0,0.160263353313927,0,0,0,0,0.246393415001876,0,0,0,0,1.73472347597681e-18,0,0,0.0648144050015117,0,0,0,0.195018401078204,0,0,0,0,0,0,0,0.00455224836478734,-0.0304666629190588,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.185948836983061,0,-0.0915672591947233,0.0220617194201493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0622209132420269,0,0,0,0,0,0,0.117171676144347,0,-0.0657603012005857,0,0,0.410779247602856,0,0,0,0,0,0,0,0,0.0775466818937553,0,0,-0.0190118981620349,0,0.204538771078112,0,-0.00193107361141657,0.012374786823759,0.00205073436984643,0,0,0,0,0,0
X600104.SH,0,0.0241850341193613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0652829178506956,0,0,0.370184206033474,0,0,0.104297758573986,0.133219268178408,0,0.0124342130675475,0.0667449233263009,0,0,0.00243110783686519,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,-0.0992749651641689,0,0,0.0231706869250982,0.0261866358014268,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33027134325555,0,0,0,0,-0.13819855866693,0,0,0,0,0.0193160270591439,0,0,0,0,0,0.128779747006228,0,0,0.0090856746299131,0,0.330573113559702,0,-0.0144025231621584,0.0641220483174176,0,0,0,0,0,-0.12203456058249,0,0.307766233688261,0,0,0.0271258752028112,-0.00691854994477203,0,0,0,0,0,0
X600031.SH,0,0.052510307218166,0,0,0.0310025270154559,0,0.0863090874609187,0,0,0.0815563992341047,0,0,0,0,0.0996236852921719,0.0438795273340027,0,0,0,0,0,0,0,0,0,0.0420380723499169,0.128381184958569,0,0,0,0,0,0,0.164609120404707,0,0,-0.0654183741105723,0,0,0,0.0557806899683673,0.0440847291541547,0,0,0,0,0,0,0,0.113090620493359,0,-0.00957401612799436,0.00323956171808792,0,0,0,0,0,0
X002304.SZ,0,0.351822593394721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408461359373826,0,0.0103899957910261,0,0,0,0,0,0,0.0774362274349184,0,0,0,-0.0322722939806586,0,0,0,0,0,0,0,0,0,0,0,0.0807166417203504,0.0489570373639914,0,0.00246326679190353,-0.00383742661775017,0,0,0,0,0,0
