,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600703.SH,X600690.SH,X000568.SZ,X002236.SZ,X000625.SZ,X002241.SZ,X600741.SH,X002475.SZ,X000338.SZ,X600031.SH,X002456.SZ,X600066.SH,X300124.SZ,X600809.SH,X601877.SH,X000100.SZ,X002008.SZ,X002085.SZ,X600487.SH,X300136.SZ,X002508.SZ,X300003.SZ,X600089.SH,X600522.SH,X600271.SH,X600177.SH,X000157.SZ,X600118.SH,X600699.SH,X600867.SH,X000559.SZ,X002294.SZ,X300115.SZ,X000050.SZ,X002074.SZ,X000981.SZ,X600372.SH,X600498.SH,X600566.SH,X000596.SZ,X000980.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0437709991714835,0,0.000378622590462167,0,0.000483190525199468,0,0,0,0,0.254439209583454,0,0,0,0,0,0,0,0,0,0.0416200001648151,0,0,0,0,0,0,0,0.0502629790483334,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0605938082249462,0,0,0,0,0.056414146483873,0,0,0.0105466176167368,-0.0157623692687873,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.00139600891385005,0,0,0.0175668152942147,0,0,0.34637812604303,0.0745695814022909,0,0,0,0,0.0241434533219553,0,0,0,0,0,0,0,0,0,-0.0082175015461592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0758888379261168,0.0774693804317546,0,-0.026607740481692,0.0301763647659485,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0453264832966677,0,0.131903195712741,0,0.190541024162242,0,0,0.0224231096332878,0,0,0,0,0,0,0.0962644591449661,0,0,0,0.00722710371826732,0,-5.42101086242752e-20,0.0375090974477271,0.117490485252495,0,0,0,0,0,0,0,0,0,0,0.0512037629533229,0,0.0081930981507648,0,0,0,0.0166871147918809,0,0,0,0.0293689978957362,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0551946376495848,0,0.0886899344244327,0,0,0,0.219875124198035,0,0.0554950314032141,0,0,0,0,0,0.0769858421958373,0,0,0,0,0,0,-0.0287673788477992,-0.0141936452810127,0,0,0.205549177022166,0,0,0,-0.00816015450353783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131269165271144,0.0041048111058994,0,0,0,0,0,0
X000858.SZ,0,0,0,0.187938904879116,0,0,0,0,0,0,0,0.35596990520893,0.0269248551323219,0,0,0,0,0,0,0,0,0,0.169105877162942,0,0,-0.0449098822416918,0.0177121676572796,0,-0.011565614105925,0.0400914011868143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00551774276632797,4.33680868994202e-19,0,0,0,0,0,0
X600276.SH,0,0,0,0.0559570004689843,0,0,0,0,-0.0943623857740955,0,0,0.215405785347207,0,0,0,0,0,0,0,0,0,0,0,-0.0588155476068898,0,0,0,0,0,0.00352829881743171,0,0,0,0,0,0,0,-0.0611266591948859,0,0,0.11683900060034,0,0.0699748505133454,0,0,0,0.173617315390804,0,0,0.00357540172192396,0,0.00124057619890621,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0325085065463951,0.300595566672596,0,0,0,0,0,0,0,0,0,0,0.210670539698253,0,-3.46944695195361e-18,0.163249389105266,-0.0729849432060393,0,0,0,0,0,-0.114392734707446,0,0,0,0,-0.0218166445078155,0,0,0,0,0,0,0,0,0,0,0.0681903815951209,0,0,0,0,0,0,0.0708009531538635,0,0,-0.0183729790046054,-4.33680868994202e-19,0,0,0,0,0,0
X000725.SZ,0,0,0.129152512198001,0,0,0,-0.0227971471276603,0,0,0,0,0.0167979987727226,0,0,0,0.0659049483093354,0,0.147716995758424,0,-0.0102993553485737,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221010887178039,0,0,0,0.0233096722015012,0,0,0.167523128122409,0,0,0,-0.0155095126694342,-0.0121116555566571,0.00945511005006682,-0.150162311933723,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.0108321628231228,0,0,0.0934343546492769,0.13369445717187,0,0.111454367290958,0,0,0.0247222298929037,0,0.0559260132475159,0,0,0,0,0.0021112407284751,0.266391725245953,0,0,0,0.0162823229011462,0,0,0,0,0,0,0,0,0,0,0,0,0.0717275794612922,0,0,0,0,0,0,0,0.117609544607933,-3.46944695195361e-18,0,0.0501568581868808,0,0,0,0,0,0,0
X600703.SH,0.578771465022292,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0.119425368860727,0,0,0.34796770088185,0,-0.108969468654713,0,0,0,0.0766202369318594,0.0984374522409962,0,0,0,0.263971000745838,-0.199358951421028,0,0,-0.188688989108123,0,0,0,0,0,0,0,0,0,0.0268447717324805,0,0,0,0,0,0.162386588356289,0,0,-0.242299637860399,-0.220021105373832,0.0236099201974025,0,0,0,0,0,0,0
