,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X002475.SZ,X003816.SZ,X600104.SH,X300124.SZ,X002304.SZ,X000725.SZ,X000625.SZ,X000338.SZ,X002371.SZ,X000063.SZ,X600031.SH,X000596.SZ,X000100.SZ,X600089.SH,X300014.SZ,X002179.SZ,X000157.SZ,X600703.SH,X002236.SZ,X002241.SZ,X600372.SH,X600741.SH,X000977.SZ,X002129.SZ,X002049.SZ,X000661.SZ,X002463.SZ,X600584.SH,X601877.SH,X002028.SZ,X600522.SH,X601799.SH,X000800.SZ,X600183.SH,X600066.SH,X000921.SZ,X002223.SZ,X002007.SZ,X002074.SZ,X600460.SH,X600566.SH,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.127430265206549,0,0.329193258060508,0.0768488231010003,0.0432485821624337,0,0,0.104822907204717,0,0,0,0,0,0,0,0,0,0,0,0,0.0771920213230945,0.0519073525657304,0,-0.0338761262595538,0,0,0,0,0,-0.0570387093953742,0,0,-0.0141996480681901,0,0,0,0,0,0.127286584133298,0,0,0,-0.0103436692730583,0,0,0,0,0,0,0,0.0163683200408298,-0.011955558063751,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0290491571059692,0,0.430340490058976,0,0,0,0,0,0,0.132361876997353,0,-0.0371371628681314,-0.0681101675187831,0,0.0310987032685259,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108663887386817,0,0,0,0,0,0,0,0,0,-0.00627349913338945,-0.0509864766592361,0,0,0,0,0,0.00243477500971305,0.0385167929705948,0,-0.0146378181217913,0.0143382686065755,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.162867392803377,0,0,0,0,0,0.089225233972013,-3.46944695195361e-18,0,0,0,0,0,0,0.10499149343457,0,0,0,0.158580505794112,0,0,0,0.152549539351622,0,0,0.0711009034888446,0,0,0,0,0,0,0,0,0.0931705783594335,0,0,-0.0404905224154265,0,0,0,0,0,0,0,0,-0.0109627523285619,0.00509131323227604,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.464986016296999,0,0,0.124888599849239,0.0584902778084761,0,0,0,0,0,0,0,0,0,0.369531304168605,0,0,0.0819339694319956,0,0,0,0,0,0,0,-0.029993734293079,0,0,0,0,0,0,0,0,0.0223093212431113,0,-0.234802219083358,0,0,0,0,0,0,0,0,0,-0.0367170707377427,0.0269386096347909,0.0495654031984685,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175692687125437,0,0,0,0,0,0,0,0,0.0954697239503091,0,0,0,-0.111047290669388,0.0612526784484452,0,0,0.011960057434861,0,0.221577379250788,0.100396188909095,0,0,0,0,0.0651884137724714,0,0.0205510960830892,0.0580937221034876,0,0.174905685456175,0,0,0,0,0,-0.0414603743491934,0,0.00286125886544962,0,0,0,0,0,0
X000568.SZ,0,0.656597554695293,0,0.302232037631959,0,0,0,0,0,0,0,0,0.0167840581367751,0,0,0,0,0,0,0,0.119939367367005,0,0,-0.0682479094777027,0,0,0,0,0,0,0,0.0303756435770405,0,0,0,0.0545806104541378,0,0,0,0,0,0,0,-0.00283945322795904,0,0,0,0,0,0,0,0,0.00896032299208127,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.101726385725911,0,0.0201701627638853,0,0,0,0,0,0,0,0.1103535338668,0,0,0,0.0102668518908819,0,0,0.140034641762035,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,-0.0481059458348994,0,0,0,0,0,0,-0.127865441554668,0,0.091216810458065,0,0,0,0,0,0,0.0539058976085576,-0.0210539537094838,0.0335403440083516,0,0,0,0,0,0
X000651.SZ,0,0,0,0.106924933032151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0874614841640303,0,0,0,0,-0.0642528409516255,0,0.207959731266906,-0.125411538775737,0,0,0.0965546841888072,0,0,0,0,0,0,0,0,0.0475258475975276,0,0,0,0.437966409306532,-0.059863121367661,0,0,0,0,0,0,0.182304389233469,-0.148905757294942,0.214448743176773,0,0,0,0,0
X002475.SZ,0,0,-0.0179673146765925,0,0.00149867720399288,0.130917875668685,0,0,0,0,0,0,0,0,0.0716808414862069,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.561027354192479,0,0,-0.137720341009788,0,0,0,0,0,0,0,0,0,0,0.00520815307115477,-2.16840434497101e-19,0,0,0,0,0,0,0,0,-0.0773962991981866,0.0359158690500627,-0.179763607024821,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362172430489451,0,0,0.253414695967441,0,-0.14960618720919,0,0.140820650565773,0,-0.021613737394223,-0.153825922471333,-0.0368850438412847,0,0,0,0,0,0,0,0,0,0,0,0,0.0564542431525448,0,0,0.100095236483796,0,0.0249172994418143,-0.0425026432879646,0.00603295747019535,0,0,0,0,0,0
