,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X600690.SH,X000725.SZ,X000063.SZ,X600031.SH,X000338.SZ,X002475.SZ,X000568.SZ,X600741.SH,X601877.SH,X600271.SH,X600703.SH,X300124.SZ,X000100.SZ,X002236.SZ,X300003.SZ,X000625.SZ,X600487.SH,X600498.SH,X002008.SZ,X600809.SH,X000661.SZ,X002007.SZ,X000596.SZ,X300142.SZ,X000157.SZ,X002179.SZ,X600566.SH,X600089.SH,X600177.SH,X600066.SH,X300146.SZ,X002180.SZ,X600522.SH,X002456.SZ,X600867.SH,X002506.SZ,X600372.SH,X002508.SZ,X002241.SZ,X002294.SZ,X600118.SH,X600183.SH,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.278826762976982,0,0.0666326409371298,0,0,0,0,0,0,0,0,0,0,-0.116325002457897,0,-0.00760706855361831,0,0,0,0.0829854368143076,0,0,0.124624988666014,0,0,0.0572201295465919,0,0,0,0,0,0,0.0978199914579502,0.0731505920616604,0,0,0,0.0299274140030916,0,0,0,0,0.00852127333784235,0,0,0,0,-0.0453365454010026,0.0423831152284009,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0708031149284209,0,0,0,0.169161190613723,0,0,0,0.0302231973263475,0,0,0,0,0.253636473637129,0,0,0,0,0,0,-0.0640141151689507,0,0,0,0,0,0,0,0,0,0.0706306032874358,0.00389207482580962,-0.0402966967132523,0,0,0,-0.0017280811178175,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171417047490951,0,-0.00902818401857709,0,0,0.664123377036042,0,0,0,0,0,0,0,-0.0816302960106755,0,0,0,0,0,0,0,0,0,-0.070455623796191,0,0,0,0,0,0,0.102900779634137,0,0,0,0,0,-0.00881347714260679,-0.0069705285719209,0,0,0,0,0.000648235318031529,0
X000651.SZ,0.0550574235954897,0,0,0,0,0,0,0.292965544988159,0,0,0,0,0,0,0.0255500735352492,0,0,0,0,0,0,0,0,0.0698911034506834,0,-0.092858760651184,0,0,0,0.186100374964864,0.0636034382761085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0382540893050588,0,0.095680604338941,0,0,-0.00383926543575623,0,0,0,0,0,0,0
X000858.SZ,0.266838726927212,0,0,0,0,0,0.316169385162213,0.0806863137906581,0,0,0,0,0,0.0976228559756956,0.0333502702088341,0,-0.00639754028288233,0,0,0,0,0.0102166597483953,0,0,0.0653499446047176,0,0.157305894480833,0,0,0,0,0,0,-0.0277469266211355,0,0,0.0579319605842772,0,0,0,0,-0.0897421438603532,0,0,0,0,0,0.0376939495611252,0,0,0,-0.00609911850301413,0.0135435619356552,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0295795480685642,0.305929351731407,0,0,0,0,0,0,0.0583479498191457,0,0,0,0,0,0,0.356337225361226,0,0,0,0.053820187573046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394772628028655,0,0,0,-4.33680868994202e-19,0.112297119773022,0,0,-0.160597283745354,0,0.0179546735487122,0.0692595484218878,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.00657830028905291,0,0,0,0,-0.0437858078352533,0,0,0,0,0.100463255365306,0,0,4.33680868994202e-19,0,0,0,0.196282326103857,0,0,0,0,0.250557173954635,0,0,0.441989692490839,-0.0767691994454393,0,0,0,0,0,0,0.110746507507273,0,0,0,0,0,0,0,-0.0470434515557052,0,0,0,-0.0734624976359088,0,-0.0104047331861704,0.0404913342956089,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.236325670204973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077152484080252,0,0,0,0,0,0.0415186038741839,0,0,0,-6.93889390390723e-18,0,0.0460273805087808,0,0,0,0,0,0.0680455673106884,0,0,0,0,0.175936304312018,0,-0.0124662128779698,0,0,0,0,0,0,0
X000725.SZ,0,0,0.0450513201685227,0,0,0,0,0,0,0.137465380341742,0,0,0,0,0,0,0,0,0,0.00648162082106077,0.0449488614967742,0,0.030699872909998,0.0630125631713158,0,0,0,0,0,0,0.00289578580246858,0,0,0.0486983447542709,0,0,0,0,0,0,0.0536839351667481,0,0,0.126815593309182,0,0.0299681048463132,0.000304303446661005,0,0,0,0,0,0.0191088224256004,0,0,0,-8.67361737988404e-19,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526128010177778,0,0,0,0.000492960180089736,0,0,0.0764625390163693,0.318153670369586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208565908466423,0,0,0,0,0.0380712383134682,0,0,0,0,2.16840434497101e-19,0,0.0262629365384862,-0.0397678258665509,0,0,0,0.118581154484307,0,0
