,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000063.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X600276.SH,X600690.SH,X600031.SH,X000100.SZ,X600271.SH,X600118.SH,X002129.SZ,X600372.SH,X000338.SZ,X000157.SZ,X600703.SH,X600089.SH,X002241.SZ,X600741.SH,X600066.SH,X600177.SH,X002236.SZ,X600582.SH,X002292.SZ,X600060.SH,X300124.SZ,X000559.SZ,X600435.SH,X601877.SH,X000977.SZ,X002456.SZ,X000800.SZ,X002475.SZ,X002465.SZ,X600839.SH,X600867.SH,X002294.SZ,X000581.SZ,X002007.SZ,X000623.SZ,X300003.SZ,X000869.SZ,X000568.SZ,X600498.SH,X300146.SZ,X000550.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.047947577394619,0,0,0,0,0,0,0,0.0803720810650614,0,0,0,0,0.0498696812685214,0.11948844345387,0,0,0,0,0,0,0,-0.030704019910161,0,-0.0130666200808796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376367365656128,0,0,0,0,0.266912063445324,0,0,0,0,0.00801586648803214,0.019275646756763,0,0,0,0,0,0
X600104.SH,0,0,0,0.231927928142731,0.0482785488523296,0,0,0,0,0,0,0,0,0.0208435063023133,0,-0.0165175568139912,0.0598848041693732,0,0,0.0477110943934742,0,0,0,0.0368427774550693,0,0.016729456390625,0,0.00427288560727153,0,0,0,0,0,-0.0048150313787995,0,0,0.0317256441298267,0,0,0,0,0,0,0.0605054686353361,0,0,0.17757055687461,0,0,0,0,0,-0.00450217175148829,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0616029390138918,0,0.0756932153463694,0.104578052152779,0,0,0,0,0,0,0,0,0,0,0,0.00812628048992289,0,0,0,0.113361642239466,0,0,0.0814860261467195,0,0,0,0,0,0,0,0,0,0,0,0.0246002685801151,0,0,0,0,0,0.422638164881179,0,0,0,0,0,0.275241376979698,0,0.00259821190199891,-0.0270399205931698,0,0,0,0,0,0
X000651.SZ,0.099957202083047,0.13582973579793,0.0122317735355011,0,0,0.022286764694011,0.035748790613028,0,0,0,0.0211543014636998,0,0,0.0156518911771199,0,0,8.67361737988404e-19,0,0.0191341554337161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0459596331055161,0,0,0,0,0.113528707440754,0,0,0,0,0,0,0,0,0,0,0.211655604034513,0,0.00290269787420703,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109565705664162,0,0.00216417608208786,0,0,4.33680868994202e-19,0.112916214490477,0,0,0,0,0,0.07856611240492,0.036494110421442,0,0,0,0,0,0,0,0,0.0429805269255231,0,0.0550139326196952,0,0,0,0.139547872268877,0.101004248511178,0.214254281191965,0.0291879717479981,0.0189159422954731,0.189170419357493,0.0797535964957788,0,0,-0.0192156948906571,0,0,0,0,0,0,0
X000063.SZ,0.079562062497378,0,0.0168721821850197,0.0601879586916559,0,0,0.0419367949325471,0,0,0,0,0,0.0937242542133761,0,0,0,0,0,0,0,0.103285536269281,0,0,0,0,0.02526192981342,0,0,0.00142556474531836,0,0.0751064626835618,0,0,0,0,0,0,0,0.119558913751355,0,0,0,0,0,0,0,0.0967321177415311,0.238765420195393,0,0,0,-0.00429255348626008,0.0056105648101686,0,0,0,0,0,0
X000625.SZ,0,0,0.245372372233189,0.203338584708591,0,0,0,-0.0155248815395211,0,0,0,0,0,0,-0.166226747264505,0,0,0,0,0,0.0692465264866509,0,0.0727247070534164,0,0,0.00573388102438909,0,0,0,0,0,0,0,0,0,0,0,0,0.0332201629451856,0,0,-0.129494988709651,-0.0590565620914222,0,0,0,0,0,0,0,0,0,0.0367648342682996,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,-8.67361737988404e-19,0,0,0.349602943902112,0,0,0.0302769411364477,0.0457914484590067,0,-0.0248328170992674,0,0,0,0,0,0,0,0,0.020018214094068,0.0870762430641992,0,0.00400664013895053,0,0,0,0.102666904643938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0752042867686638,0,0.174593053342102,0,0,0,0.00883860786408277,-0.0172902423289124,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.11054057555872,0,0.0853846973787074,0,0,0,0,0,0.0217700980334457,0,0,0,0.122821399312475,0,0,0,0,0,0,0.0525746304002635,0,0.00323591089005933,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505176424152959,0,0.0487246421939135,0.134045311124644,0,0.0866163280358553,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0196825682032649,0,-0.0178427148256815,0.0157672198271032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0134392854069807,-0.020826832850893,0,0.0834607052043309,0,1.73472347597681e-18,0,0,0.110635617584836,0,0,0,0,0,0,0,0,0.0183509225601873,0,0,0,0.0027242464294036,0.00892092794406711,0,0,0,0,0,0
