,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X600276.SH,X000858.SZ,X002304.SZ,X000063.SZ,X000625.SZ,X600703.SH,X600690.SH,X600118.SH,X002241.SZ,X000559.SZ,X600031.SH,X600271.SH,X000100.SZ,X600372.SH,X600066.SH,X002292.SZ,X000157.SZ,X002475.SZ,X600741.SH,X002049.SZ,X000338.SZ,X600089.SH,X002236.SZ,X002465.SZ,X300124.SZ,X002506.SZ,X002074.SZ,X002129.SZ,X000547.SZ,X000568.SZ,X600177.SH,X300003.SZ,X600582.SH,X300001.SZ,X600839.SH,X002276.SZ,X002456.SZ,X600498.SH,X000977.SZ,X002294.SZ,X002426.SZ,X002489.SZ,X600867.SH,X002498.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0669580390621064,0,0.292616585508738,0,0.0375250301373903,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110524504260518,0.0594658896388508,0,0,0,0,0,0,0,0,0,0,0.0361908512371818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0612882815809873,0.0543941626120798,0.107395641314718,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.133509679760132,0,0.221193490526142,0.0532217285883099,0.280807093435026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105325956036788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166587990791277,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0798091937016604,0,-0.03416114153368,0,0,0,0,0.0380620562499721,0,0.131585094983736,0,0,0,0,0,0.102680910238162,0.213925453542839,0,0,0,0,0,0,0,0,0.00704151701295232,0,0,0,0,0,0,0,0,0,0.0600436112078839,0,-0.0286203684186664,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0539089713269792,0,0,0,0,0,0,0,0,0,0.19645867681285,0,0,0,0,0,0,0.0296715504777192,0,0,0,0,0,0.00206209364054505,0.0851088124049319,0,0,0.194983390337503,0,0,0,0.115063379695214,0,0,0,0.0442673443088341,0,0,0,0,0.0442756754459058,0,0,-0.012716973760998,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.0394052691711087,0,0,0,0.111642209458551,0.0828379036763683,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037587330527945,0.000916124877177791,0.0494510091716075,0,0,0,0,0,0,0,0.00576216366945095,0.163347451740115,0,0,0.0141083593863147,0,0,0,0,0,0,0,-0.073183735401109,0,0,0,0,0,0,0
X600276.SH,0,0.0287188517062266,0,0,0,0,0,0.0617868547610681,0,0.273412719206149,0,0,0,-0.171456110537811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0394424751013919,-0.00357006929983662,-0.0199068002284597,-8.67361737988404e-19,0,0.146975381136425,0,0,0,0,0,0,0.131758742497673,0,0.108319273763018,0,0,0,0,0,-0.0645441030763289,0.0600194024333138,0,0,0,0,0,0
X000858.SZ,0,0,-0.0383125053747102,0,0,0.02766356166412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1067744869176,0,0,0,0,0,0,-0.270999604696435,0,0,0,0.0968167796733489,0,0.116802238439412,0,0,0,0,0,0,0,0,0,-0.0456398484637115,0,-0.0616161935982417,0,0,0,0,0.0234256198175644,0,0,0,0,0,0,0
X002304.SZ,0,0.12894183034032,0,0,0,0,0,0,0,0,0,0,0.0790368775804703,0,0,0,0,0,0.104195677683227,0,0.0144226881525836,0,0,0.18415931217307,0,0,0,0.126427461003858,0,0,0.0469980621685034,0,0,0,0.105498452230179,0,0.064070514500189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0.264267438391069,0,0.0199172101657991,0,0.081467738187436,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643433640719656,0,0,-2.16840434497101e-19,0,0,0,0.157697885007998,0,0,0,0,0,1.0842021724855e-19,0.0272781556162208,0.0932197290353076,0,0,0,0,0,0,-0.0218166783796612,0,0,0,0,0,0,0
X000625.SZ,0,0.131423725927344,0,0,0,0,0,0,0,0,0,0,0,0,0.0298232428022622,0,0,0,0,0.0104454212472721,0,0,0.11992716763637,0.223390084408282,0,0,0,0,0,0,0,0.0207212965368686,0.0806514435591976,0.0875977564840184,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,-0.0153048063386061,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0.179654844645926,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0736297348675727,0,0.178309905407999,0,0,0,0,0,0.0794481389005435,0,0,0.238836086872825,0,0,-3.46944695195361e-18,0,0.0159331402203557,0,0,0,0,0,0,0,0,0,-0.000784467522055968,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.0277375520745792,0.0335316950884127,0,0,0,0,0,0,0.0935251348040664,0,0,0,0,0,0.124909273800085,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0644551985809759,0,0,0.0173859302237431,0,0,-0.107231748313316,0.00573258331742731,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073630865001001,0,0,0.0876237001344365,0,0.145706595313057,0,0,0,0,0,0.176747340149358,0,0,0,0.0278173698013789,0,0,0.178373703601821,0,0,0,0,0,0,0.128830944293069,0,0,0.159048376070662,0,0,0,0,0,0,-0.0141586413426589,0,0,0,0,0,0,0
X002241.SZ,0,0,0.430970800495651,0,0,-0.0559023556335432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117725989955459,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.160548382135225,0,0.0348329756129896,0.133120539421177,0,0.361931396459059,0,0,0,0,0,0,0,0,-0.0171172478520794,-0.0479517103031686,0,0,0,0,0,0
X000559.SZ,0,0,0.205313439942592,0,0,0,0,0,0,0,0,0,0,0.0274172844802988,0,0,0,0,0,0,0,0,0,0,0.00589011083075466,0,0.0646702461426026,0,0,0.0604828685393488,0.0408424490351834,0.125227012481908,0.0486251923919268,0,0,0,0.0679361508986408,0,0.235830097981331,0,0,0,0,0.117194683299837,0,0,0,0,0,0,-0.0350437916795735,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.00442544800237606,0,0,0,0,0,0,0,0,0.410282791688789,0,0,0,0,0,0,0.0602094431671474,0,0.0449879308895989,0.0259920646051059,0.130302873667205,0,0,0,0,0,0,0.014519209385273,0,0,0,0.0169249921820417,0,0,0,0,0,0,-0.03576986636696,0.00531491000901831,0,0,0,0,0,0
