,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000568.SZ,X002475.SZ,X000651.SZ,X600031.SH,X600809.SH,X002304.SZ,X600690.SH,X600104.SH,X000725.SZ,X300014.SZ,X000661.SZ,X300124.SZ,X000338.SZ,X000063.SZ,X003816.SZ,X600703.SH,X000596.SZ,X000100.SZ,X002241.SZ,X002371.SZ,X000157.SZ,X000625.SZ,X600741.SH,X002129.SZ,X002007.SZ,X601877.SH,X002179.SZ,X002049.SZ,X002236.SZ,X002414.SZ,X600584.SH,X300142.SZ,X600183.SH,X601799.SH,X000799.SZ,X000066.SZ,X000800.SZ,X002074.SZ,X600089.SH,X300003.SZ,X002008.SZ,X600779.SH,X000547.SZ,X000050.SZ,X600118.SH,X300001.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.121208082983743,0,0,0.113472284593774,0,0,0,0.143139375900041,8.67361737988404e-19,0,0,0,0,0.0721156882831124,0,0,0,0,0,0,0.0137425073825763,0,0,0.00663477709021287,0,0,0,0,0,0,0,0.0221514346134309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0194790364949565,0,-0.00838377345988032,0.0141254543204098,0,0,0,-0.00478931950460274,0,0
X000858.SZ,0,0,0,0,0.283688829578666,0,0,0,0.112791034796969,0.0986762824721186,0,0,0,0,0,0,0,0,0,0,0.0646523437430898,0,0,0,0,0.035650891742206,0,0,0.0278011732639769,0,0,0,0,0.0369544921590604,0,0,0,0,0.108313621720497,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,-0.00248064388714074,-0.0183766605821067,0,0,0,-0.000907832787237452,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.129039597348186,0,0,0.0304257255688132,0,0,0,0,0,0,0,0,0.175618069909142,-5.42101086242752e-20,0,0,0,0.0605241416244158,0,0,0.00440990676755411,0.0398032507821909,0.252571510572645,0,0,0,0,0.113278225395559,0.0351654308920785,0,0,0,0,0,0,0,0,0,0.0330235507001,0,0,-0.000136311773521908,0,0,0,0,-0.0155966059510503,0,0
X600276.SH,0,0,0.100390485440133,0,0,0.0562283185377116,0,0,0,0,0,-0.0971503435109019,0,0,0.0531477476606897,0,0,0,0,0,0,0,0,-0.0883256087935795,0,0.079140616498678,0,0.0924287098986453,0,0,0.103727161161744,0.0242699857672563,0,0,0,0,0,0,0,0,0,0,0,0,0.0682658093834793,0,0,0,0,0,0,-0.00636147327820985,0,0,0,0,-0.00768143421361063,0,0
X000568.SZ,0,0,0,0,0,0,0,0,0.343219208114664,0.178064312942638,0,0,0,0,0,0,0,0,0,0,0,-0.147362726301636,-0.0461121150036624,0,0,0,0,0,0,0,0,0,0,-0.0169081975260942,0,0,0,0,0.0854570158506476,0,0,0,0,0,0,0.127323402311136,0,0,0,0,0,0,-0.0117092051085788,0,0,0,-0.0073818357613852,0,0
X002475.SZ,0,0,0,0,-0.124133176041055,0,0,0.154667321113102,0,0,0,0,0,-0.0103863186181578,0,0,0,0,0,0.0956724847530858,0,0,0.456757126447481,0,0,-0.00144773207117865,0,0,0,0,0,0,0,0,0,0,0.11290354817064,0.0394025352276247,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0231238509320021,0,0,0,0,0.00968632170909022,0,0
X000651.SZ,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0930919577867963,0.162974921012389,0,-0.0953166269405078,0,0.140885320689939,0,0,0,0,0,0,-0.0810990307109848,0.0562035611001384,0.213073913157625,-0.0348292274320109,0,0.0243913648449592,0,0,0,0,0,0,0,0.0448226752682964,0.0123333359767493,0,0,-0.0481278211777621,0,0.0804359532128909,0,0,0,0,0.0442551886175768,0,0,0,0,0.00244797854343598,0,0,0,0,-0.0224284929185318,0,0
X600031.SH,0,0,0.118734813915039,0,0,0,0,0,0.233174536797924,0,0,0,0,0,0,0,0,0,0,0.0637945303548672,0,0.050349321704736,0,0,0.253261866236254,0.0286152160350589,0,0,0,0,0,0,0,0,0.00760954050097644,-0.0420964726292238,0,0.22303968658638,0,0,0,0.0389761077347697,0,-0.043238482826477,0,0,0,0,0,0,0,-0.0191180411381282,-3.46944695195361e-18,0,0,0,0.0185171727427461,0,0
X600809.SH,0,0.179460555192455,0,0,0.00367060878041321,0,0,0,0,0,0.294769721039607,0,0,3.46944695195361e-18,0,0,0.0927337476580903,0,0,0.159070077234716,0.195560908629311,-0.0291666109095994,0,-0.315430896080729,0,-0.00669854846764485,0,0,0,0,0,0,0,0,0,0,0,0.0228367417347704,0.139916003924781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0.064497921924553,0,0,0.200765761409672,0,0,0,0.232062563686416,0,0,0,0,0,0,0,-0.0376770179984572,0,0,0,0.0128415211416492,0,0,0,-0.0179767588644153,-0.0617300016133095,0,0,0,0,0,0,0,0,0,0,0,0.235461005799412,0.0748650196722956,0,0,0,0,0.222127392894402,0,0.050482272595357,0,0,0,0,-0.0811222192879393,-0.0401302564603585,0,0,0,0,0.013379335819026,0,0
