,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X000338.SZ,X002236.SZ,X300003.SZ,X600031.SH,X002008.SZ,X600809.SH,X300124.SZ,X601877.SH,X600867.SH,X600066.SH,X000625.SZ,X600271.SH,X002456.SZ,X600487.SH,X002294.SZ,X000596.SZ,X000100.SZ,X600566.SH,X000981.SZ,X002241.SZ,X000661.SZ,X002508.SZ,X300142.SZ,X002180.SZ,X300136.SZ,X000157.SZ,X002007.SZ,X000050.SZ,X002179.SZ,X000869.SZ,X600522.SH,X002038.SZ,X600177.SH,X600498.SH,X002049.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.360990197352921,0.103321411809846,0.0908948492970542,0.00695393351868445,0,0,0.00133559379982014,0.0312374885454659,0,0.021253926590505,0,0,0,0,0,0,0.0492461471708267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00994528132399081,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.190132865785158,0,0,0,0,0,0.0765688601994176,0,0,0,0,0.0117983330642388,0,0,0.214145676093148,0,0,0,0,0,0,0.101151495046297,0,0.0429762498790271,0,0,0,0,0,0,0,0,0.0632948875765793,0,0,0,0,-0.176392373125972,0,-0.0298090490544582,0,-0.0680840615876049,0,-0.120410620297197,0,-0.0336257120535484,-0.0622064884087825,0,0,0,0,0,0
X002415.SZ,0.0967119704153133,0,0,0,0,0,0,0,0,0,0,0,0.0197647061060268,0,0,0.230367266741327,0,0,0.00787003267098463,0,0,0,0,0,0,0,0,0.144652034375968,0,0,0,0.196527143619341,0,0.23042285522239,0,0,0.0266308371062202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00853475835788978,-0.0165994677314982,-0.0601948118861584,0,0,0,0,0
X000858.SZ,0.243291798022624,0,0,0,0.156297094454685,0,0,0,0,0,0.167770600163901,0,0.150615439879326,0.0516171838322614,0,0.0681323070391362,0,0,0,0.0947373392051681,0,0,0,0,0,0,0,0,-0.0922730341144362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0192245492334251,0,0,0,0,0,0.00315350171158199,-3.46944695195361e-18,0,0,0,0,0,0
X000651.SZ,0,0,0,0.382668235184834,0,0,0,0,0,0.266494408379713,0,0.160237023628315,0,0,0,0.00600339505377342,0,0,0,0,0,0,0,0,0,-0.0645614871887862,0,0,0,0,0,0,0,0,0,0,0,-0.0679610578395051,0,0,0,0.219793199544765,0,0,0.127934343051039,0,0,0,0,-0.0712264977332467,0,0.03548558450516,0.0792572413702508,0,0,0,0,0,0
X600276.SH,0.108129693272267,0,0,0,0,0,0,0,0,0,0.116428720110345,0,0,0,0,0,0.29199258778724,0,0,0.032196895999105,0,0,0,0,0,-0.0844913578856145,0,0,0.143417379591559,0,0,0.162125215203491,0,0,0.191227849273293,0,0,0,0,0,0,0,0,0.0495106533769799,0,0.0132317576773794,0,0,0,0,0,-0.0589610469799858,0.0101871702952984,0,0,0,0,0,0
X002304.SZ,0,0,0.0468789042750329,0.133334383236511,0,0,0,0,0,0.206651618496143,0,0,0.150916132284336,0,0,0,0,0,0,0.189452469608142,0.141161735162459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136139606652028,-0.0171954126946546,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0.0247161660385442,0,0,0,0,0.0693100928554367,0,0,0,0,0,0.0311892310459309,0,0,0,0,0,0,0,0.132367874025794,0,0,0,0.0985979772954883,0,0,0,0,0,0.113862158088905,0,0,0,-0.143931190913901,0.0644220869172604,0,0,0,0,0,0,0,0,0.0566378696350942,0,0,0,-0.00433562629240493,0.0369686551642921,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153262050209067,0,0,0,0.0375896500305576,0,0,0.0145499346282612,0,0,0,0.212402079579545,0,0.00136048912734383,0.206848396260288,0,0,0.129655012770032,0,0,0,0,0,0,0,0,0,0.0102339584625298,-0.0183961847806293,0,0,0,0,0,0
X600690.SH,0,0,0,0.307289713776546,0,0,0.102743885730189,0,0,0,0,0,0.131102733716736,0,0,0,0,0,0,0.0428298944920303,0.034832875189736,0,0,0.0404459304848377,0,0,0,0,-0.0796895403049465,0.084299388878801,0,0,0,0,0,0,0,0.0571068935315407,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0154074168439765,-0.0237781458252083,0,0,0,0,0,0
X000568.SZ,0.521563512389669,0,0,0.0262529466766273,0.0964112975875902,0.143813072543741,0,0,0,0.0630131805468212,0,0,0,0.0623167838464446,0,0,0,0,0,0,0,0,0.0658524263375261,0,0,0,0,0,0,0.119522156435838,0,-0.0704762739611807,0,0,0,0,-0.115168130027983,0.0382008664620326,0,0,0,0,0.00543241968525171,0,0,0,0,0,0,0,0,0,-0.00872683914355506,0,0,0,0,0,0
X600703.SH,0,0,0.0495554820669643,0,0,0,0,0.129175729734275,0,0,-0.102970799405481,0,0,-0.0482637546509952,0,0,-0.0816474749677302,0,0,0,0,0.109096681778535,0,0,0,0,0.539349393858048,0.0120374427736481,-0.12652176485305,0,0,0,-0.466784856666262,0,0,0,-0.147829865529947,0,0,0,0,0,0.53870035285048,0,0.0262375428832129,0,0,-0.0128384175064647,0,-0.0174910855886514,0,0.0126418734735495,0,0,0,0,0,0,0
X600741.SH,0,0.40302884547722,0,0.0907239317287978,0,0.0161339284710765,0.0356197694741597,0,0,0.164958439788447,0,0,0,0,0,0,0.101086302308936,0,0.0765744372082086,0,0,0,0,0,0,-0.0748083607537564,0,0,0,0,0,0,0,0,0,-0.0664834316187696,0,0,0,0,0,0,0,0,0,0,0,0,0.00126119151591536,0,0,0.0258055513270795,-0.0165864776931888,0,0,0,0,0,0
