,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600276.SH,X600809.SH,X600690.SH,X002475.SZ,X000063.SZ,X000651.SZ,X002304.SZ,X300124.SZ,X600104.SH,X002371.SZ,X003816.SZ,X000725.SZ,X600031.SH,X000596.SZ,X002129.SZ,X000625.SZ,X300014.SZ,X000338.SZ,X002179.SZ,X600089.SH,X600703.SH,X000977.SZ,X002049.SZ,X000100.SZ,X002236.SZ,X600372.SH,X002241.SZ,X601877.SH,X000157.SZ,X600584.SH,X600741.SH,X000661.SZ,X600522.SH,X002074.SZ,X002180.SZ,X000733.SZ,X000066.SZ,X300003.SZ,X600702.SH,X600460.SH,X300142.SZ,X300146.SZ,X002007.SZ,X000800.SZ,X002463.SZ,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.241214073487209,0.0339631491474221,0,0.111431396577356,0,0.023892407719922,0,0,0,0,0,0,0.0213336819030381,0,0,0,0,0,0,0,0,0,0,0,-0.0254212794386195,0.0180918660584503,0,-0.0109473766553502,0,-0.135478124142739,0,0,0,0,0,0,0,0,0.00149361309280898,0,0,0.142866530306425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0.4378068591218,0,0,0.0264075863266212,0,0,0,0,0.0194614018293247,0,0,0.00702597308371625,0,0,0.0359226484338442,0,0,0,0,0,0,0,0,0,0.0314895059540621,0,-0.027181799538388,0,0,0,0,0,0,0,0,0,0,0,0.0513358993932816,0,0.143491317880462,0,0,0,0,0,0,0,0.013077104153701,-0.0407385230331148,-0.00220006731369132,0,0,0,0,0,0
X000568.SZ,0,0.361695908098461,0,0,0,0.0352036920908585,0,0,-0.0651160232254927,0,0,0,0,0,0,0,0,0,0,-0.0897311533909447,0,0,0,0,-0.0253296701705675,-0.0363000087277741,0,0,0.0828736777231643,0,0,0,0,0,0,0,-0.0656389889224706,0,0,0,0,0,0.303213421474444,0,0,0,0,0,-0.0186742099737436,0,0,0,-0.0356565616312826,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0480645703040708,0,0,0,0,-0.112249433751376,0,0,0,0,0,-0.189339014168848,0.261007263857406,0,0,-0.0408166470764398,0.251059549286058,0,0,0,0.30154954447987,0,0,0,0,0,0,0,-0.0253258547283297,0,0.122459263207966,0,0.042536375656691,0,0.0720678406549645,0.0772180669931324,0,0.278356385639623,0,0,-0.178719923600008,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0538224997525146,0,0,0,0,0,0,0,0,0,0,0,0,0.0304925265267194,0,0,0,0.148037800304987,0,0.0866582653729794,0,0,0.0755105289301391,0,0,0,0,0,0,0,0.0528875658008338,0,0,0,-0.01384710278757,0,0,0,0,0.156740838468581,0,0,-0.328479833423905,0,0,0.022055877176284,0,0,0,0,0,0,0
X600809.SH,0,0,0.1459041669888,0,0,0,0,0,0.0125304735885456,0.0242271809680141,0,0,0,0,0,0,0,0,-0.11081679953529,0,0,0,0,0,0.076133700231239,0.00438464670277904,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,-0.0363938134017679,0,0,-0.139463045338745,0,0,0,0.652758039456374,0,0.0259845544947285,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.256782818381383,0,0,0.0302672229561696,0,0.172044934092119,0.630069999069055,0,0,0,0,0,0.0803229897707121,-0.310490580040284,0,0,0,0,0,0,0,0.0411687045012298,0.063319301521688,0.0127906326094338,-0.0244365063726743,0.0131125888854441,0,0,0,0,0,0,0.00619151120451466,0,0,0,-0.199435183974485,0,0,0,0,0,0,0,0,0,0.0640086661685368,0.0941001580288947,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.0582502735310836,0,0.118636399461503,0,0,0,0,0,0,0.0050507254504544,0,0,0,0,0.0924762774786288,0,0,-0.0031390040921543,0,0.108566732019484,0,0.701881185864528,0,0,0.144464735473066,0,0,-0.151136947511599,0,0,0,-0.104787964120661,0,0,0,0.169904825818957,-0.283417464457464,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0.136190923478222,0,0,0,0.059739805920488,0,0,0,0,0,0.0859220689294815,0,0,0,0,0,0,0,0,0,0,0,0.276934434253143,-0.348573811787261,0,0,0,0,-0.0858570672402562,0,0,0,0,0,0,0,0,0.237929321818501,0,0.0796056190045212,0,0,0,0,0,0,0,0,0.169185489937918,-0.212687789913382,0,0,0,0,0,0
X000651.SZ,0,0,0.203300060554077,0,0,0,0.100351770880783,0,0.195775951022957,0,0,0.228318057441335,0,0,-0.139941199280776,0,0,3.46944695195361e-18,0.00178744651811366,0,0,-0.397864801937391,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334015598017902,0,0.0373546521222305,0,0,0,0.00199707644900005,-0.0542771442317532,0,0.0475517851935363,0,0,0,0,0,0,0
X002304.SZ,0,0,0.0873722065637977,0,0,0.0252895169589838,0.051929805476835,0,-0.000451736970529155,0.0559866774169398,0,0,0,0,0,0,0.0821296032875708,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,-0.0940492993097141,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0868941325084372,0,0,0,0,0,0.0144904539024601,0,0,0,-0.0214246818679546,0,0,0,0,0,0
