,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X600741.SH,X600031.SH,X002475.SZ,X002241.SZ,X600066.SH,X002236.SZ,X000338.SZ,X000100.SZ,X601877.SH,X002456.SZ,X600271.SH,X002085.SZ,X600118.SH,X300124.SZ,X000157.SZ,X600089.SH,X600522.SH,X600177.SH,X002508.SZ,X600372.SH,X300136.SZ,X002007.SZ,X600487.SH,X600699.SH,X300003.SZ,X000981.SZ,X002074.SZ,X000066.SZ,X002294.SZ,X600867.SH,X002008.SZ,X000559.SZ,X002180.SZ,X000623.SZ,X600566.SH,X002292.SZ,X002426.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.225941428032265,0,-0.132311828748973,0,0,0,0.0596914067972416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294101391201181,0,0.111163262076476,0,0,0,0,-0.00326412795483941,0,0,0,0,0,0,0,0,0,0.0382189597213902,0.00761155539273267,-0.00285383306137914,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,-0.00476911311374432,0,0,0,0,0,0,0,0.325301104825875,-0.00601877982258598,0,0,0,-0.0703258868491241,0,0,0,0,0,-0.0112937360657555,0,0,0,0.252860588686743,0,0,0.0364677394213906,0,-0.0141063272253788,0,0.23066366589096,0,0,0,0,0,0,0,-0.115608560501085,0,0,0,0,0,0,0,0.00390404130622558,-0.00624388904697411,0,0,0,0,0,0
X002415.SZ,0,0,0,0.27968653509131,0,0,0,0,0,0,0,0,0,0,0,0,0.060185265644922,0,0.284033069681574,0.0606070413573057,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116393038062315,-0.144547630060231,-0.0787953541651233,0,0,-0.0164674412363601,0,0,0,0.157126333824922,-0.223227296868078,0,0,0.0581911029670815,0,0,0,-0.0179153711958847,-0.0152222040482788,-0.00279739755647636,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0862593661438713,0,0,0,0,0,0,0.279433936234554,0,0,0,0,0,0.000877431156712132,0.017675080359684,0,0,0,0,-0.0773534869208217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354795954708876,0,0,0,0.0101987885768366,-0.000900609023791398,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0846559945154801,0,0.151832272668513,0,0,0.0714289473646337,0,0,0,0.246183075282481,0,0,0,0,0,0.0837202152923594,0,0.0538954346731681,0,0,0,0,0,0,0,0.0257425678876165,0,0,0,0,0,0,0,0,0,0,0,-0.11841716846086,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.00668876496869238,0.00406926643215501,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0783763082549356,0,0,0,0,0,0,0,0,0.342690314935429,0,0.173937152030121,0,0,0,0.0256569115699385,0,0.132768017936119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389844007619604,0,0,0,0,0,0.0502615809732354,0.00675862414185393,0,0,0,0,0.00120682675696803,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0781519136448196,0,0,0,0.272600357869724,0,0,0,0,0,0,-0.0961198781878441,0,0,0,0.0688471693839522,0,0,0.00607867504104373,0,0,0,0,0,0,0,0,0,0.020858530691531,0,0.0311523967559828,0,0,0.0160717617538499,0,0,-0.049421622644067,0,0.156523958974663,0,0,0,0,0,-0.0064256614851572,0.0055195573086657,-0.100450857126607,0,0,0,0,0
X000725.SZ,0,0,0,0.159612910062808,0,0,0,0,0,0,0,0,0.112718634010247,0.135566236320379,0,-0.391072744497007,0,0,0,0,0.174769198347492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.238011687739782,0.0685887383257617,0,0,0.264397197835733,0,0,0,0.0460403339774588,0,0.227196313431782,0,0.163188479495578,-0.0449928975067281,0.0165598751935537,0,0,0,0,0,0
X000625.SZ,0,0.0448751717560592,0,0,0,0,0,0,0,0,0,0,0,0.0567051618417861,0,0,0,0.0366277907522779,0.22325438013092,0,0,0,0,0,0,0,0,0,0,0.03235800369283,0,0,0.0938747513525739,-0.139300178067196,0,0,0,0.16345762640613,0,0,0,0,0,0,0,0,0,0,0.140718648928499,0,0,-0.027511191708031,0.00549222046201248,0,0,0,0,0,0
X600690.SH,0,0.189104684514084,0,0,0.218227234433736,0,0,0,0,0,0,0,6.93889390390723e-18,0.0796500303921906,0,0,0,0,0,0,-0.0149351444761635,0,0.0724793210734442,0,-0.0929832418183612,0.0396795773697239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0274664046337983,0,-0.00573671739426515,0.00109597560091262,-0.00439002316604895,0,0,0,0,0,0
