,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X002475.SZ,X600104.SH,X000063.SZ,X600031.SH,X003816.SZ,X000725.SZ,X002304.SZ,X000568.SZ,X000661.SZ,X000338.SZ,X600690.SH,X600703.SH,X600809.SH,X300003.SZ,X002007.SZ,X002371.SZ,X600183.SH,X600741.SH,X000596.SZ,X000100.SZ,X002241.SZ,X300014.SZ,X300142.SZ,X000977.SZ,X601877.SH,X300124.SZ,X000157.SZ,X002236.SZ,X000625.SZ,X000800.SZ,X002463.SZ,X002129.SZ,X002456.SZ,X600118.SH,X600498.SH,X002179.SZ,X002223.SZ,X300136.SZ,X002049.SZ,X600584.SH,X600271.SH,X002414.SZ,X000066.SZ,X002185.SZ,X600522.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.399200471991987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0550458990336753,0,0,0,0,0,0,0,0.0143781521015364,0,0,0,0,0,0,0,0.0464079682170609,0,0,0,0,0.0305261270347839,0,0,0,0,-0.0303878982911266,0,0,0,0,0.0130258211737005,-0.0406688912513176,0.0763057198163814,0.0236878543577364,0.000668951869121178,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.158463407653393,0,0,0,0,0,0.300777845598192,0,0,0,0,0.0985235339034114,0,0,0,0,0,0.208369480263231,0,0,0,0.00586896190409101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0876082818222939,0,0,0.0349728214153184,0,0,0.00444710397590268,0.00981702211113288,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033570401847621,0,0,-0.0133895741206893,0.0970178818079504,0,0.072938222167393,0,0,0,0,-0.00328489925476063,0,0,0,0.0968616004002417,0,0,0.106993973411669,0,0,0,0,0,0,0.0125846709350448,0,0,0,0,0,0,0,0,0,0,0,0,0.00351432851401499,0,0,0,0,0,0,0
X000651.SZ,0,0.147723417662667,0,0,0,0.165029864811235,0.010445200487063,0,0.113733834724009,0,0,0.0870764674662189,0,0,0.0485177907880428,0.16896480498214,0,0,0,0,0,0,0,0,0,0,0,0,0.0409891388377603,0,0,0,0,0,0,0,0,-0.0951522103358858,0,0,0,0,0,0.0270001513656173,0,0,-0.020248159646456,0,0,0,0,-0.00621313553753356,-0.000592206244189175,0,0,0,0,0,0
X002415.SZ,0,0.19794778330707,0,0,0,0.109174471882482,0,0,0,0,0,0,0.0525908136629792,0,0,0,0,0,0,0,0.116215900273637,0.0110420041981748,0,0.211255021348623,0,0,0,0,0,0,0,0,0,0.0271654420490701,0,0.0138729110377,0,0,0,0.0424794971569588,0,0,0,0,0,0,0,0,0,0,0,0.00842589040360869,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0.26694391745237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533906126608706,0,0.126115421672049,0,0,0.153750449201206,0.123337467523446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302776769481109,0,0,0,0,0,0,0,0,0.0157957732272614,-0.00846549306897579,0,0,0,0,0,0
X600104.SH,0,0.309335175377563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365891309952203,0.0893832792650742,0,0,0.0105066908089259,0,0,0,0,0,0,0.0834680171516005,0.169938423549586,0,0.0428839041454963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00320030735677216,0.0380769733974112,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.126462655347314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117477033881871,0,0,0,0,0.192956446203345,0,0,0,0,0,0,0.139335443010873,0,0,0,0,0,0.506888535884226,0,0,0.0720376443125293,0,0,0,0.0418752706795879,0,0,-0.281458502743475,0,0.0520321180015556,0.0236257092634482,0,0,0,0,0,0
X600031.SH,0,0.0872688193826432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514403570667256,0,0,0,0,0,0,0,0,0.103442948113929,0,0,0,0,0.54541824255365,0,0,0,0,0,0,0,0,0,0,0,0.0234080040167428,0,0,0,0,0,0,0,0.0100834112972376,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207283618683451,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00793412129719047,0,0,0.0711725309022726,0,0,0,0.0737452954841918,0,0.0750534780309705,0,0,0,0,-0.00020371594729191,0,0,0.0516645251365303,0,0,0.239898236685361,0.0195842730165239,0,0,0.019118525091187,-0.0186306168834561,0,0,0,0,0,0
