,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600276.SH,X600690.SH,X002475.SZ,X000651.SZ,X600104.SH,X300014.SZ,X000625.SZ,X002129.SZ,X300124.SZ,X600031.SH,X000725.SZ,X003816.SZ,X002371.SZ,X000596.SZ,X002049.SZ,X000063.SZ,X002241.SZ,X000338.SZ,X002179.SZ,X600089.SH,X600703.SH,X600522.SH,X000661.SZ,X601877.SH,X002180.SZ,X300142.SZ,X002074.SZ,X600884.SH,X600741.SH,X600460.SH,X000733.SZ,X000100.SZ,X600702.SH,X000799.SZ,X000157.SZ,X601799.SH,X600563.SH,X002236.SZ,X002176.SZ,X600584.SH,X600487.SH,X002414.SZ,X000800.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0182816194176,0,0.209778508074943,0,0.0415596846664427,0,0,0.081176724335071,0,0,0,0,0,0,0,0,0,0.0673681379192968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296140444649657,0,-3.46944695195361e-18,0,0,0,0.00374471412598412,0,0,0,0,0,-0.0164960724500317,0,0,0,4.33680868994202e-19,0,0,0,0,0,0
X000858.SZ,0,0,0.00254700358625453,0.378181056218897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167589806800196,0.0535107832978977,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178928448285951,0.0837835574895582,0,0,0.0562704280769,0,0.042594476019078,0,0,0,-0.0305156826264075,0,-0.0647279905856295,0.00652069377968358,0.00735942476727458,0,0,0,0,0,0
X600809.SH,0,0,0,0.657195652892092,0.0365685619833883,0,0,0,0,0,0,0.00322971060570412,-0.0335549993304041,0,0,-1.0842021724855e-19,0,0,0,0.0568205923892346,0,0,0,0,0,0,0,0,0,0,0,0,0.0560725420187789,0,0,0.0148830919515118,0,0,0.036399626697937,0,0,0,0.0171866462771088,0,-0.208632250886119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.302493886101613,0,0,0,0.0641640686485338,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304462480580826,0,0,0,0,0,0.0344580708623189,0,0,0,-0.0184850072746311,0,0,0,0,0,0,0,0,0.398137746847663,0,0,0,0,0,0,0,0,0,0,-0.0185009164899297,0,-0.0237365364365184,-0.0133885795383771,0.0236416526516923,0,0,-0.0463066087929175,0,0
X002415.SZ,0,0,0.0790317723084055,0,0,0.462117824958562,0,0,0,0,0,0,-0.157773375077318,0,0.122010365761005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,4.33680868994202e-19,0,0,-0.0260745165160879,0.746924433057167,-0.0429415623027565,0,0,0,0,0,0,0.126229834357489,0,0,0,0,0.00766958827686694,0,0
X002304.SZ,0,1.73472347597681e-18,0.130531148510247,0.0880620402909225,0.00449182462099196,0,0.0680097882915078,0,0,0,0,0,0,0,0,0,0,0,0.141825725158772,0,0,0,0,0,0,0,0,0,0,0,0,0,6.85847745269278e-05,0,0,0,0,0,0.149955720787336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0259822843721099,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.0198852660453935,0,0,0,0.0804353422799654,0,0,0,0,0,0,0,0,0,0.0330548028393057,0.110686777902355,0,0.086407365357601,0,0,0,0,0,0,0,0.0217184486434343,0,0.173677674688915,0,0,0,0.164738155717388,0.124586856630638,0,0,0,0,0,0.0195277493723586,0,0.112329476914263,0,0,0,0,0.0237239149815344,0,0
X600690.SH,0,0,0,0,0,0.137915184170977,0,0,0,0.35962426586999,0,-0.0832808314718925,0,0,0,0.0789560053190998,0,0,0,0,0,0.17762502059588,0,0,0,0,0,0,0,0,0,0.128896582911568,0,0,0,0,0,0,0.00436380255293135,0,0,0,0,0,0,0.0914394871416625,0,0,0,0,0,-0.0226491344313159,0,0,0,0,0,0,0
X002475.SZ,0,0,0.146696977818064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120352902599537,0,0,0,0.179472402495757,0,0,-0.00643860083777979,0,0.119039825360803,0,0,0,0,-0.0311413662824322,0,0,0.117051428495695,0,0,0,0.205336491751355,0,0.123751061427401,0,0.148810053713721,0,0,0,0,0,0,0,-0.0626860214462903,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0504990141237813,0,0,0.126144348196651,0,0,0,0.0666243323164052,0,0,0.146309831744033,0,0,0.0273482354359307,0.0858078939585833,-0.112731081603837,0,0,0,0,0,-0.0620959701390237,0,0,0,0,0,0,0,0,0.0422344528732767,0,-0.0370481099661776,0,0,0,0,0,0,0.0042779749868281,0,0.072902031949722,0,0,-0.00869936604877091,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0173859789615611,0.010588790413014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126759148091533,-0.0541885175107016,0,0,0,0,0,0.282608247942056,0,0,0,0.15042939611983,0,0,0,0,0,0,0,0.145258686378334,0,0.121447321763331,0,0,0,0.0707835710215236,0,0,0,0.0518770405629567,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0763396133645371,0,0,0,0,0,0,0,0,0,0.149426115334511,0,0,0,0.145195826538986,0.028285346305101,0,0.0466281864280046,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.10247810061109,0,0,0,0,0.108020450989114,0,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0246568061819989,0,0,-0.0551195093394067,0,0,0,0.139950330859392,0,-0.108536727477302,0.0147408479643531,0,0,0,0.33885732470754,0.256550830897367,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165818198122772,0,-0.293215578864354,0.0740723230745887,0,0,0,0,0.128409874898457,0,0
