,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X000651.SZ,X300124.SZ,X000063.SZ,X600104.SH,X003816.SZ,X000725.SZ,X000596.SZ,X002371.SZ,X600031.SH,X000625.SZ,X300014.SZ,X000338.SZ,X002129.SZ,X002179.SZ,X600703.SH,X600089.SH,X002049.SZ,X000100.SZ,X600372.SH,X002236.SZ,X000977.SZ,X600741.SH,X000661.SZ,X000157.SZ,X601877.SH,X002241.SZ,X600584.SH,X600522.SH,X000733.SZ,X600702.SH,X002074.SZ,X002180.SZ,X300142.SZ,X002007.SZ,X002463.SZ,X000800.SZ,X601799.SH,X002028.SZ,X000066.SZ,X600460.SH,X300003.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.402002723580298,0,0,0.00134311339485869,0.0502130887038725,0,0,0,0.0380775256690728,0.0237713025030874,-0.0353733794259504,0,0,0,0,0,0,0,0.0984472322668455,0,0,0,0,0,0,0,0,0,-0.0227209021179396,0,0,0,0,0,0,0,0,0.0738460240738527,0,0,0,0,-0.0193560365287945,0,0,0,0,0,0,0,-0.0131972320422632,0.00983296069511932,0,0,0,0,0,0
X000858.SZ,0,0,0.736500083058831,0,0,0,0,0.0263797762425606,0,0.0198177544665606,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,-0.0221292634650041,0,0,0,0,0,0,0,0,0.0387055561518126,0,0,0.0271310435851217,0,0,0,0,0.0431437767072272,0,0.0431936894043571,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0.532752897438456,0.207505839310903,0,0,0,0,0,0,0,0,-0.0290087500237675,0,0,0,0,0.0816409893255158,0.0450823405810424,0,0,0,0,0,0,0,0,0,0,0,-0.0343310155744776,0,0,0,0,0,0,0,0,0,0.247029027994383,0,0,0,0,-3.46944695195361e-18,0,-0.0227566721249114,-0.0845961460895163,0,0,0,0,0.000490526204391035,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.30766932987887,0,0.0609906820166416,0,0,0,0,-0.063940085269912,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0801223649797286,0,0,0,0,0.387023711596365,-0.00530301771779769,0,0,0,0,0,0,-0.335088410896872,0,0,0,0.293168957940391,0,0,-0.1383241221169,0,-0.0745544086776272,0,0,0,0,0,0.0168309340480466,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0.167167328375742,0,0,-0.0476401532300975,0,0,0,0,0,0.193654356516955,0.0304224629816437,0,0,0,0,0,0,0,0,0,0,0.0432389921716628,0,0,0,0,0,0,0,0,0.211716379963809,0,-0.0837626425491219,0,0,0,0.0647676214696498,0,0,0,0,0,0,0.136482543377601,0.0485934317545778,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,-0.347837893501129,0,0,0.0428533879955286,0,0,0.00288776098752894,0,0,0,-0.0884271223721663,0,0,0,0,-0.560233364568272,0,-0.14700119469121,0,0,-0.196713475792333,0.264240038936728,0,0.504468356399342,0,0,0,0,0,0,0,0,0,0.0137845636509731,0,-0.0402609370869864,0,0,0,0,0,0.0956039733704566,0,-0.0719443899608846,0,0,0,0,0,0,0
X002475.SZ,0,0,-0.0260009374874794,0,-0.00665815347182673,0,0,-0.028454893403418,0,0,0.106608930226808,0,0,0,0,0,0,0,0,0,0,0,0,0.105542603815262,0,0.148143796128946,0,0,0.0331392464266121,0,0,0,0,0,0.509019845621883,0.370672973542785,0,0,0,0,0,0,0,-0.0586663957330919,0,0.0738676336673526,0,0,0,0,0,0.0187837233034075,-0.0420924380300455,0,0,0,0,0,0
X600690.SH,0,0.0654634982443025,0,0,0,0,0,0,0,0.08497276323806,0,0,0,0,0.104143503274827,0,0,0.105627653787999,0,0,0,0,0,0,0,0,0,0,0.00541417366005401,0.0173325854130237,0.0601622380954171,0,0.0396482404223878,0.13481107111416,0,0,-0.102072443082502,0,0,0,0,0.0920811467436928,0,-0.019627828531637,0,0,0,0,0,0,0.0778048808464781,0.0240507985583653,0,0,0,0,0,0,0
X002304.SZ,0,0.449582523853176,0.153858116545699,0,0.0325229940450968,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260827347308681,0,0,0,0,0,0,0,0,-0.0305981950493026,0.00724882833699035,0.0132971311007337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00910935443035439,0,0,0,0,0,0,0
X000651.SZ,0.11396535943769,0,0,-0.0692482103707841,0,0,0.0309922060425479,0.422725791868962,0,0,0,0,0,0,0,0,0,0,0.0688520914119775,0,0,0.0117260664355633,0,0,0,0,0,0,-0.0284486940250465,-0.0177952751195425,0,0,0,0,0,0,0,0,0,0,0.0229695100998295,0,0,-0.00809583847927045,0,0.100342647171838,0,0,0,0,0,0,0.0356379242772587,0,0,0,0,0,0
