,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X600690.SH,X000651.SZ,X003816.SZ,X600809.SH,X000568.SZ,X002371.SZ,X000725.SZ,X600104.SH,X600031.SH,X000625.SZ,X002304.SZ,X000063.SZ,X300124.SZ,X000338.SZ,X000596.SZ,X002179.SZ,X000100.SZ,X002241.SZ,X300014.SZ,X002463.SZ,X600089.SH,X600584.SH,X000157.SZ,X600372.SH,X002028.SZ,X600703.SH,X600741.SH,X600066.SH,X000977.SZ,X002236.SZ,X600418.SH,X600522.SH,X600183.SH,X601877.SH,X002049.SZ,X000921.SZ,X600487.SH,X002294.SZ,X002180.SZ,X000800.SZ,X601799.SH,X002074.SZ,X600177.SH,X002129.SZ,X000661.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.225183361574106,0,0,0,0,0,0,0.101256755250023,0.24174853924186,0,0,0,0,0,0.000902695638859338,0,0,0.0426290072617805,0,0,0,0,0,0,0,0,0,0,-0.0102757698133569,0,0,0,0,0,0,0,0.042508095399515,-0.00662775592760618,0,0,0,-0.0618596033287724,0,0,0,0,0,0,0,0,0,-0.0381969972513503,0,0,0,0.0229944964131652,0,0
X000858.SZ,0.322619908522812,0,0.0703723493401267,0,0,0,0,0,0.230103289075109,0,0,0,0.0303955117437429,0.0564053892594822,0,0,0,0,0.0593012465899085,0.0802613986675594,0,0,0,0,0,0,-0.0358907026343096,0,0,0.0481083229053271,0,0.197025381482237,0,0,0,-0.0678598941779659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00617527380387258,0.0919153082776992,-4.33680868994202e-19,0,0,0.019740712442844,0,0
X600276.SH,0,0,0,0,0.0104728552838231,0.0154627914635557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0657540653873385,0,0,0,0,0,0,0,0,0,0,0,0.00593283337915643,0,0,0.223952390461199,0,0,0,0,0,0,0.188780105985394,0,-0.0620385367179427,0.00844278841406577,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,-0.12149165634853,0,0,0,0,0,0,0,0,-0.0681231129410073,0,0,-0.0917933906260221,0,0.489877045494037,0,0,0,0.208769738216193,0,0,0,0,0,0.03939700924329,0,0,0,0.0275193781941327,0,0,0,0,0.116910701958624,0,-0.0438872488147572,0,0,0,0,0,0,0,0,-0.0903157100028618,0,0,0,-0.0320779618085484,0,0
X002415.SZ,0,0,0,0,0,0.125173646741246,0,-0.0403581114274384,-0.0257835887079649,0,0,0,0,0,0,0,0,0,0,0,0.0453275592760923,0,0,0,0,0,0,-0.0241780190377742,0,0,0,0,0,0,0.115958782394237,0.0825528010844287,0,0,0,0.202043558502246,0,0,0,-0.144585128819264,0,0.0786105319335781,-0.0263643059554726,0,0,0,0,0.0457861634378281,0,0,0,0,0.0176923260573638,0,0
X600690.SH,0,0,0.012948414389061,0,0.048143702314109,0,0.32737457221843,0,0,0,0,0.0849785875339786,0,0.0215619152786415,0,0,0,0,0.104621424771786,0,0,0.0239457632673837,0,0.0495545333252777,0,0,0,0,0,0,0,0,0,0,0,0,0.0816184368982397,0,0.0266418681759756,0,0.262606698097606,0,0,-0.0141796650611533,0,0,0,0,0,0,0,0,0,0,0,0,-0.0178712305399644,0,0
X000651.SZ,0,0,0,0,0,0.191990400230028,0,-0.0837899556092284,0.0808248724668998,0,0,0,0,0,0,0,0,0,0.00827244196461428,0,-0.0329417046717533,0,0,0,0,0.124300332123247,0,0,0,0,0,0,0.0549163392563257,0,0,0.00137947756038444,0,0,0,0,0.113427995902663,0,0,0,0,0,-0.114240055468043,0,0,0,0,-0.040240256078726,0,0.055991605926112,0,0,0,0,0
X003816.SZ,0,0,0,0,0,-0.0706993041939618,0,0,-0.0960609686313776,0,0,0,0,0,0,0,0,-0.0163336023295918,0,0,0,0,0,-0.130031912413052,-0.113711699525364,0,0,0,0,0,0,-0.0337737922373858,0,0,0,-0.197865356068585,0,0,0,0,-0.0607153562689453,-0.129828821578609,0,0,0.459254741590223,0,0,0,-0.0822030338003751,0,0,0.155571506746995,-0.205510580252738,0,0,0,-0.0818650224264362,0,0
X600809.SH,0,0,0,0,0,0,0,0.0542673488037382,0,0.176282683303254,0,0,0,-0.0670741919409037,0,0.0157402584862921,0,0,0,0.628323872417795,0,0,0,0,0,0,0,0,0.0580302120786138,0,0,0,0,0,0,0,0,0,-0.0450814791005583,0,-0.00178918989075414,-0.128918723834405,0,0,0,0,-0.0327970027873028,0,0,0,0,0.0190752959567484,0,0,0,0,0,0,0
X000568.SZ,0.112936953952653,0.431749870831388,0,0.0744848098388867,0,0,0,0,0.203049051167529,0,0,0,0,0,0,0,0,0,0,0.17799255321079,0,-0.0799364072335758,0,0,0,0,0.0549757289067509,0,0,0,0,0,0,0.0235553038605893,0,0.0652799162353059,-0.0232951978833098,-0.0769819699293185,0,0,0,-0.0622639412587108,0,0,0,8.67361737988404e-19,0,0,0,0,0,-0.0218211908842042,0,-0.0982620537344923,0,0,-0.00237535190588969,0,0
