,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000858.SZ,X000625.SZ,X002304.SZ,X600276.SH,X000063.SZ,X600690.SH,X600031.SH,X600372.SH,X000338.SZ,X002241.SZ,X000157.SZ,X600741.SH,X600703.SH,X600089.SH,X000100.SZ,X601877.SH,X002236.SZ,X000581.SZ,X000559.SZ,X000050.SZ,X600118.SH,X000550.SZ,X000623.SZ,X002475.SZ,X000568.SZ,X600271.SH,X600066.SH,X300124.SZ,X002294.SZ,X002129.SZ,X600839.SH,X002456.SZ,X002007.SZ,X600177.SH,X600867.SH,X000869.SZ,X000400.SZ,X000800.SZ,X600435.SH,X300003.SZ,X002038.SZ,X002292.SZ,X002465.SZ,X000977.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.201623101226364,0.018046494935411,0,0,0,0.506250800478156,0,0,0,0,0.0302726216334151,0,0,0,0,0,0.0272886733406775,0,0,-0.095172307805627,0,0,0,0,0.0126084494456333,0,0,0,0,0.112061477475438,0,0,0,0,0,0,0,0,0,0,-0.0410053061381404,0.0581233547500457,0,0,0,-0.226439057803075,0,0
X600519.SH,0,0,0.128068417256602,0,0,0.0371677186550268,0,0.195012315028294,0,0,0.0799145690366122,0,0,0,0,0,0.222942700264543,0,0,0,0,-0.0277576075826273,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.078854331426347,0,-0.0366686065639051,0,0.0738008118732167,0,0,0,0,0,0,0,0,0,0,0,0.00406213104800189,-0.0384301550630099,0,0,0,-0.0623387738031623,0,0
X000725.SZ,0,0.0839614506984398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351176905310574,0,0.163887824578418,0,0,-0.0310633845409381,0,0,0,0,0,0,0,0,0,0,0,0,0.0597776102080408,0,0.0164331369609527,0,0,0,0,-0.160764142012129,0,0,0,0,0,0,0.0164946479906377,-0.0303787246173395,0,0,0,0,0,0
X000651.SZ,0,0,0.114900211973371,0,0,0,0,-0.0751218641948873,0,0,0.0765670666455104,0,0,0,0,0,0,0,0,0,0.347151099139681,0,0,0,-0.0517352451595272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0819922397431319,0,0.210590321578859,0,0,0.0120207507838615,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0718966432261093,0,0,0,0,0.0963430407735799,0.0100743868110391,0,0,0.167526108013354,0,0.100866874069859,0.0583440113599477,0,0,0,0,0,0,0,0,0,0.211122302240539,0,0,0,0,0,0,0,0,0,0,0,0,0.0304381949499091,0,0.0355330808809628,0,-0.00385221560520354,0.024111774826415,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0854138874436104,0.0390666664525866,0,0,0,0.129114410295703,0,0,0.0101842313771054,0,2.16840434497101e-19,0,0.100787386018161,-0.0025120443805729,0,0,0,0,0.336367475322278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0153662211848208,0,0,0,0,0,0,0
X000625.SZ,0.097014285910829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223804837746397,0,0.0479531594870977,0,0,0.0606622721106403,0,0,0,0.118362787549205,0,0,0,0,0,0,0,0,0.00897164982357833,0,0,0.0387316580119509,0,0,0,0,0,-0.0337306717279974,0,0,0,0.0214736414485412,0,0,0,-0.00122566248135866,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.230532417384132,0,0,0,0,0,0,0,0,0,0,0,-0.114215375383817,0,0,0.212132444234653,0,0,0,-0.0805820481919583,0,0,-0.0580320814603029,0,0.296613641512036,0,0,0,-0.245022922409213,0.134230385206467,0,0,0,0,0,0,0,0,0,0,0.386038034330732,0,0,0,0,0,0.00575791427381312,0.0139831307687481,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0978461773934902,0,0,0,0,0.0502703541840857,0,0,0,-0.0271499691141296,0,0,0,0,0.032902447199942,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0338755935535768,0,0.221258195436634,0,0.109266534020851,0,0,0,0,0,0,0,0,-0.0499699764441992,-0.100948525660772,0,0,0.0133272514228293,0,0,0,-0.119165213921968,0,0
X000063.SZ,0.102641160488103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332847780481768,0,0,0,0,0.0133724588825436,0,0,0,0.0878775242474093,0,0,0,0.00121963626481296,0,0.169757722387636,0.0606739327836414,0,0,0.0384431943770524,0.0183976724406266,0,0,0.0736805063015609,0,0,0,0,0,0,0.00596964850622689,-0.00462136336500972,0,0,0,0,0,0
