,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X002304.SZ,X000625.SZ,X000858.SZ,X600276.SH,X600372.SH,X000063.SZ,X600690.SH,X600031.SH,X002241.SZ,X000338.SZ,X000157.SZ,X600703.SH,X600741.SH,X600089.SH,X002236.SZ,X002475.SZ,X000100.SZ,X000581.SZ,X000050.SZ,X600118.SH,X000559.SZ,X601877.SH,X600066.SH,X000568.SZ,X000550.SZ,X002129.SZ,X600271.SH,X002456.SZ,X002294.SZ,X600435.SH,X002292.SZ,X300003.SZ,X000400.SZ,X300124.SZ,X000869.SZ,X002038.SZ,X000800.SZ,X600839.SH,X000977.SZ,X002049.SZ,X600566.SH,X002008.SZ,X000623.SZ,X600177.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0.0837949122961918,0,0.0331392816820823,0,0,0.00421229417372144,0,0.103934384634045,0,0,0,0,0,0.366584547283348,0.0108830200736648,1.38777878078145e-17,0,0,0,0,0,0.0525861302245225,0,0,0,0.106197714624643,0.0136398120065281,0,0,0,0.00940998863992029,0,0,0.027205267285128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00427679894088532,0,0,0,0,0,0,0
X600519.SH,0.150566016484437,0,0,0,0.0451698822519277,0.237173666880432,0,0.135076333644886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355983260033096,0,0,0,0,0,0,0,0,0,-0.083117287101299,0,0,-0.0151968882370555,0,-0.0197928425667913,0,0,0,-0.0108698684250565,0,0,0,0,0,0,0,0,-0.0126172568611452,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00462394381932972,0.0299699985115219,0,0.0896047239986802,0,-0.0095540798096983,0.00834751929179863,0,0,0,0,0.15804413639434,0.0464124674030822,0,0,0,-8.67361737988404e-19,0,0,0.0603330510838949,0,0,0,0.0857651227680891,0,0,0,0,0,0,0,0,0,0.0268802435178228,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.165730332475093,0,0,0,0,0,0.199284560656726,0,0,0,0,0,0,0,0,0,0,0,-0.0176205142645956,0,-0.041034855317868,0,0,0.257813970618916,0,0,0,0,0,0,0.0246186061454653,0,0,0,0,0,0,0,0,-0.0345676884609125,0,-0.0189933799959775,0,0,0.0544635505834452,0,-0.00353683437081633,0.0105503019155222,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.036878561944936,0,0,0,0,0,0,0,0,0,0.429425536120101,0,0,0,0.038685157653748,0,0,0,0,0,-0.0174206983184135,0,0,0,0,0,0,0,0.147456442785344,0,0,0,0,0,0,0.0601532336784649,0,0.0914448926849596,0,0,0.0367036772077614,0,-0.0551539136696704,0.0879219537414747,0,0,0,0,0,0
X002304.SZ,0,0.0584642860720723,0,0.0516321685873414,0,0,0,0.250782107773891,0,0,0,0,0,0,0,0,0,0.126232677641321,0,0,0,0.0154373361566161,0,-0.101298411909851,0,0,0,0,0.149543045345648,0,0,0,0,0,-0.0192108469554438,0.144139134047479,0,0,0,0.0834825066607173,0,0,0,0,0,-0.042876228588783,0,0,0,0,0,-0.00412882316646593,0,0,0,0,0,0,0
X000625.SZ,0.465735834929276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233776650488557,0,0,0,0,-0.0223141316824666,0,0,0.0687711168038952,0.0311749842091211,0.0127397477622409,0.152144693950994,0,0,0,0,0,0,0,0,0,0.0273092546089153,0,0,0,0.00885301073297828,0,0,0,-0.0736950206098289,0,0.0372420162932328,0,0,0,-0.0113438969564675,-8.67361737988404e-19,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0.0443481970338044,0,0,0,0,0,0,0,0.185891168955732,0,0,-0.0927766829054601,0,0,-0.0622800152743604,0,0,0,0,0.0972843605766298,0,0,0,0,0,0,0,0.106615997549912,0,0.0608939252218906,0.306535145347502,0,0,0,0,0.0059115915428221,0,0,0,0,0,0,0.000803953171973276,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309357888812427,0,0,0.0081593756248685,0.0243662090200932,0,0,0,0,0.119529752495066,0.0316404176778321,0,0,0,0,0,0.0204683344087731,0,0,0,0,0,0,0,0,0,-0.0911199583434909,-0.0489573997824996,0,0,0,0,0,0.0824107405343285,0,0.0172962664329037,0,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0607381242077929,0,0,0,0,0,-0.0431115337902164,0,-0.10117343576047,0,0.00705797773188664,0.148803797724359,0,0,0,0,0,0.254703434194202,0.338969857051878,0,0,0,0,0,0,0.034603205214623,0,0,0,0,0,0.0517802024976627,0,0,0,0,0,0,0,0.0470006207590205,0,0,0,0,0,0
