,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002475.SZ,X002304.SZ,X600276.SH,X600690.SH,X300014.SZ,X600104.SH,X002129.SZ,X300124.SZ,X000651.SZ,X000625.SZ,X002371.SZ,X000725.SZ,X002049.SZ,X600031.SH,X003816.SZ,X000596.SZ,X002241.SZ,X600703.SH,X000063.SZ,X000338.SZ,X002179.SZ,X600089.SH,X600522.SH,X000661.SZ,X601877.SH,X002074.SZ,X002180.SZ,X300142.SZ,X600884.SH,X600741.SH,X000733.SZ,X000100.SZ,X600460.SH,X000157.SZ,X600702.SH,X600584.SH,X000799.SZ,X601799.SH,X600418.SH,X002236.SZ,X600563.SH,X002414.SZ,X000800.SZ,X002176.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.267243562169134,0,0,0,0,0,0,0,0,0,0,-0.0272115236464061,0,0,0,-0.0122116310390616,0,0,0,0,0,0,0,0,0.0318653345078168,0,0,0,0,0,0,0,0.0886078076981992,0,0.0610501449637012,0,0,0,0,0,0,0,0,0,-0.0465115351617878,0,0,0,0,0.014316356548346,0,0,0,-0.00499164741012999,0,0
X000858.SZ,0,0,0.364755941476619,0,0,0,0,0,0,0,0,0,0,0,0,0.0153676621619435,0,0.0472666823153893,0,0,0,0.0813069738752958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175342342504086,0,0,-0.0535045328311456,0,0,0.0103077313038298,0,0,0.0569755745218579,0,-0.0484142076675338,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0.210913661443485,0,0.0469078098811613,0,0,0,0,0,0,0,0,-0.0589794308677848,0.0756990066713681,0,0,0,0,0.154595025110301,0,0,0,0,0,0,0,0,0,0.000449870873092812,0,0,0,0,0,0,0,0,0.017974357386392,0,0,0,-0.0149456694068202,0,0.00930069924136175,0,0,-0.00985059516507542,0,0.29208922384862,0,-8.67361737988404e-19,0,0,0,2.71050543121376e-20,0,0
X000568.SZ,0,0,0.202907759320657,0,0,0.0392791652795035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00163796012956489,0,0,0,0,0,0,-0.0238814013372142,0.0533835980932971,0,0,0,0,0,0,0.0307144216867102,0,0,0,0.360387498709856,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,-0.0294853072157189,1.0842021724855e-19,0,0,0,-0.0124922625998735,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,-0.0627505044606939,0.0561157002031059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0292996588409223,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.123346450384614,0.0408657307246906,0,-0.0447221417389586,0,0.731366289731578,0,0,0,-0.0128724944220772,0,0,0,0.0188114643764939,0,0,0,0.0136912691962775,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821465234503099,0,0,0,0,0,0,0.15987607980208,0.0416183103535375,0,0,0,-0.0278146967850938,0.108882563590925,0,0,0,0,0,0,0,0,0.24010739658256,0.171001555827684,0,0,0,0,0.0852876521828345,0.0280431191684053,0,0,0.000198844722371843,0,0,0,0,-0.102859676839918,0,0,0,0,-0.0587359645908553,0,0
X002304.SZ,0,0.0228873948613055,0,0.257397794765212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153682732215926,0,0.0627557019932273,0,0,0,0.250842974492263,0,0,0,0.0269745667776282,0,0.0103583899165126,0,-0.0355372813546199,0.00646182437657386,0,0,0.0289516239258276,0,0,0,0,-0.00977764061305877,0,0
X600276.SH,0,0,0,0,0,0.07602005917949,0,0,0,0.184899452549166,0,0,-0.24651934119317,0,0,0,0,0,0,0,0.0461093610365366,0,0.431376303565999,0,0,0,0,0.196433085155902,0.0604503065468061,0,-0.0791393127831377,0,0,0,0,0.0315686887473457,0.228846969516976,0,0,0,0,0,-1.73472347597681e-18,-0.167927323114201,0,0,0,0,0,-0.178755695102887,0,0,0.0957677680386238,0,0,0,0.0288773087174709,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2216779147842,0,0,0,0,0.0202093548810619,0,0,0.120536641548684,-8.67361737988404e-19,0.0371564501939109,0,0,0,0,0,-0.0590442034967808,0,0,0,0,0.0808585717244575,0,0.0519606016137908,0,0,0,0.0984596938472046,0,0,0,0.0187452723471607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0.064235898734604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0563745892047822,0,0.10148991900906,0.160432838923404,0,0,0.0706410933546503,0,0,0,0,0,0.0192219514203728,0,0,0.148702682289234,0.117214032935066,0,0,0,0,0,0.0825807715768811,0,-0.0324459213967015,0,0,0,0,0,0,0
