,X600519.SH,X002415.SZ,X600104.SH,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X002475.SZ,X002236.SZ,X600741.SH,X000338.SZ,X600031.SH,X002008.SZ,X300003.SZ,X601877.SH,X002456.SZ,X000625.SZ,X300124.SZ,X600487.SH,X600809.SH,X600066.SH,X600271.SH,X000100.SZ,X002241.SZ,X600867.SH,X002294.SZ,X600566.SH,X000981.SZ,X300136.SZ,X600522.SH,X002508.SZ,X000050.SZ,X002179.SZ,X000157.SZ,X600089.SH,X600177.SH,X300142.SZ,X000661.SZ,X000596.SZ,X600498.SH,X000977.SZ,X002180.SZ,X600707.SH,X600118.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.46483340057083,0.0827091274061889,0,0.0550346809950498,0,0,0.0215499773118876,0,0,0,0.0258509947968313,0,0,0,0,0.0742863531334061,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0428661518656056,0.0367660806037317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270016917125373,0,0,0,0,0,0,0
X002415.SZ,0.0284003051195772,0,0,0,0,0.0765083042779025,0,0,0,0.256613846625071,0,0,0,0.255398775116825,0,0,0.0359449663210268,0,0.025011294896458,0,0,0,0,0.261432705957984,0,0,-0.0123944839737581,0,0,0,0,0,0,0.102524310383422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142677772150794,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,-0.0449170870604504,-1.73472347597681e-18,0.000715228918999056,0,0,0,0.316522456026911,0,0,0,0,0.102302131347235,-0.0766329581629927,0,0,0,0,0,0,0,0,0,-0.0841903801132342,0,0,0,0,0,0,-0.219364490098577,0,0,0,0.112697283380668,0,-0.037892865846632,0,0,0,0.174878384721544,0,0,0,-0.037757734414314,0,0,0.240213462674568,0,0,0,0
X000651.SZ,0,0,0,0,0.4034854643917,0,0,0.05748186175747,0,0.165562545269155,-0.0185877811310484,0,0,0,0,0,0,0,-0.0132574582417724,0,0,0,0.202814986164821,0,0,0.0819454128744531,0,0,0,0,0.0206742070649267,0,0,-0.0101570177649465,0,0.0798793790179781,0,0,0,0,0,0.00865561445283623,0,0,0,0,0,-0.135173310293271,0,0,0,0,-0.0226731898906121,0,0,0,0,0,0
X000858.SZ,0.0544636867162289,0,0,0.15704700872913,0,0,0,0,0,-2.16840434497101e-19,0,0.693548034390091,0,0.0463609498935249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0239173618330282,0,0,-0.00243483511062166,-0.0203707002472736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0
X600276.SH,0,0.0951330767305384,0,0.0605550621724168,0,0,0,0,0,0.141391360149128,0,0,0,0,0.0626270230742791,0,0,0,0.109644739383554,0,0,0,0,0.219124077559459,0.0556403187132734,0,0,0,-0.00980916338631605,0.0715833920255801,0,0,0,0,0,0.0527784627607105,0,0,0,0,0,-0.016974580592952,0.0653919489428976,0,0,0,0,0,0,0,0,-0.0175864980627954,-0.00604837910544792,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.235267184128139,0.0288416931222342,0,0,0,0,0,0,0,0,0,0,0,0,-0.0340550909281956,0,0,0,0,0.207618179940012,0.109967716083261,0,0,0,-0.00620969354892331,0,0,0,0,0,0,0.574911521777848,0,0,0.153263759402516,0.0819447153250645,0,0,0,0,0,0,0,0,0.0124606637961723,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.0455762097139247,0.128218628642667,-0.0244277462887358,0,0,0,0.124815321569994,0.326179393232238,0.0709984180172636,0,0.176973793804374,0,0,0,0,0,0,0,0,-0.114216433970323,0,0,-0.0536507175625001,0,0,0,0,0,0,0,0,0.277541323012245,0,0,0,0,0,0,0,0.0249075589846542,-0.0706324673608864,0,0,0,0,0,0,0,-0.0313516107684756,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.292371775964185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13966978811105,0,0,0.0578642375658874,0.290732297509709,0,0,0,0.105126850375763,0,0,0,0,0,0,0,0,0,0,0,0.368471106504434,0.198516860843403,0,0,0,0.176576947770737,0,0,0.0290027586181559,0.0460148938465893,0,0,0,0,0,0
X600690.SH,0,0,0,0.356770121967105,0.147653579677854,0.00174398459326688,0,0.140741770827642,0,0,0,0.175278353191447,0,0,0,0,-0.0373870746412199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00157435015516886,0,-0.140602213146915,0,0,0,0,0.0572512804721761,0,0,0.0257883321221955,0,0,0,0,0,0.0193258075084255,3.46944695195361e-18,0,0,0,0,0,0
