,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X002304.SZ,X000568.SZ,X600031.SH,X600809.SH,X000725.SZ,X000063.SZ,X600690.SH,X003816.SZ,X002241.SZ,X000661.SZ,X000338.SZ,X300124.SZ,X000596.SZ,X600703.SH,X300014.SZ,X002007.SZ,X600741.SH,X000625.SZ,X000100.SZ,X002371.SZ,X300142.SZ,X002129.SZ,X601877.SH,X002049.SZ,X000157.SZ,X002236.SZ,X002179.SZ,X300003.SZ,X600584.SH,X000800.SZ,X002414.SZ,X600183.SH,X300136.SZ,X000066.SZ,X000977.SZ,X601799.SH,X002456.SZ,X600118.SH,X002185.SZ,X600066.SH,X002008.SZ,X000050.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0422999201377715,0.0953369458500253,0,0.0333246805387427,0,0,0,0.246163053718102,0,0.158764287180472,0,0,0,0,0,0,0,0,0,0.0104305481751979,0,0,0,0,0.075981354032977,0,0,0,0,0,0,0.0332287082289302,0.0195010863585361,0,0,0,0.0124789160609496,0,0,0,0,0.0507728587136473,0,0,0,0,0,0,0,0,0,0.00451645925138383,0,0,0,0,0,0
X000858.SZ,0.037487258364661,0,0,0,0,0,0,0.223669620819922,0,0,0.333683953072707,0,0,0,0,0.102833857462187,0,0,0.0286743472899204,0.0775394511734391,-0.046068845530898,0,0,0,0,0,0,-0.0225241458854732,0,0.00527979435118023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0428395008828813,0,0,0,0,0,0
X600276.SH,0.0689578448549785,0,0,0,0.0656964858663857,0,0,0.0694014548514363,0.0710748592914139,0,0.0906269391994275,0,0,0,0,0,0,-0.0583341414812749,0,0,0,0,0,0,-0.0656809084691968,0.0198100076188823,0,0,0,0,0,0,0.140470869501186,0,0.0333805932408108,0,0,0.0508343838058916,0,0.0281441224920237,0,0,0,0,0,0,0,0,0,0,0,0,-0.0254308150750778,0,0,0,-0.128991117877285,0,0
X002475.SZ,0,0,0,0,0,0,0,0,-0.0297541990343998,-0.0155724034216454,0,0,0,0,0,0.338370001128575,0,0,0,0,0,0,0,0,0,0.143834455359782,0,0,0,0,0,0,0,0,0,0.0559881790164301,0,0,0,0,0,0,0.0419057020444454,0,0,0,0,0.109929196656763,0.154652971167545,0,0,0,-0.0114403250598631,0,0,0,0,0,0
X002415.SZ,0,0,0,0.172702264511366,0,0,0,0.0290532978553176,0,0,0.00276425255127125,0,0,0.0506120861379949,0,0,0,-0.0358782727494887,-0.0054463559222362,0,0,0,0,-0.0165952782030877,0,0,0,0,0,0,0.0835900539962967,0,0.181661855874189,0,0,0,0,0,0,0.067137878185731,0,0,0,0,0,-0.0694214186345505,0,0,0,0,0,0,-0.018471706994917,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0831141558662939,0,0,0,0,0,0,0,0,0,0,0,0.0215049641820207,0,0.0795595551262664,0,0,0,0,0.00636015330014335,0.0211527497683862,0.0600649127779595,0.0118693591056779,0,0.023993980591603,0,0,0.0150131653139747,0,0,0,0,0.0198955203954758,0,0.17585883979812,0,-0.101727143567045,0,-0.0223269606914093,-0.0362225379618789,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.136287849973509,0,0,0,0,0,-0.0277750075714457,0,0.136405385032032,0,0,0.0569918112819468,0,3.46944695195361e-18,0.102630739378249,-2.16840434497101e-19,0,0.00210785428203376,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0881963969341379,0,0,0,0,0,0.0881733407945528,0,0,0.0265791288975403,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0.15284270096992,0,0,0.0436564193088477,0,0,0,0.335773078274328,0,0.0096009769083074,0,0,0,0,0,0,0,0,0,0,0.13262799951938,-0.0867000435754102,0,-0.0108910986847129,0,0,-8.67361737988404e-19,0,0,0,0,0.0224224338356531,0.0884733328491615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0850436043301021,0,-0.0116472852765489,0,0,0,0,0,0,0
X000568.SZ,0,0.166615656244591,0,0,0,0,0,0.520382647618537,0,0,0,0,0,0,0,0.119692996017017,0,0,0,0.053944090327488,0,0,0.0364912658008489,-0.0291870730973657,-0.216356409019772,0,-0.0379022873902443,0,0.0270891051634432,0,0,0,-0.141735537932562,0,0,0,0,0,0.194358649668862,0.0254673464312368,0,0,0,0,0,0,0,0,0,0,0,0,0.012088619121018,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25826454947938,0.27701373668602,0.0620706439880704,0,0,0,0,0.0714064488394005,0,0,0,0,0,0,0,0.365131567841065,0,0,-0.0610913214789402,0,0,0,0,0.0699105755344232,-0.0276963622611874,0,0,0,-0.0348955132400877,0,0.0153349312078353,-0.120654472448679,0,0,0,0.0748256139577472,-0.0438627849245366,0,0,0,0,0,0
