,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002475.SZ,X002304.SZ,X600690.SH,X600104.SH,X000651.SZ,X600031.SH,X000725.SZ,X002371.SZ,X300124.SZ,X300014.SZ,X003816.SZ,X000063.SZ,X000338.SZ,X002241.SZ,X600703.SH,X002129.SZ,X000625.SZ,X002049.SZ,X601877.SH,X000596.SZ,X300142.SZ,X000661.SZ,X002179.SZ,X600089.SH,X000100.SZ,X600460.SH,X000799.SZ,X600741.SH,X002236.SZ,X000157.SZ,X600702.SH,X002074.SZ,X600884.SH,X600779.SH,X002414.SZ,X600584.SH,X601799.SH,X002007.SZ,X000800.SZ,X600183.SH,X002176.SZ,X000733.SZ,X300003.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600031.SH,0,0,0,0,0,0,0.193398439778379,0,0,0,0,0,0,3.46944695195361e-18,0.106502768684632,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265555381969953,0,0.0322089980858488,0,0,0,0,0,0,0,0,0.0307324489214798,0.0142877370535679,0,0,0,0.00276520848448563,0,0,0,0,0.171019387847011,0,0
X000725.SZ,0,0,0,0,-0.0608440193230228,0,0,0.0442515332137857,0,0,0,0,0,0,0,0,0,0,0.012331047613489,0,0.0207820699309468,-0.0214021168002644,0.0398430645592859,0,0,0,0.0017241771689848,0,0,0,0.330921687415832,0,0,0,0,0,-0.0278046816189302,0,0,0,0,0,0,0,0.147682264897623,0,0,0,0,0,0.0114550367616047,-0.0030268007547547,0,0,0,0,-0.0986864602463847,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0229851365904738,0,0,0,-0.267082623152425,0,0,0,0,0.427887188469952,0,0,0,0.153715854999343,0,-0.0347914178869459,0,0.27835216643296,0,0,0,-0.0223349224104222,0,0,0.357257415847248,0.0182131392383272,0,0,-0.112590044150111,0,0,0,0,-0.381808467797694,0,0,0,0.0679254489183033,0,0,0,0,0.039886009341555,0,0
X300124.SZ,0.614846624808272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605725370155219,-0.241976513197983,0,0,0,0.27543365006289,0.210526258164307,0,0,0,0,-0.0175448738905021,0,0,0,0,0,0,0,0,-0.27862473720375,0,0,0,0,0,0,0,0.107251862989725,0,0,0,0,-0.012555711770574,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0.0317020908738494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10731992112205,0,0.198164108147769,0.312027574995997,0,0,0,0,0.184017107674861,0,0,0,0,0,0,0,0,0,0.25481917300602,0.133541040990446,0,0,0,0,0,0,1.38777878078145e-17,0.0493327515327872,0.0961305100402002,0,0,0,0.00653171574511656,-2.16840434497101e-19,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0580171528527024,0,0,0,0,0,0,0,0,0,0,-0.0105873396204269,0.00551813046917993,0,0,0,0.0345563714679336,0,0,0,0.0156962866899318,0.0553302918101606,0.126780200629152,0,-0.0145604432455576,-0.0106080576463616,0,0,0,0,0,0.0450088582391217,0,0,0,0,0,0,0,0.0204334238123346,0,0,0,-0.112431578353128,0,0
X000063.SZ,0,0,0,0.238000598141247,0,0,0,0,0,0,0,0,0,0.084741298823223,0,0,0,0,0,0,0,0,0,0.127601692831551,0,0,0.109127235472031,0,0,0,0,0,0,0,0,0.321839866576432,0.255372667100325,-0.0674335506221977,-0.062427279759369,-0.441390707385052,0,0,0,0,0,0,0,0,0,0,0,-0.0230905129582448,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0,0.128291273178205,0,-0.0286490578391437,0.0629360295923941,0,0,0,0,0,0,0,-0.0636909770726914,0,0.154699672580103,0.0258452515418028,0.146929044433539,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.0718938408095347,0.0479515609685251,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.00560544774774744,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0.473398679975685,0.0231705108183732,0,0,0,0,0,0,-0.0668007659198638,0,0,0,0,0,0,0,-0.438210076032147,0,0.19189187546825,0,0.0931239158308552,-0.00547549390508978,0,0.253263330001656,0,0,0,0,0,0,0,0,-0.129405358951226,0,0,0,0,0,0,-0.0259123698707962,-0.223858099417758,0.244917892585202,0,0,0,0,0.0522117523976004,0,0,0,-0.123651094995099,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0756257732206452,0.0380830392398003,0.0459496432322448,0,0,0,0,0,0.304908846068331,0,0,0.0767423908060059,0,-0.0129766403118456,0.0593199687545383,0,0,0,0.178606366689714,0,0,0,-0.0477570150607838,0,0.00870420669410951,0,0,0,0,0,0,0,0,0,0,0,0.0265937330349378,0,0,0.0034493393108453,0,0,0,0,0,0
