,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X002304.SZ,X600690.SH,X000651.SZ,X002475.SZ,X002371.SZ,X600104.SH,X003816.SZ,X000063.SZ,X000596.SZ,X300124.SZ,X000725.SZ,X600031.SH,X300014.SZ,X002129.SZ,X000625.SZ,X000338.SZ,X002179.SZ,X600089.SH,X600703.SH,X002049.SZ,X002236.SZ,X000100.SZ,X600372.SH,X000661.SZ,X002241.SZ,X601877.SH,X600702.SH,X000157.SZ,X000977.SZ,X002180.SZ,X600741.SH,X300142.SZ,X002074.SZ,X600522.SH,X600584.SH,X600460.SH,X000733.SZ,X300003.SZ,X002007.SZ,X002294.SZ,X300146.SZ,X000800.SZ,X002463.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.297594585067674,0,0,0,0,0,0,0,0,0,0,0,0,0.00732919636764026,0,0,0,0.119085052120371,0.00684245385449758,0,0,0,0,0,0,0,0,0,0,-0.043337121980728,0,0.0954547736070531,0,0,0,0,0,0.0887275101204871,0,0.0241758132485313,0,0,0,0,0,0.131151569450677,0,0,0,0,-0.0452962634202554,0.0324943800992729,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0811879056962509,0,0,0.395718490372005,0,0,0,0,0,0,0,0.0723774880593755,0,0,0.0500035553403607,0,0,0,0,0,0,0,0,0.0428085791983177,0,0,0,-0.0649478305228672,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.0214607709841708,0,0,0,0.0157424503317441,0,0,0,0,-0.0635889578451021,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,-0.162768310035549,0,0,0.0280160725498956,0,0,0,0,0.1609351751146,0,0,0,0,0,0,0,0.149518582484545,0,0,0,0.0424153668335438,0,0,0,0,0.3357754981444,0,0.00458183780108506,0.0596945899607804,0,0,0,0,0,0.112153254651784,0.00611674643527953,0,0.15968951245137,0,0.0483316849708601,0,0.046585185597262,0,0,0,0,0,0,0
X000568.SZ,0,0.536636459177031,0,0,0,0,0.10533088469105,0,0,0,0.078313953811604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0118340741098834,0.0460473089306348,0,0,0,0,-0.0142519118225637,0.213837700046064,0,0,0,0,0,0,0,-0.195331308151684,0,0,0,0,0,0,0.0375833687633465,0.0317470624997317,0,0,-0.0468959004692207,0.0460919769099602,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0677541310893399,0,0,0,0,0,0,0,0,0,0.217632814558733,0,0,0,0,0,0,0,0,0.0689196310329747,0,0,0,0,0,0,0,0,0,0,0,0.0779994231411452,0,0,0,0,0.124377961420009,0.194677760969059,0.0987269461995152,0,0,2.16840434497101e-19,-0.0199516548859798,0,0.0200082016428981,-0.011268904135038,0.199957047461618,0,0,0,0,0
X600809.SH,0,0.151254853576525,0,0,0,0,0.171706914202319,0,0.110773047588996,0,-0.000495258255418848,0,0,0,0,0,0,0,0,0,0,0,-0.162546653510057,0,0,0,0,0,0,0.0687563225499107,0,0,0,0,-0.0158961067955671,0.223684670331333,0,0,0,0,0,-0.026846583989526,0,0,0,0,0,0,0,0,0,-0.0172654910074705,-0.0328420384831282,0,0,0,0,0,0
X002304.SZ,0,0.090559186854108,0,0,0,0.277169932130748,0,0.0541703310931304,0,0,0,0,0,-0.0787177991758076,0,0,0,0,0,0,0,0,0,0,0,0,-0.0722059309710787,0,0,-1.73472347597681e-18,0,0,0.128200183465955,0,0,0,0,0,0,0,0,0,0,0,0,-0.0593957902163579,0,0,0.0717894539100167,0,0,-0.02951673835615,0.00673467191566883,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.0910380973626997,0,0.30411907247044,0,0,0,0,0,0,0,-0.465752048807573,0.272152552719411,0,0.172877274106437,0,0.0971310011389631,0,0,0,0,0,0,-0.106801909968215,0.0937198795160042,0.0369964240878192,0,0,0,0,0,0.0135337140251872,0,0,0,0,0,6.93889390390723e-18,0,0,0.0702954513363905,0,0,0.23814295295477,0,0,-0.114019226368811,0,0.0507548485678391,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0.0429618216985888,0.358191836758229,0,0,-0.0892825842594647,0.0775289755115614,0,0,0,0,0,-0.41772594962368,0,0,0,0.00517987199708556,0,0,0.0680539383134773,0,0,-0.20438921186339,0.0989503251299461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122862448892214,0,0,0.00717148169832223,-0.0503890078969758,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.0528889207679944,0,0,0,0,0,0,0,0,0.158386780921251,0,0,0,0,0,0,0,0,0,-0.141539875906088,0,0.0514916612354392,0,0,0.0383889393816043,0,0,0,0,0,0.112518285013266,0.113948682870757,0,0,0.219887157937389,0,-0.163593320132398,0,0.0882929556029892,0,0,0,0.0242196245004966,0,0,0,0,0,0
