,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600741.SH,X000568.SZ,X600031.SH,X000338.SZ,X600703.SH,X002475.SZ,X300003.SZ,X600271.SH,X601877.SH,X300124.SZ,X600487.SH,X002008.SZ,X002236.SZ,X000596.SZ,X600809.SH,X000661.SZ,X000100.SZ,X600867.SH,X002456.SZ,X002007.SZ,X000625.SZ,X002179.SZ,X300142.SZ,X600498.SH,X600066.SH,X600566.SH,X000977.SZ,X300146.SZ,X002294.SZ,X000157.SZ,X002180.SZ,X002241.SZ,X600089.SH,X600177.SH,X600522.SH,X300136.SZ,X600372.SH,X000869.SZ,X002506.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.228423172083895,1.73472347597681e-18,0,0,0,0,0,0,0.168900358121749,0,0,0,0,0.129278027504588,0,0,0.0883954403876211,0,0,0,0.100326432478684,0,0.00954906457662775,0,0.00832664305498896,0,0,0,0,0,0,0.027998539425803,0,0,0.0219378058832638,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00707897623806374,-0.00858081911754008,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.123826286394788,0.0627050634594846,0,0.204850116678852,0,0,0,0,0,0,0,0,0,0,0.109375335938143,0,0,0.0726758529771555,0,0,0,0,0,0,0,0,0,0.100500391476027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0
X002415.SZ,0.0674314359511353,0,0,0,0,0,0.158659686223882,0.0753675583584587,0,0.0113931055835982,0,0,0,-0.131834223153424,0,0,0.0299198902072845,0,0.125849397789557,0,0.111868038431668,0,0.449611687004776,0,0,0,0,0,0,0,0,0,0,0,0,0.00151825676443123,0.111012451964011,-0.0357906512446519,0,0,0,0,0,0,0,0,-0.166110852639333,0,0,0,0,0,0.0112965202245149,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0374488084409166,0,0.105530976873693,0,0,0,0,0.348736656235649,0.0886176771097971,0,0,0,0,0,0.0606589987951815,0,0,0.0144179812636346,0.0158988863188139,0.174700483719694,0,0.0210471882273709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00460650446225439,0.00414758320618314,0,0,0,0,0,0
X000651.SZ,0.207774269786962,0,0,0.0872132776129566,0,0,0,0,0,0,0,0.146152813933269,0,0.0654082831469184,0,0,0,0,0,0.0736891465644312,0,0.259751065227322,-0.0363948511252023,0.00464764744866634,0.000234541554910945,-0.0337749269431368,0,0.0874987518552739,0,-0.032258894274411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00638403886385796,0.0152085495885462,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.00558946588553606,0,0,-0.00877904257612158,0,0,0,0,0,0.0534394874331505,0.36091802623664,0,0,0,0,0,0.0806095181523699,0,-1.73472347597681e-18,0.0648374169857021,0,0,0,0.102575540225189,0,0,0,0,0,0,0,0.244618416405689,0.177752498975519,0,0,0,0,0,0,0,-0.0683541385724482,0,0,0,0,0.00680830258299115,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.439574831886382,0,0.0263208450394336,0,0,0,0.136579522164486,0,0.496675713599367,0,0,0,0,0,0,0,0,0,0,0,0,0.204133163289898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148531190343088,0,0,0,0,0,-0.148444083556698,0,0,0,0,0.0162808436594623,0.025546164348922,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141962977700415,-6.93889390390723e-18,4.33680868994202e-19,0,0.182689408805219,0,-3.46944695195361e-18,0,0,0.0329717764983416,0.412755523182792,0,0,0,0,0,0,0.0821415377565635,0,0,0.0850818707757652,0,0,0,0,0,0,0,0.0179789884194461,0,0.202541997199147,0,0.0240446447242678,0,0,0,0.0192685067061943,0,0,0,0,0,0
X600690.SH,0,0,0.275929844077242,0,0,0,0,0.0638997212279317,0,0,0.12349723861397,0,0.059540391398152,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.114392473150104,0,0,0,0,0,0,0,0,-0.0381577900415903,-0.0149478982755415,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00279062598200423,-0.0104286433896417,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.13699003737466,0,0,0,0,0,0,0,0.0781899036871365,0.332594287363709,-0.0425204886819396,0,0,0,0.346297327475145,0,0,0,0.150927480203578,0,0,0,0.0248891596863213,0,0,0.0154841110839642,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0260361814531292,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0.0516131177206122,0,0,0,0,0,0,0,0.0216817138477373,0.125507161831351,0,0.141514264112369,0,0,0.240060897502038,0,0,0,0,0,0,0,0,0,0,0,0,0.0580847937678854,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0550307883029473,0,0.0130902536053474,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0.583092717128803,0,0,0.147737193074015,0.165492394025499,0,-0.0277307253346426,0,0,0,0,0,0,0.0858082219144704,0,0,0,0,0,0,0,0.0661322876524983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0450773822357907,0,0,0,0,0,0,0,0,0,0,0,0.016898960723491,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0.104864476972278,0,-0.280501398135451,0,0.0943656949545858,0,0,0.0152055702510989,0,0.0189155100133465,0.106389304780486,0,0,0.428600708599806,0,0,0,0,0,0,0,0.0564298727026563,0,0,0,0,0,0,0,0,0,0,0,0.100230155137898,0,0,0,0,0,0,-0.0455749816090344,0,0,0,0.0048322520874037,0,0,0,0,0,0,0
