,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000651.SZ,X000568.SZ,X600809.SH,X600690.SH,X600031.SH,X000725.SZ,X002475.SZ,X600104.SH,X002304.SZ,X000661.SZ,X000338.SZ,X003816.SZ,X300014.SZ,X300124.SZ,X000063.SZ,X000100.SZ,X000596.SZ,X000157.SZ,X600703.SH,X002241.SZ,X002129.SZ,X002179.SZ,X600741.SH,X000625.SZ,X002371.SZ,X002007.SZ,X300142.SZ,X002236.SZ,X601877.SH,X002049.SZ,X600584.SH,X000799.SZ,X002414.SZ,X600183.SH,X000800.SZ,X601799.SH,X300003.SZ,X300146.SZ,X600779.SH,X002074.SZ,X002008.SZ,X600089.SH,X600707.SH,X000977.SZ,X600118.SH,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002475.SZ,0,0,0.000970488107280536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122941236476568,0,0.00127714923981632,0,0.0869274991747866,0,0.565147645635139,0.0307370406398456,0,0,0,0,0.0216014621949296,0,0,0,-0.0528433764782059,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.00593802581662843,4.33680868994202e-19,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.0381347268516469,0,0,0.137171364256641,0,-0.0669106713624322,0,0.0180791887234873,4.33680868994202e-19,-0.0399774322446834,0.0459948480126413,0,0,0.0261370513952964,0,0,-0.057094979911005,0,0,0,0,0,0,0,0,-0.120677478457137,0,0,0.0227831977701925,0,0,0,0,0,0,0,0,0,0.067551193765804,0,0,-0.0955240262819129,-0.0142824439849104,0,0,0,0,-0.0492014125857962,0,0
X002304.SZ,0,0.203589937261933,0,0,0,0.2372393749392,0.0778026953593881,0.0488623839306154,0,0,0,0,0,0,-0.24883979827774,0,0,0,0,0,0,0,0.0831125915903978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0892420382490181,0,0,0,0.1063493948984,0.0707213440696717,0.0104726573768388,0,0,0,0,0,0,-0.0322962428743118,0,0,0,0,-0.00713575405707419,0,0
X000661.SZ,0,0,0,0,0,0.0156419718721404,0,0,0,0,0,0,0.0374976175212542,0,0,0,0,0.0333060463224492,0.0895725654223366,0.159026164761314,0,0.184743648365113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26563399957816,0,0,0,0.0601187115541338,0,0.0214012961732777,-0.0458451941222314,0,0,0,0.0454932540267256,0,-0.0179630417034086,0,0,0,0,0,0
X000338.SZ,0,0,0,-0.00393331056052446,0,0,0,0,0.0344304322668563,0,0,0,0,0,0,0,0.188305552216836,0,0,0.0215391642981329,0,0.0702723019165353,0,8.67361737988404e-19,0,0,0,0.107936408426261,0.0321609639224974,0,0,0,0,0,0,0,0,-0.0801379398383221,0,0,0,0.0396292883747063,0,0.0609837050152934,0,0,0,0.203174175308749,-0.100657497307011,0,0,0,-0.0326641246932833,0,0,0,0.0285649093132912,0,0
X003816.SZ,0,0,0.00242084689615817,0,0,0,0,0,0,0,0,0,0,-0.114791487599823,0,0,0.0371587042848927,0,0,0,0,0.099456357210809,0,-0.0436871000725521,0,0,-0.0479453210823604,0,0,0,0,0,0,-0.204848586438135,0.0332801655280069,0,0,0.0436555356404051,0,-0.0233977621000802,0,0,0,-0.0182037529371352,0,0.0683733983604335,0,0.0464239958481908,0.0208467547841102,0,0,2.16840434497101e-19,0,0,0,0,-5.42101086242752e-20,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0.511989855535009,0,0,0,0.884371473830504,0.00336535917246014,0,0.412711125988452,0,0,0,0,0,0,0,0,0,0,0,0,-0.260480254797735,0,0,0,0,0,0,0,0,0,0,0,0,0.584954772133005,0,0.43531959574532,0,-0.761791666664195,0,0,-0.558436963977243,0,0.0766515031990758,0,0,0,0,0,0
X300124.SZ,0,0,0.0374633028165564,0,0,0.0549615273958061,0.337369358786713,0,0.258843962468448,0,0,0,0.042673714015837,0,0,0,0,0,0,0,0,0,0,0,0.159499194153917,-0.131656238856124,0,0,0,0,0,0,0,0,0,0,0.0367686876566709,0,-0.021339823543542,0.293780844956829,0,0,0,0,0,0,0,0,0,0.228465558882332,0.0217688609549232,0,-0.0482719573347377,0,0,0,-0.0118744931760162,0,0
X000063.SZ,0,0,0,0,0,0,0.0937378407729533,0,0,0,0.14167733053128,0,0,0.0516965458533012,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,-0.065831515698106,0,0,0,0,0,0,0,0,0,0.27304424366338,0,0,0.0708886049602345,0,0.204758567904039,0,0,0,0,0.0135283289854208,0,-0.129342165779965,0.0403541245533389,0,0,0,0,0.0170482377473425,0,0,0,-0.017746891453562,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0.462911959436171,0,0,0,0,0,0,0,0,0,0,0,0.0385706560566657,0.323477860585202,0,0.236419001831053,-0.0337319353685442,0,0,0,-0.0534799658730686,0,0,0,0,0,0,0,0.0333982967649456,0,0,0,0,0,0,0.146624434751191,0,0.25115358615507,0.0172633429622212,0,0,0,-0.0432211053499349,0.0135363213406968,0,0,0,-0.0149101927058099,0,0
X000596.SZ,0,0,0,0,0,0.263584439536337,0.23149605635747,0,-0.0614583140596401,0,0,0,0,0,0,0,0,0,0,0,0,-0.0392873909799558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0537145313971393,0,0.267231713713086,0,0,0,0,0,0,0,0,-0.00385849601753917,0,0,0,-0.0346251427287165,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0.252557070293557,0,0,0,0,0,0.198503780241682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264629088833158,0,0,0,0,0,0,0,0,0,0.139008681247129,0,0,0.091063881695503,0,0,0,0,0,-0.0162247971399208,0,0,0,-0.0811341705840485,0,0
X600703.SH,0,0,0.100912345189125,0,0,0,-0.109947646908981,0,0,0,0,0,-0.166469711289928,0,0,0,0,0,0,0.24928986075126,0,0,0,0,0,0,0,0,0.57902792281199,0,0,0.0058647959309801,0,0,0,0,0,0,0,0,0,0,0,0.462205651352822,0,-0.0653611710441554,-0.00519876010472097,0,0,0,0,-0.0691112705252868,0,0,0,0,-0.0790133478874319,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0.115814938143748,0.308631803242508,0.26467662488854,0,0,0,0,0,0.0352855674636174,0,0,0,0,0,0,0,0,0,0,0,0.104800193187993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223879379635722,0.0180963402633898,0,0,0,-0.0575812625729741,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00290920554898027,0,0,0.0636715024090782,0,0,0,0,0,0,0,0.188250569505277,0,0,-0.130377193650199,0,0,0.00255868501713522,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.198214453016357,0,0.362698508821297,0,0,0.227145463931491,0,-0.0106154536771307,0,0.000189645690342088,0,0,0,-0.0331434789948122,0,0
X002179.SZ,0,0,0,0,0,0,0.100611228939704,0,0.129330057574823,0,0,0,0,0,0,0,0,0,0,0,0,0.1237673208575,0.0386659196761989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234258400035382,0,0,0,0,0,0.194103350339913,0.103650953289793,0,0,0,0,0,0,-0.0751226340803024,0,0
