,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600690.SH,X002475.SZ,X600276.SH,X600104.SH,X000651.SZ,X300014.SZ,X300124.SZ,X600031.SH,X002129.SZ,X000725.SZ,X000625.SZ,X003816.SZ,X002371.SZ,X002241.SZ,X000063.SZ,X000596.SZ,X002049.SZ,X000338.SZ,X600089.SH,X600703.SH,X002179.SZ,X000661.SZ,X601877.SH,X300142.SZ,X002074.SZ,X600741.SH,X002180.SZ,X600522.SH,X000733.SZ,X600460.SH,X000100.SZ,X600702.SH,X000799.SZ,X600884.SH,X000157.SZ,X000800.SZ,X002236.SZ,X600584.SH,X601799.SH,X002176.SZ,X600779.SH,X002056.SZ,X002414.SZ,X600563.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.212589881267537,0.235262231211819,3.46944695195361e-18,0,0,0.0361946217380205,0,0,0,0.0413516012045364,-0.0145033004059058,0.151446180894669,0,0,0,0,0.0743953694574452,0,0,0,0.0620041529987974,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0207273081135585,0,0,0,0,0,0,0,0,0,0,0,0,0.0142855811062457,0,0,0,-0.0462553633805926,0,0,0,0,0,0
X000858.SZ,0.260667781134333,0,0,0.350924650411282,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0447434876541552,0,0,0,0.104035894292805,0,0,0,0,0,0,-0.0264006721281583,-0.0444890965506859,0,0,0,0,0,0,0.114526894738361,0.0477719603600003,0.144586825706573,0,0,0,0,0,0,0,0.016467811610651,0.00759010705882202,0,0,0,0.00422197992063942,8.67361737988404e-19,0,0,0,0,0,0
X600809.SH,0,0.537695044841457,0,0,0.0242592771202184,0,0,0,0,-0.0323918965353408,0,0,0,0,0,0,-0.0329604425963051,0,0,0,0,0.147326342376418,0,0,0,0.00185737156365207,0,0,0,0,0,0,0,0.108390284252865,0.0536156707831124,0,0,0.240896089141457,0,0,0,0,0,0,0.00741120173677566,2.77555756156289e-17,0,0,0,0,0,0.00281068386632879,0.008441500993372,0,0,0,0,0,0
X000568.SZ,0,0.231536274518697,0,0,-0.0214039956873541,0.174769414783919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171912786258254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266201838770585,0.00448922902383498,0,0,-0.0176687013969533,0,0,0,0,0,3.46944695195361e-18,0,0,0,-0.00472267439503236,0.0780505381115865,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.212224699276054,0,0,0,0,1.38777878078145e-17,0,0.116180045947397,0,0,0,-0.195055694642287,0,0,0.0616298279168635,0,0,0,0,0,0,0,0.0551083388658446,0.15233102349716,0.0957312289064119,0,0,0,0,0,0,0,0.0526054459478242,0,0,0,0,0.722468525231626,0,0,0,0,0.0631952566717017,0,0,0,0,0.138988548039809,0,0,0,0,0,0
X002304.SZ,0.0273435086714828,0.165022909588951,0,0,0.0403302925689533,0,0.47527328248168,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258346416782676,0.109454071192108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300364573333182,0,0,0,0,0,0,0,0.0433291310204263,0,0,0,0.0109100756536089,-0.0396138023733135,0,0,0,0,0,0
X600690.SH,0,0,0,0,-3.46944695195361e-18,0.162737550122034,0,0,0,0,0,0,0.0247597557161758,0.14626720230773,0,0,0,0.0370854032050123,0,0,0.0558716568570627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0985648164400187,0,0,0,0,0,0.00981299355523827,0,0,0,-0.0323141405915673,-0.0309588857611502,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0832612028147328,0.342665710767295,0.0643149322207829,0.120354853268545,0,0,0,0,-0.0130964416177186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198016679493789,0,0,0,0,0,0,0.0460410832984573,0,0.00400957473709512,0.0110377585953938,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.157708889855225,0.324156953179158,0,0,0,0,-0.231766858272043,0,0,0,0.149483766570713,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111052565894025,0,0,0,0,0,0,0.0409324215335939,0,0,0,0.149825982596815,0,0.116358129181899,0,0,0.160120190838095,0.000873697196357069,0,0,0,0.0119412596927745,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103037789554564,0.0854751772066782,0,0,0,-0.0294063522048403,0,0,0,0,0,0,0,0,0,0.266647004542271,0.0120964699487045,0.0548715043765027,0,0,0,0,0,0,0,0.0789900347564464,0,0,8.67361737988404e-19,0,0,0,0,0,0.0183499787620888,0,0.004140597821992,-0.0371592116709134,0,0,0,0,0
