Company,Risk
X600219.SH,0.120666
X600362.SH,0.099855
X000883.SZ,0.099584
X000408.SZ,0.099002
X600426.SH,0.094793
X000792.SZ,0.092997
X600995.SH,0.092239
X000630.SZ,0.091254
X600096.SH,0.090018
X600188.SH,0.089968
