Company,Risk
X000883.SZ,0.010661
X600309.SH,0.010214
X600219.SH,0.010061
X600188.SH,0.009931
X000408.SZ,0.009835
X000933.SZ,0.009739
X000983.SZ,0.009283
X000792.SZ,0.008987
X601991.SH,0.008617
X600426.SH,0.008448
