Date,Year,Month,FRM_5_HighCarbonIntens,FRM_1_HighCarbonIntens,FRM_10_HighCarbonIntens,FRM_5_LowCarbonIntens,FRM_1_LowCarbonIntens,FRM_10_LowCarbonIntens,CARDI_5P,CARDI_1P,CARDI_10P
2014-10-15,2014,10,0.034268,0.006675,0.068905,0.033767,0.006274,0.070119,1.0148369710072,1.06391456805865,0.982686575678489
2014-10-16,2014,10,0.036191,0.006528,0.069514,0.03442,0.006349,0.071831,1.05145264381174,1.02819341628603,0.967743731814955
2014-10-17,2014,10,0.035465,0.006683,0.071986,0.032326,0.006428,0.069233,1.09710449792736,1.03967019290604,1.03976427426227
2014-10-20,2014,10,0.03524,0.00686,0.071107,0.034329,0.006215,0.06854,1.02653732995427,1.10378117457763,1.03745258243362
2014-10-21,2014,10,0.035112,0.006869,0.076124,0.034441,0.006083,0.070022,1.01948259342063,1.12921255959231,1.08714404044443
2014-10-22,2014,10,0.036866,0.006703,0.089722,0.034674,0.005955,0.071948,1.06321739632001,1.12560873215785,1.2470395285484
2014-10-23,2014,10,0.035791,0.006889,0.07756,0.034887,0.006552,0.072679,1.02591223091696,1.05143467643468,1.06715832633911
2014-10-24,2014,10,0.038335,0.007042,0.079242,0.032699,0.006004,0.069388,1.17236001100951,1.17288474350433,1.14201302818931
2014-10-27,2014,10,0.035495,0.006845,0.08672,0.03495,0.00599,0.069118,1.01559370529328,1.14273789649416,1.25466593362076
2014-10-28,2014,10,0.03566,0.006492,0.071632,0.03331,0.006132,0.068727,1.0705493845692,1.0587084148728,1.0422686862514
2014-10-29,2014,10,0.035498,0.006899,0.088425,0.032846,0.006042,0.069699,1.0807404250137,1.14184045018206,1.26866956484311
2014-10-30,2014,10,0.034626,0.006687,0.077117,0.034497,0.00664,0.065982,1.00373945560484,1.00707831325301,1.16875814616107
2014-10-31,2014,10,0.034144,0.006449,0.080695,0.033242,0.006606,0.066906,1.02713434811383,0.976233726914926,1.2060951185245
2014-11-03,2014,11,0.038836,0.006753,0.086607,0.034153,0.006457,0.068247,1.13711826193892,1.04584172216199,1.26902281418963
2014-11-04,2014,11,0.036022,0.006767,0.0762,0.033892,0.006121,0.067147,1.06284668948424,1.10553831073354,1.13482359599089
2014-11-05,2014,11,0.033896,0.006749,0.073762,0.033421,0.006109,0.066539,1.01421262080728,1.10476346374202,1.10855287876283
2014-11-06,2014,11,0.035725,0.006805,0.071318,0.033717,0.006197,0.066999,1.05955452738974,1.09811198967242,1.06446364871117
2014-11-07,2014,11,0.034885,0.006418,0.071325,0.034405,0.006471,0.069289,1.01395146054353,0.991809612115593,1.02938417353404
2014-11-10,2014,11,0.034682,0.006533,0.073096,0.034541,0.00639,0.069156,1.00408210532411,1.02237871674491,1.056972641564
2014-11-11,2014,11,0.034703,0.006626,0.072007,0.035456,0.006615,0.074572,0.978762409747292,1.00166288737717,0.965603711848951
2014-11-12,2014,11,0.034129,0.006238,0.073232,0.035642,0.006759,0.074503,0.957550081364682,0.922917591359669,0.982940284283854
2014-11-13,2014,11,0.03463,0.006505,0.072719,0.035444,0.006593,0.072553,0.977034194786142,0.986652510238131,1.00228798257825
2014-11-14,2014,11,0.032982,0.006292,0.07263,0.036382,0.006391,0.073225,0.906547193667198,0.984509466437177,0.991874359849778
2014-11-17,2014,11,0.034325,0.006288,0.071287,0.035199,0.006077,0.074049,0.975169749140601,1.03472107948001,0.962700374076625
2014-11-18,2014,11,0.032362,0.00613,0.067537,0.034223,0.00621,0.070311,0.945621365748181,0.987117552334944,0.960546713885452
2014-11-19,2014,11,0.032678,0.006232,0.072391,0.033703,0.006269,0.072653,0.969587277096994,0.994097942255543,0.996393817185801
2014-11-20,2014,11,0.03355,0.006234,0.070372,0.033744,0.006283,0.069575,0.994250829777146,0.992201177781315,1.01145526410349
2014-11-21,2014,11,0.031522,0.005881,0.070764,0.033502,0.006237,0.071269,0.940899050802937,0.94292127625461,0.992914170256353
2014-11-24,2014,11,0.034781,0.006103,0.072052,0.034302,0.006092,0.071501,1.01396420033817,1.00180564674984,1.00770618592747
2014-11-25,2014,11,0.032873,0.005908,0.072192,0.03504,0.006642,0.071123,0.938156392694064,0.889491117133394,1.01503029962178
2014-11-26,2014,11,0.035812,0.00633,0.071823,0.035583,0.006506,0.072648,1.00643565747689,0.972948047955733,0.988643871820284
2014-11-27,2014,11,0.034116,0.006242,0.071806,0.035901,0.006489,0.069101,0.95027993649202,0.961935583294807,1.0391455984718
2014-11-28,2014,11,0.033561,0.006312,0.071159,0.03504,0.006491,0.071765,0.957791095890411,0.97242335541519,0.991555772312409
2014-12-01,2014,12,0.037071,0.007018,0.081809,0.034537,0.006382,0.070877,1.07337058806497,1.09965528047634,1.15423903381915
2014-12-02,2014,12,0.040817,0.008902,0.082151,0.035178,0.006409,0.071965,1.16029905054295,1.38898424091122,1.14154102688807
2014-12-03,2014,12,0.044715,0.010586,0.085993,0.034769,0.006373,0.071526,1.28605942074837,1.66107013965166,1.20226211447585
