"Strategy","Strategy_type","Start","End","N_months","Average_monthly_return","T_statistic","Sharpe_ratio","SD_monthly_return","Cumulative_return","Active_share"
"Baseline LC-HC","Baseline",2015-05-01,2025-01-01,117,0.00467717599617569,1.23073572511418,0.394150878968999,0.0411066263889014,0.565156821768294,1
"Baseline HC-LC","Baseline",2015-05-01,2025-01-01,117,-0.00467717599617569,-1.23073572511418,-0.394150878968999,0.0411066263889014,-0.476734942862743,1
"daily_mean_percentile_momentum_positive | lag=1","Selected CARDI strategy",2015-05-01,2025-01-01,117,0.00672992267153684,2.34964531072844,0.752488731407452,0.0309813755650774,1.07721254111126,0.512820512820513
