,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X600547.SH,X601991.SH,X601600.SH,X600688.SH,X600660.SH,X600886.SH,X600188.SH,X600795.SH,X600362.SH,X000898.SZ,X600027.SH,X601992.SH,X600111.SH,X600176.SH,X600516.SH,X002466.SZ,X002460.SZ,X000709.SZ,X600299.SH,X000629.SZ,X600808.SH,X600352.SH,X002075.SZ,X600219.SH,X000825.SZ,X600801.SH,X300072.SZ,X601158.SH,X000786.SZ,X600489.SH,X000553.SZ,X002110.SZ,X600339.SH,X000883.SZ,X600583.SH,X601699.SH,X000408.SZ,X000301.SZ,X000792.SZ,X000630.SZ,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.164402943597664,0,0,0,0.0922968360032601,0,0,0,0,0.0664307000641787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282666907701696,0,0,0,0,0.109525505103225,0.0336292984692537,0,0,0,0,0.0318569018769506,0,0,0,0,0,0
X600028.SH,0.197138308845296,0,0,0,0.1301659993379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0681766510312151,0,0,0.058246393602688,0,0,0,0,0,0.0901317949363702,0,0,0.0820374402686513,0,0,0,0.0333212719098034,0,0.0306813950822377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0782573080166881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138976493173584,0.0310293467494261,0,0,0,0.0401433503555601,0.187245900583686,0,0,0.0866101417381983,0,-0.00582538699890485,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0463470256397987,0.111089484402691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0098169930973567,0,0,0,0,0,0.0392631578460557,0.0115746365351851,0,0,0.486850833015394,0,0,0,0,0,0,0,0,0,0,0,0,0.164353214116395,0,0.116205975343108,0,0.0206649176316724,0,0,0,0,0,0,0
X600019.SH,0,0.0186196536855295,0,0.0400944350426018,0,0,0.0119339027602993,0,0,0,0,0,0,0,0,0,0,0,0.471550197980861,0,0,0,0,0,0,0,0,0,0,0,0.139902413981618,0,0,0,0.0594968725469386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125618478630098,0.0172345639473171,0,0,0,0,0,0
X600011.SH,0,0.00981836718271887,0,0.0719841504784996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.644842893899779,0,0,0,0,0.154959824819939,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17864179756918,0,0,0,0,0,0,0,0,0.00312881804533459,0,0,0,-0.014360252442307,0.068767599955188,0,0,0,0,0,0
X600309.SH,0,0,0,0.321703863534969,0,0.078340489369328,0,0,0,0,0,0,0,0,0,0.214029966413145,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.224377000168051,0,0,0,0,0,0.0912720534427531,0,0,0,0.0289582110304666,-0.111296043347157,0,0,0,0,0,0,0,0,0,0,0.00570002283165575,0,-0.0583149051066348,0.172518086551949,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125994340615631,0,0.0550100040290074,0,0.0394864574873334,0.0861037687751038,0.0207141165151377,0,0,0,0,0,0,0,0.0736060001823497,0.0596087195508178,0,0,0,0,0,0,0,0,0,0,0,0,0.0311734280974712,0,0.175769624430245,0,0.00347576097341404,-0.0481679650227962,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327033734580483,0,0.0301395876477455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0495561537111927,0,0,0,0.175572122418814,0,0,0,0,0,0,0,-0.100235849803999,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,-0.0201636185994721,0.0645573093331809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255545340780287,0,0,0,0,0.513110339022948,0,0,0.000420352824663128,0,0,0,0,0,-0.0163944602413732,0,0,0,0.0137109390938692,0,0,0.044270605346533,0,0,0,0
