,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002460.SZ,X002271.SZ,X600660.SH,X000708.SZ,X600547.SH,X601898.SH,X601600.SH,X600362.SH,X000301.SZ,X600111.SH,X000786.SZ,X002466.SZ,X600010.SH,X600886.SH,X600011.SH,X600176.SH,X600188.SH,X600426.SH,X000027.SZ,X600803.SH,X601991.SH,X600801.SH,X600219.SH,X600795.SH,X600352.SH,X600489.SH,X000807.SZ,X000932.SZ,X600688.SH,X000898.SZ,X600315.SH,X002353.SZ,X000825.SZ,X000959.SZ,X000408.SZ,X600157.SH,X002080.SZ,X600486.SH,X600027.SH,X000883.SZ,X300037.SZ,X600299.SH,X600516.SH,X601168.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.395899881178439,0,0,0,0,0,0,-0.00833139462410038,0,0,0.00374484191924836,0,0.0270989572997942,0,0,0,0.0114722767412791,-8.67361737988404e-19,0,0,0,0.00339255721999141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543834942660073,0.0119879293880115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000312339709110281,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.0426269679231516,0,0,0.112380173025368,0,0,0,0,0,0,0,0,0,0,0.170219016419671,0.00507628086439683,0,0,0,0,0,0,0,0.0137179973991043,0,0,0.10496089540928,0,0,0.0254322022196332,0,0,0,0,0,0,0,0,0,0,0,0,0.0528043972398221,0,0,0,0,-0.0187892613396048,0,0
X601088.SH,0,0,0,0,0,0,0.0980710684309896,0,0,0,0,0,0,0,0.0448680134155495,0,0,0,0,0,0,0,0.0702488339959473,0,0.00475072747310759,0,0,0,0,0,0,0,0.065049953088091,0,0,0,0,0,0,0.110399310488523,0,0,0,0,0,0,0,0,0,0,0,0,-0.00976766694933826,0,0,0,0.0127944749635494,0,0
X600309.SH,0,0,0,0,0,0,0.145120787923497,0,0,0,0,0,0,0,0,0.229589800325731,0.141899269479033,0,0,0,0,0.0364166302956979,0,0.0240335843815243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262160674734547,0,0,0,0,0.0805048264531652,0,0,0,0,0,0,0,0,-0.0988934862396337,0,0,0,-0.0151620895988081,0,0
X600585.SH,0,0,0,0,0,0,0.0243545738077057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403460411975968,0,0,0,0.224706328011251,0,0,0,0,0,0.0615058120668932,0,0,0,0,0,0,0.0127309947370998,0,0,0.0413089425545926,0,0,0,0,0.0133581756097398,0,0,0,-0.011949012432052,0,0,0,-0.00871477811887587,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103792569778447,0,0,0,0,0.0551859792440162,0,0,0.068384449325542,0,0,0,0,0,0,0,0.314301623290689,0,0.0509140284948085,0.0802568516395411,0,0.265381913160768,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,-0.00770798687354833,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.199549480111391,0,0,0,0,0,0,0,0.117923379652369,0.596678720788319,0,0,0,0.0258560406728563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138278518112513,0,0,0,0,0,0,0,0,0,0,0,0.0654747038473168,0,0,-0.0155134630545706,0,0,0,-0.0104531218782809,0,0
X002271.SZ,0,0,0,0,0,-0.109073472060906,0,0,0.0327789678186999,0,0,-0.06394569085044,0,-0.017915736552528,0,0,0,0,0,0,0,0,0,0.02345728243971,0,0,0,0,0,0,0,0,0.112042242546998,0,0,0,0,0,0,-0.0957209565512729,0,0,0,0.0271776793527059,0,0,0.0814026973904968,0,0.0631530740564455,0,0,0,-0.122569465387762,0,0,0,-0.0206856897784883,0,0
X600660.SH,0,0,0,0,0,0,0.0806369106609436,3.46944695195361e-18,0,0,0,-0.114595002110546,0,0,0.0507939989198083,0,0.168579131518526,0,0,0,0,0.0891163983523867,0,0,0,0,0,0,0,0,0,0,0.034634007032332,0,0,0,0,-0.143757876285951,0,0,0,0,0,0.267649171904666,0,-0.0599398500274636,0,0,0,0,0,0,-0.0597287465594899,0,0,0,-0.00816743154755017,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17757189830705,0,0.0273890747489432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0837788775059382,0,0.0020279010450396,0.158371874194054,0.218529475384468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.195981295507728,0,0,0,-0.0127285900361203,0,0
