,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600188.SH,X600795.SH,X601600.SH,X300072.SZ,X600547.SH,X601991.SH,X600157.SH,X600027.SH,X600362.SH,X600660.SH,X601992.SH,X600111.SH,X600309.SH,X600886.SH,X600489.SH,X600623.SH,X002466.SZ,X600299.SH,X002075.SZ,X000792.SZ,X601158.SH,X000723.SZ,X000898.SZ,X000709.SZ,X000408.SZ,X600583.SH,X000983.SZ,X000883.SZ,X600352.SH,X000959.SZ,X600549.SH,X000539.SZ,X600176.SH,X000027.SZ,X600758.SH,X002470.SZ,X600021.SH,X000630.SZ,X601699.SH,X600160.SH,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.0225614154813415,0,0,0.0370665617869296,0,0,0,0.00100248675642524,0,0,0,0,0.0112836915798392,0,0,0,0,0,0.00914515691537131,0,0,0,0,0,0,0,0,0.0622359612710443,0,0,0,0,0,0,0.0395770613827625,0,0,0,0.00945604638013833,0.0453124779584056,0,0,0,0.0288981828457578,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.12107391731363,0,0.110161906568456,0,0.0159807373266988,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,-0.0150845940906009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,-0.0150272967061843,0,0.0420504821641713,0,0,0,0,0,0.035510727884583,0,0,-0.00122104884463767,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.102459329957934,0,0,0,0.0242239518882103,0,0,0,0,0,0,0,0.0651202499510052,0.0110871520022406,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0734962502837451,0,0,0,0,0,0,0,0.0798390990752253,0,0,0,0,0,0,0,0.0340381108327282,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.00984067170193121,0,0,0,0.1241392343187,0,0,0.103661420878117,0,0,0,0.0702437439684438,0,0,0,0,0,0,0,0,0,-0.165684365813828,0,0,0,0,0,0,0,0,0,0,0.157494840372466,-0.0217809149875415,0,0,-0.134962325929183,0,0,0,0,0,0,0,0,0,0.0258383963329033,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.0228884200291296,0,0,0.0122774252668378,0,0,0,0,0,0,0,0.0629119242768069,0,0,0,0,0,0,0,0.203506496703805,0,0,0,0,0,0,0.0999521242687576,0,0,0,0.017127030616605,0,0,0,0,0,0,0,0.0165396389264949,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.189065193443243,0,0,0.0639792254231648,0,0,0,0,0,0.183409744050954,0.175702566054325,0,0,0,0,0,0,0,-0.0879615470763642,0,0,0,0,0,0,0,0,0,0.04877722370023,-0.0334474163401983,0,0,0,0,0.0310094479368295,-0.128985994279981,0,0,0,0.136339297534712,-0.119911341484068,0,0.00944862951766191,0.00170829009724741,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.00257240915796163,0,0,0,0,0,0,-0.00434687877060514,0.00238548411145645,0,0,-0.0101130589495839,0,0,0,0,0,0,0,0,0,0,-0.0108139180535609,0,0,0,0,0,0,0,0,0,-0.000791227453783681,0,0,0,-0.00632442552601555,0,-0.00500338036154018,0,0,0,0.0128904010992364,0,0,0,0,0.0070585772505783,-0.00440373978945709,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00789048020606818,0,0,0,0,0,0,0,0,0,0,0.0683080894685154,0,0,0,0,0,0,0,0,0,0,0.0688059935015863,0,0,0,0,0,0,0,0.0157603254765098,0,0,0,0.3587715557118,0,0.0178747860560574,0,0.00308752302186014,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0567046036777102,0,0,0,0.077913963095357,0,0,0,0,0,0,0.289784624500746,0,0,0,0,0,0,0,0,0,0,0,0.119613149042791,0,0,0,0,0,0,0.000169470943319122,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.053574642243982,0,0,0,0,0,0,0,0.133564735309209,0,0,0,0,0,0,0.102092560133715,0,0,0,0,0,0,0,0.629468090428378,0,0,0,0.0480276494715646,0,0,0,0,0,0,0,0,0,0.0662111844167864,0,0.028096159499555,0,0,0,0,0,0,0
