,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600660.SH,X601898.SH,X601991.SH,X600188.SH,X601600.SH,X002466.SZ,X600688.SH,X600362.SH,X600795.SH,X600886.SH,X300072.SZ,X600516.SH,X000898.SZ,X600547.SH,X002460.SZ,X600027.SH,X600111.SH,X601992.SH,X600176.SH,X600352.SH,X000553.SZ,X000786.SZ,X002110.SZ,X600426.SH,X000709.SZ,X600299.SH,X600801.SH,X600808.SH,X000408.SZ,X000932.SZ,X000883.SZ,X002271.SZ,X600315.SH,X601158.SH,X000830.SZ,X600219.SH,X601699.SH,X000792.SZ,X601003.SH,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.205980462817275,0,0,0,-0.00396543612856117,0,0,0,0,0,0.0923389533102067,0,0,0,0,0,0,0,0,0,0,0.0324591539307299,0,0,0,0,0,0,0,0,0.0136106708327905,0,0,0,0.0490174887546779,0,0,0,0,0,0,0.124941852159459,0,0.0277332496654088,0.0745414480943305,0,0,0,0.00951311548053023,0.0038536735701545,0,0,0,0,0,0
X600028.SH,0.189242485799806,0,0.222278535435397,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,-0.0596697829954236,0,0,0,0,0,0,0,-0.0450059811879654,0,0,0,0,-0.155537532051509,0,-0.0566144467885503,0,0,0,0,0,0,0,0,0,0,0.0271100306359769,0,0,0,0,0.109261830909014,0,0,0,0,0.00772885995621494,-0.0174947907137271,0,0,0,0,0,0
X601088.SH,0,0.202317273399984,0,0.171976900220379,0,0,-0.0105210349229518,0,0,0,0,0.505185622619966,0,0,0,0,0,0,0,0,0,0,-0.0122326296091094,0,0,0,0,0,0,0,-0.126053455482259,0,0,0,0,0,0,0,0,0.0336984813722313,0,0,0,0,0,0,0,0,0,-0.0053963647063047,-0.000141610455183377,0,0,0,0,0,0
X600585.SH,0,0,0.284618490593367,0,0,0,0,0,0,0,0,0,0,0.0644169260677689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307200709426559,0.0872316410631217,-6.93889390390723e-18,0,0,0,0.304171257388502,0,0,0,0,0.0185382198322081,0,0,1.73472347597681e-18,0,0,0.0707318861888701,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.303258639273678,0,0,0,0,0,0,0,-0.0696477489671603,0,0,0,0,0,0,0,0,0,0,0.0126327385203062,0,0,0,-3.46944695195361e-18,0,0,0.209628721879082,0,0,0,0,0,0,0,0,0,0,0,0.0262919727166318,0.020107205376989,0,0,0,0,0,0
X600309.SH,0,0,0.101066388008035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379612044014505,0,0,0,0.00952214889875216,0,0,0,0,0,0,0,0,0,0,0,0.041941500123831,0,0,0,0.0224493918931336,0.0829852029339471,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.142847604877835,0,0,0.0171988075655472,0,0,0,0,0,0.0705515831666186,0,0,0.0572545177607352,0.32826774640854,0,0,0,0,0,0,-0.0464011947149566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0.0901490310464944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379864880031865,0,0,0,0.101985837430874,0.112470768362756,0,0,0,0.0498652807368322,0,0,0,0,0.0232566496590438,0.217161103826704,0,0,0,0,0,0.160508377264071,0,0,0,0,0,0,0.0248262770970026,-0.0292861866886587,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0.0978221124991081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675317273000122,0,0,0,0,0,0,0,0,0,0,0,0,0.0733404103342339,0,0,0,0,0,0,0,0,0,0.00526031119385316,0.00233615773097179,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.0535905594694888,0.134833531788819,0,0,0,0,0,0,0.0512490802566257,0,0,0,0,0,0.116031514237869,0.0946728919531243,0,0,0,0,0,0,0.0219326282291315,0,0,0,0,0,0,0,0,0,0,0,0,0.13981885058226,0,0,0,-0.0134122943158141,0,0,0,0,0,0
