,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X600585.SH,X600019.SH,X002460.SZ,X000708.SZ,X600660.SH,X002271.SZ,X600547.SH,X600362.SH,X000786.SZ,X600176.SH,X600426.SH,X600111.SH,X000301.SZ,X002466.SZ,X601600.SH,X600011.SH,X601898.SH,X600352.SH,X600010.SH,X600886.SH,X600219.SH,X002353.SZ,X600188.SH,X600803.SH,X600486.SH,X600489.SH,X600801.SH,X601168.SH,X601991.SH,X600688.SH,X600795.SH,X002080.SZ,X600299.SH,X000932.SZ,X600315.SH,X000723.SZ,X300037.SZ,X000830.SZ,X000630.SZ,X600027.SH,X000898.SZ,X600409.SH,X000807.SZ,X600399.SH,X600549.SH,X601992.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0947971030156065,0,0,0,0.00207840367716673,0,0.00515170127028804,0,-0.041706789480476,0,0.0830324208549298,0,0,0,0,0,-0.00185023796928765,0.00116543879298752,0,0,0,0,0,0,0.0873146692545232,0,0,0,0,0,0.0216344193880673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00121241841536937,-0.00494087343854457,0,0,0,-0.00163691510941414,0,0
X600028.SH,0,0,0,0,0,0,0,0.113731163803558,-0.017528347013185,0,0,0,0,0,0.0274758566151396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197402844761247,0,0,0,0,0,-0.00207722211845888,0,0,0.114846502801166,0.0554323468555776,0,0,0,0,0,0,-0.0232694099002377,0,0,0,0.00379959959462566,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.210656123652975,0,0,0,0,0.137946781118138,0.0770829998336602,0,0,0,0,0,0,0,0,0,0.0155929873513353,0,0,0.111052226657737,0,0,0,0,0,0,0,0,0,0,0.000714511753654307,0,0,0,0,0,0.0137549734566162,0,0,0.0569220496158047,0,0,0.013137378952213,0.00701942886312168,0,0,0,0,0,0
X601088.SH,0,0,-0.0283328216656709,0,0,0,0,0,0,0,0,0.0476415446444829,0,0,0,0,0,0.0208892557379853,0,0,0.0511191246002939,0,0,0,0,0,0.363434544870425,0,0,0,0,0.0234460321143202,0,0,0,0,0,0.214185635096646,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243192218851814,0,0,0,0,-0.0197687230264985,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00385575508463247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174904729811244,0.065718321355699,0,0,0,0,-0.0194037664015802,0,0.0216497307638478,0,-0.00898659991730618,0,0.0369825033536403,0,0,0.0636598633052993,0,0,0,0,0,-0.00942370036476254,0,0,0,0,0.00295902855833525,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0757550450852563,0,0,0.0704853461629485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351246793635788,0,0,0.00652978261367364,0,0,0,0.0130755270051085,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.160731225472662,0,0,0,0,0.153809044426539,0,0.0844711138272062,0.0985396772456004,0.244103022632371,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35716792395653,0,0,0,0,0,0,0,0.171498485605416,0.157794564522398,0,0,0,0,0.100038645361581,-0.0714291687745432,0,0,0,-0.161959656989522,-0.0464820219565227,0,0,0,0,0.0676028770636465,0,0
X000708.SZ,0,0,0.0346213349615905,0,0,0.0634911172594621,0,0,0.0608081335451998,0,0,0,0,0,0.130837907320999,0,0,0,0,0,0,0,0,0,0,0.16379876504398,0,0,0,0,0,0,0,0,0,0,0,0.0840103278944201,0,0,0,0,0.0971344805105473,0,0,-0.255331973774701,0,0,0,0,0,-0.0103236692645616,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0.136709801853516,0,0,0.214651477445069,0,0,0,0.0310514260209935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0995846309374092,0,0,0,0,0,0,0.056573569028816,0,0,0,0,0,0.0140352615583751,0,0,0,0,0,0,0,0,0,-0.031904299492658,0,0,0,0,0,0,0
X002271.SZ,0,0,0.0450386121404168,0,0,0,0,0,0.18845888660553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123275296025301,0,0,0,0,0,0,0,0,0,0,0,0,0.0393015261874072,0,0,0,0,0,0,0,0,0,-0.0260592423005121,-0.0652774627990839,0,0,0,0.0652571250829428,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496871357575371,0,0,0,0,0,0,0,0,0,0,0,0.09930428267923,0,0,0,0,0,0,0.0285381475159237,0,0,0,0.00446723122147986,0,0,0,0.000305748257407908,0,0
