,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X600547.SH,X600027.SH,X601991.SH,X600111.SH,X600157.SH,X600362.SH,X002466.SZ,X600886.SH,X600188.SH,X600623.SH,X601992.SH,X600489.SH,X600309.SH,X000792.SZ,X600299.SH,X600660.SH,X600549.SH,X300072.SZ,X002075.SZ,X601158.SH,X600583.SH,X000883.SZ,X000723.SZ,X002407.SZ,X000709.SZ,X600352.SH,X000539.SZ,X000898.SZ,X002460.SZ,X000027.SZ,X000630.SZ,X000761.SZ,X002470.SZ,X000012.SZ,X000060.SZ,X600021.SH,X600176.SH,X600219.SH,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.0294346440064397,0,0,0,0,0,0,0.0691586941718708,0,0.0364435316603348,0,0,0,0,0,0,0.0336839922330914,0,0,0,0,0,0,0,0.0965244447077606,0,-0.0243280165769067,-0.00558476360152455,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,-0.00916913227346762,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.226105033217156,0,0,0,-0.000804880313311463,0,0,0,-0.00964570451913656,0.0301086475673969,0,0,0.0316589546080055,0,0,0,0.0770589856054141,0,0,0,0.0155837215540267,0,0,0,0,0,-0.0142775127917536,-0.0356284790921202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,-0.00427535913695856,0,0,0,0.0643399426312482,0,0,0,0.0901996441057036,0.0383294464933711,0,0,0,0.0820111843167337,0,0,0.0204837954107616,0,0.0179646296327432,0,0,0,0.0707618624429992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00849701128164942,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0334416093205988,0.147517674162006,0,0,0,-0.0228563988071674,0,0,0.0609888387296305,0,0,0,0.0967416907018673,0,0.053767474560125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048061508584872,0,0,0,0,0,0,0,0,0,0,0,-0.0254032673348596,-0.00476315907633568,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.0537538022589754,0,0.00969321457233456,0,0,0.317581458369566,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0.0130327298221928,0,0.116187315729091,0.00946061766400726,0.00142446866970147,0,0,0,0.0514461311308418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117455848406746,0,0,0,0,0,0.0215037532277775,0,0,0,0,0,0,0.0494637999045144,0,0.0406802038686319,0.13549550460577,0,0,0,-0.0399402498563002,0.0615622348350527,0,0,0.214108864900999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031467111231961,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.122154467123873,0,0,0,0,0,0.0959121885139511,0,0,0.140725826398599,0.00567782659938809,0,-0.04238935395165,0,0,0.0263391257937308,0,0,0,0,0,0,0.0822605337341894,0,0,0,0,0,0,0,0,0,0,0,0.160698979045135,0,0,0,0,0,0,0,-0.0235186014278356,0,0,0,0,0,0.0662947133214722,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150351302595613,0,0,0,0,0,0,0,0.0323843868190515,0.230913972708703,0.232351797567386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0961313057201085,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0912398805347816,0.0171227471266181,0.0332237052633949,0,0,0.258517490354056,0,0,0.0550355798174905,0.0322633892968419,0.0361068027388897,0,0,0,0.041558196527413,0,0,0,0,0,0,0,0,0.00529373784723956,0,0,0,0,0.11128026723622,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0235746860524983,0,0,0,0,0,0,0,0,0.197039448921066,0,0,0,0,0,0.0520376319532362,0,0,0,0.0998167818446034,0,0,0.0511399464881082,0,0.0309165389510958,0,0,0,0.0340141712436137,-0.0174247552295545,0,0,0,0.0551850271897429,0,0,0,0,0,0,0.137317879509055,0,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.0293700576978224,0.00388127716743514,0,0,0,0,0,0,0.053543739043948,0.00690439955305066,0,0,0,0,0,0,0,0,0.00145928934437783,0,0,-4.33680868994202e-19,0.0343417599313451,0,0,0.0120722514844704,0,0,0,0,0,0,0,0,0.0945857811334414,0,0,0,0.00185700217862407,0,0,0.0374496401263919,0,0.0507943636360102,0,0,0,0,0,0,0,0,0
