,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X601600.SH,X600886.SH,X600795.SH,X600362.SH,X600027.SH,X600188.SH,X601992.SH,X000898.SZ,X002466.SZ,X600176.SH,X600111.SH,X000709.SZ,X600516.SH,X600352.SH,X600299.SH,X002460.SZ,X600489.SH,X000629.SZ,X601158.SH,X600808.SH,X600219.SH,X600801.SH,X000825.SZ,X000553.SZ,X000883.SZ,X000786.SZ,X600157.SH,X000408.SZ,X600583.SH,X002470.SZ,X000539.SZ,X002110.SZ,X600612.SH,X600021.SH,X000630.SZ,X600339.SH,X300072.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.052567506652958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445490745918414,0.120289110217214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00807923564330968,0,0,0,0.261948369143843,0,0,-0.0235239777682008,0.0297457713542705,0,0,0,-0.0325870204924083,0,0
X600028.SH,0.167819283187219,0,0,0,0,0.0513062872704897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194427311549212,0,0.0515290330026196,0,0,0,0.0137351925962183,0,0,0,0,-0.0905606866724217,0,0,0,0,0,0,0,0,0.435378430583235,0,0,0.0116731057101016,0.12037321475406,0,-0.0465289156914921,0,0,0,0
X601088.SH,0.297560180595723,0,0,0,0,0,6.93889390390723e-18,0,0,0.0712404216382466,0,0,0,0,0,0,0,0,0.170198362134341,0,0,0.0520591257596016,0.0624508382283005,0,0,0,0,0,0,0,0,0,0.137695374695645,0,0,0,0,0,0,0,0,0,0,0,0,-0.165969017981845,0,0,0,0,0,0,0.0243258770021331,0,0,0,0.0266218036049896,0,0
X600585.SH,0,0,0,0,0.0530189763085159,0.180185955020711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163763024014197,0,0,0,0.377487668416124,0,0,0,0,0,0,0,0,-0.143857094588657,0,0,0,0,0,0,0,-0.0298231938477412,0.0350648890152285,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.11123221138354,0,0,0,0,0,0,0,0,0,0,0,0,0.109622290549586,0.0239270117480717,0.24833823390115,0,0,0,0,0,0,0,0,-0.111554874482737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778593276469947,0,0,0,0,0,0,0.00146685471567062,0.0270087588214834,0,0,0,0.00930568714678766,0,0
X600011.SH,0,0,0,0.216653765657144,0,0,0.0626434003074903,0,0,0,0,0,0,0,0,0,0,0.480613337847676,0,0,0,0,0,0,0,0,0,0,0,-0.156934808332395,0.0416619585013366,0,0,0,0,0,0,0,0,0.00283247403405756,0,0,0.0796539783244146,0,0,0,0,0,-0.0148288041211379,0,0,0,0,0,0,0,-0.0187208279190768,0,0
X600309.SH,0,0,0,0,0,0.151235473465176,0,0,0,0,0,0,0,0,0,0,0,0.235017842508828,0.338345325247011,0,0,0,0,0,0,0,0,0,0,-0.0660498301802576,0,0,0,0,0,0,0,0,0.138232410043194,0,0,0,0.303434437269377,0,0,0,0,0,0,0,-0.0603246085304288,-0.0340265578504865,0.0624443409029865,0,0,0,0,0,0
X600010.SH,0,0.121683126497938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00227396287525455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0676230098045965,0.162651738168377,0,0.231013099308311,0,0,-0.0240985041392182,0,0,0,0,0,0,0,0,0,0,0,0,0.00672373514581358,0,0,0,0.0466169574556331,0,0
X600547.SH,0,0,0,0,0,-0.0117335101868936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505035977594911,0,0,0,0,0,0,0,0.691753809695041,0.0300540425570236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0470012686559834,0,0,0,0,0.064209328974919,0,0,0,0,0,0,0,0,0
X601898.SH,0.0605457241077918,0,0,0,0,0,0,0,0,0,0.447645162291156,0,0,0,0,0,0,0,0.0906544605451029,0,0,0,0.0775253707171243,0,0,0,0,0,0,0,0.0469528485750632,0,0,0,1.73472347597681e-18,0,0.00198183388990043,0,0,0.0213907540064833,0,0,0,0,0.0438802203629892,0,0,0,0.094261567799311,0,0,-0.013191349520187,0.0188989321874926,0,0,0,0,0,0
