,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X601991.SH,X600795.SH,X601600.SH,X600886.SH,X600188.SH,X600010.SH,X600111.SH,X600362.SH,X600027.SH,X600309.SH,X600688.SH,X600583.SH,X601992.SH,X000898.SZ,X601158.SH,X600352.SH,X000709.SZ,X000792.SZ,X600489.SH,X000883.SZ,X002353.SZ,X000539.SZ,X600547.SH,X000831.SZ,X000630.SZ,X000629.SZ,X000825.SZ,X000027.SZ,X600808.SH,X600549.SH,X600660.SH,X600578.SH,X601699.SH,X000983.SZ,X600008.SH,X600315.SH,X600307.SH,X600863.SH,X000937.SZ,X600348.SH,X600098.SH,X002470.SZ,X601168.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.658725408915513,0.0667407148852758,0,0,0,0,0,0,0,0,0.0170350520154562,0,0,0,0,0,0,0,0.0870407506695238,0,0,-0.0776696533528769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00567336863232547,0,0,0,0,0,0,0.0499746674901215,0,0,0,0,0,-0.0216835804358389,0,0,0,0,0,0,0
X600028.SH,0.514691129930368,0,0,0,0,0,0,0,0,0,0,0.0635270411167928,0,0,0,0,0,0.222614446635251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0334341105550043,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.14222400799731,0,0,0,0,0.144791408142254,0,0,0,0,0,0,0,0.0409524860443782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247492354547523,0,0.234426410478674,0,0,0,0,0,0,0,0,0,0,-0.00776290489615216,-0.0151146002993137,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.137251279407355,0,0,0,0.107425802349189,0.19631155213552,0.0783834443993726,0,0,0,0.0696216501223164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111631791066834,0,0,0,0,0,0.0377120647330278,0,0,0,0,0,0,0,0,0,0,0,-0.00449251673634217,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0732502204138387,0,0,0,0,0,0,0.00207126361081524,0,-0.0329879791149963,0.175270602054412,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394808653358482,0,0,0,0.00900702730356304,-0.0532056030943238,0,0,0,0,0,0,0,0.122648268374741,0,-0.0619990481098256,-0.012627880720553,0,0,0,0,0,0
X600019.SH,0,0,0,0.0953333146941999,0,0,0,0,0,0,0,0.0222734887179745,0,0,0,0,0,0,0,0,0.0962166322864807,0,0,0.304201037541504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177136227620367,0,0,0,0,0,-0.0264787596199393,-0.0205605197994665,0,0,0,0,0,0
X601898.SH,0,0,0.0116815200748282,0,0,0,0,0,0,0.197520237498537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285775976531407,0,0,0,0,0,0.0153449862548439,0,0.540203113635653,0,0,0,0,0,0,0,0,0,0,-0.0192443725387788,-0.0185464141023235,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.0310288750993772,0.126229909032191,0,0,0,0,0,0,0,0.104264640691136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107097190147158,0,0,0,0,0,0.096079077204634,0,0,0,0,0,0.0444827953479261,0,0,0,0,0,0,-0.00553131755980038,-0.0211698377692799,0,0,0,0,0,0
X600795.SH,0,0.0388869388517928,0,0,0,0,0,0,0,0.0057291121579548,0.192767635526132,0,0,0,0,0.0905448406895353,0,0,0,0,0,0,0,0.101047248261527,0,0,0,0,0,0,0,0,0,0,0.0104322293926361,0,0,0,0.0155718870812768,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0250646924049182,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.228736054565078,0.313582728500332,0.0104012961709859,0,0,0,0,0,0,0,0,0,0,0,0.0821340660151178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0945927175064367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0152012856045533,0,0,0,0,0,0
X600886.SH,0,0,0,0.215191649800266,0,0,0,0,0.0415395825568431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134716652147923,0,0,0,0,0,0,0,0,0,0.037479014036178,0,0,0,0,0.0541299042111026,0,0,0,0,0,0.11823505456579,0,0,0,0,0,0,-0.0118075347212177,-0.012261715481888,0,0,0,0,0,0
X600188.SH,0,0.167681428667824,0,0,0,0,0.0250370163802955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0969552397914527,0,0,0,0,0.115807996035526,0.341005898618004,0.105641719964805,0,0,0,0.070029110153492,0,0,0,0,0,-0.0269290808788318,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0926497827927427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153947048438032,0,0,0.206541943036931,0.0686429765891207,0,0,0,0,0,0,0,0,0,0,0,0.140147161844197,0,0,0,0,0,0.0290987330713506,0,0,0,0,0,0,0,0,0.0132297356495237,-0.00377299478095152,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.000968741450142317,0,0,0.0360040665360175,0,0,0,0,0,0,0.0181729081060507,0,0,0,0,0,0,0,0,0,0,0,0,0.0142396216792282,0.00541232664387777,0,0,0.134169196575494,0,0,0.191633965893858,0,0,0,0,0,0,0,0,0,0,0,-0.00454998180996236,-0.0113584954717936,0,0,0,0,0,0
