,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600688.SH,X600795.SH,X600547.SH,X601600.SH,X600188.SH,X601991.SH,X600157.SH,X600111.SH,X600027.SH,X600362.SH,X600886.SH,X002466.SZ,X600623.SH,X601992.SH,X000792.SZ,X600489.SH,X600309.SH,X600299.SH,X600660.SH,X300072.SZ,X600549.SH,X002075.SZ,X601158.SH,X600583.SH,X000883.SZ,X000709.SZ,X600352.SH,X000723.SZ,X000898.SZ,X002407.SZ,X000539.SZ,X002460.SZ,X000983.SZ,X002470.SZ,X000027.SZ,X000630.SZ,X000012.SZ,X600176.SH,X000060.SZ,X600021.SH,X000761.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0576769851024978,0,0,0,0,0,0,0.115495037943996,0,0,0,0,0,0,0,0,0.00543522573287936,0,0,0,-0.00242065344023525,0,0,0.126682457426735,0,0,0,-0.0426745910114959,0,0,0,-0.0220506399765531,0,0,0,0,0,0,0,0,0,0,0,-0.00930710678467283,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.153983156730496,0,-0.0451196037119451,0,0.0173725622885317,0,-0.0093861245351361,0,0,0,0,0,0.0252750707953063,0,0,0,0,0,0,0,0.0333977374109857,0,0,0,0,0,1.73472347597681e-18,-0.0071773483021846,0,-0.00940076359443451,0,0,0,0.0268180876772592,0,0,0,0,0,0,0,0,0,0,0.0071944276242277,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.110053838383254,0,0,0,0,0,0,0.0587044575705368,0,0,0,0,0,0.0566255398464797,0,0,-0.0204497827037827,0,0,0,0,0.0202601181677492,0,0,0,0,0,0,0.025078104122405,0,0,0,0,0.0905422705687398,0,0,0,0,0,0,0,0,0,0,0.000174508915527761,0.0250758444414443,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.109556850233819,0,0.0728139868465201,0,-0.0436284145587247,0,0,0,0,0.0443116426085945,0,0,0,0.0176089704689348,0.0368664778839117,0,0,0,0,0,0,0,0.0150515199004345,0,0,0.0155990306866673,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0.139600070241021,0,0,0,0,0,0,0,0,-0.0280438980300583,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.00529046198404544,0.139633849761495,0,0,0,0.352945485446415,0,0,0,0,0,0,0,0,0,0.0341147859529251,0,0.0352722194992715,0.0458381634702106,0,0,0,0,0,0,0.0574510553749093,0,0,0,0,0.00466743381182793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,-0.015333326636729,0.016430753413414,0,0,0,0,0.0359649728527189,0,0,0,0,0,0,0,0.0693727893765009,4.33680868994202e-19,0.0762875285845362,0,0,0,0.0993635276699379,0,0.108157257462017,-0.0597154857913102,0,0,0.0577515056572682,0,0,0,0,0,0,0,0,0,0,0,0.024897948539223,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.0109129813181348,0,0.125468405593844,0,0.016238665134966,0.123756379835134,0,0,0,0,0,0,0,0,0.0738488460023757,0.0683017504686158,0,0,0.0181459130639575,-0.035863140432065,0,0,0,0,0,0.0147802053912613,0,0,0,0.122555685561256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.0553536265087988,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142223801133271,0,0,0,0,0.0637155551956563,0.0261471373819696,0.0132597778378007,0,0,0,0,0,0.0309546212457366,0,0,0,0,0.231722967007818,0,0,0,0.0140815744495064,0,0.0346453304422533,0,0.154432412339359,0,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.116510145682666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243224953847231,0.0497576200595265,0.217183908491215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397160215076144,0.0587390774496568,0,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.0857907558580742,0,0.00195247642770765,0,0,0,0.0191485805315334,0,0,0.0468101388751797,0,0,0,0.0149622561603396,0,0,0,0,0,0.0394210543433499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100019728583644,0,0,0,0.0172203467190414,0.112807267943459,0,0,0,0,0,0,0,0,0,0,0,0,0
