,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X600547.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600886.SH,X600362.SH,X600795.SH,X600188.SH,X600027.SH,X601992.SH,X002466.SZ,X000898.SZ,X600516.SH,X600111.SH,X600176.SH,X000709.SZ,X002460.SZ,X600352.SH,X000786.SZ,X600219.SH,X000629.SZ,X600808.SH,X600299.SH,X600489.SH,X002271.SZ,X600801.SH,X000825.SZ,X601158.SH,X000553.SZ,X300072.SZ,X002110.SZ,X000883.SZ,X600157.SH,X600583.SH,X002470.SZ,X600985.SH,X000630.SZ,X000027.SZ,X601699.SH,X600339.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.101555207596997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115645214751267,0,0,0,0.00980169911614695,0,0,0,0,0,0,0,0,0,0,0.013226014259455,0,0,0,0.0119340315884865,0,0,0,0,0,0,0,0,0.0235209008892512,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348848315275566,0,0,0,0,0,0,0,-0.058302829852927,0,0,0,0,0,0,0,0,0.0337397978877701,0.0463855143117414,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136163817870167,0,0,0,0.038459608722842,0,0,0,0,0,0.0649680639528536,0,0,0,0,0,0,0,0.0198889503692497,0,0,0,0,0,0,0,0,0,0.0283894428714754,0,0,0,0,0,0
X600585.SH,0,0.110873943104382,0,0,0,0,-0.0261184844455059,0,0,0,0,0,0,0,0,0,0,0,-0.00579890660370188,0,0,0,0,0,0,0,0,0,0.192343355682727,0,0,0,0,0,0,0.399365221472174,0,0,0,0,0,0,0.0292230699022249,0,0,0,0,0,0,0,0,0.00558573837137192,0.002478097250657,0,0,0,0.0270003096232712,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0080866682856688,0.0454980819264978,0.0805825199730252,0,0,0,0,0,0,0.212764211605697,0,0,0,0,0,0,0,0,0.122258054551523,0,0.00648463037978877,0,0,0,0,0,0.112273069096512,0,0,0.0137277374468049,0.0131486809711379,0,0,0,0.00773598491215039,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30589192369736,0,0,0,0,0,0,0,0,0,0,0.104409684456856,0,0,0,0.342723479903208,0,0,0,0,0.13330756181042,0,0.00369360822258231,0,0.25620790836915,0,0,0,0,0,0,-0.00827812501159949,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379779853295455,0,0.636136553837177,0,0,0,-0.199203395273266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0481559426418301,0,0.0709947599578001,0,0,0,0,-0.143076655479033,0,0.00234134104814479,0.00185369419339518,0,0,0,0,0,0
X600010.SH,0,0.00299547772314895,0,0,0,0,0,0,0,0,0,0,0.0895328223927588,0,0,0,0,0,0,0,-0.0352338656868203,0,0,0.190642603780625,0,0,0,0,0,0,0,0,0,0,0.112401699790376,0,0,0,0,0,0.0305186455965894,0,0,0,0,0,0,0.125800623084124,0,0.0555933961726208,0,0.0174862157498266,0.00965538291945938,0,0,0,-3.46944695195361e-18,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0987079009023087,0,0.179779080355301,0,0.0377526249426352,0,0,0,0,0,0,0,0,0,0,0.0446455999766466,0.0353171698657602,0,0,0,0,0,0,0,0,0,0,-0.00215790414574966,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984547671644927,0,0,0,0,0,0.0141885217426193,0,0,0.00797273794273135,0,-0.108968360534754,0,0,0,0,0,0,-0.0149082110457321,0.0251445193062127,0,0,0,-0.0241988829462455,0,0
