,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600111.SH,X000792.SZ,X600019.SH,X002466.SZ,X600660.SH,X600010.SH,X600188.SH,X000301.SZ,X000877.SZ,X600011.SH,X002271.SZ,X601600.SH,X000708.SZ,X601898.SH,X600547.SH,X600362.SH,X600176.SH,X600886.SH,X002080.SZ,X600426.SH,X000408.SZ,X300037.SZ,X002326.SZ,X600803.SH,X600219.SH,X000723.SZ,X600096.SH,X601991.SH,X600141.SH,X600795.SH,X000786.SZ,X600399.SH,X002407.SZ,X000825.SZ,X300073.SZ,X600352.SH,X600688.SH,X600295.SH,X600489.SH,X600027.SH,X000983.SZ,X600516.SH,X000831.SZ,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.063911502827584,0.0386120534407503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154278239086016,0,0,0,0.0327909638198198,0,0,0,0,0,0.0564739950936934,0,0,0,0,0.0925955130961415,0,0,0,0,0.0418837775735183,0.175525489326485,0,0,-0.00641379935615277,0,0,0,-0.0636466230262112,0,0
X600028.SH,0.0788858415302274,0,0,0,0,0,0,0,0.0107029591400277,0,0,0,0,0.0324435807893686,0,0,0,0,0,0.0896762245883928,0,0,0,0,0,0,0,0,0.0257536721422519,0,0,0.071414536249159,0,0,0,0,0,0,0,0,0,0,0,0.103599823374726,0,0,0,0,0,0.10990940250225,0,-0.00655706815149102,0,0,0,0,-0.00115708167777951,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.152571836748015,0,0,0,0,0,0,0.196619423102543,0,0,0,0.0303517301624253,0,0,0,0,0,0.0920330196393681,0,0,0,0,0,0,0,0,-0.093390277167946,0,0,0,0.0228999209558169,0.0873756270660271,0,0,0.146901844124974,0,0,0,0,0,0.0437003149723029,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0923507902009642,0,0,0.2212453719033,0,0,0,0,0,0,0,0,-0.0221923586421255,0,0.0715637448965364,0,-0.00580263675113315,0,0,0.0400796903920594,0,0,0,-0.0503466547159276,0,0,-0.0836254197948976,0,0,0.0232364738800351,0,0,0,0,0.0378031590841432,0,0
X002460.SZ,0,0,0,0,0,-0.0528701098343097,0,0,0,0.465536904352424,0,0,-0.0159658724108,0,0,0,0,0,0,0,0.127514899072382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17146166388035,0.319690884712773,0,0,0,0,0.0158399159845444,0,0,0,-0.0199452295453824,0,0,0,0,-0.017367178147903,0,0,0,0,0,0
X600585.SH,0,0,0,0,-0.151413067595055,0,0,0,0,0,0,0,0,0,0.398145639179309,0,0.0672299498023237,0,0,0,0,0,0.0215011517350624,0.0224521333318943,0,0,0,0,0,0,0,-0.00797286985116847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181830734717386,0,0,0,-0.0417458582523118,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.109169080362759,0,0.343777954721774,-2.16840434497101e-19,0.0167368864246073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.261772039001109,0.0304524809640922,0,0.200817494133825,-0.0323227610403303,0,0,0,0,0,0,0.0796617437253575,0,0,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0.00912779154920816,0,0,0,0,0.0955107114536314,0,0,0,0,0,0,0,-0.241088821713158,0,0,0,0,0,0,0.308923572527054,0,0,0.0796061355881089,0,-0.111111736565868,0,0,0,0,0,0,0,0,0,0,0.0850569067124773,0.168544045017012,0,0,0.0236296963516244,0,0,0,0,0,0.106719142252449,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,-0.0405597367337186,0.267904151636111,0.100985893134067,0.0077545222221873,0,0,0,0,0,0,0,0,0,0,-0.0197273564646842,0,0.138971531323445,0,0,0,0,0.128658639377589,0,0,-0.0940692768365683,0,0,0,0,0.321748476725551,0,0,0,0,0,0,0,0,0,0,0,0,-0.00755812541312355,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.336908334023495,0,0.0668499220488915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160058148214261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131755259821066,0,0,0,0,0,0,0,0,0,0
