,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600011.SH,X600309.SH,X601898.SH,X002466.SZ,X600688.SH,X600660.SH,X600795.SH,X002460.SZ,X601992.SH,X300072.SZ,X600362.SH,X600188.SH,X601991.SH,X600547.SH,X600111.SH,X600886.SH,X600516.SH,X000898.SZ,X000709.SZ,X000792.SZ,X600157.SH,X600027.SH,X000408.SZ,X000786.SZ,X000553.SZ,X600176.SH,X600219.SH,X000723.SZ,X600339.SH,X002271.SZ,X600489.SH,X000959.SZ,X600352.SH,X601158.SH,X600808.SH,X000883.SZ,X000807.SZ,X000983.SZ,X000630.SZ,X600549.SH,X000825.SZ,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.0102203342591541,0,0,0,0,-0.0123291052800931,0.196994474356096,0.0578437309989653,0,0.0157629334110432,0,0,0,0,0,0,0,0,-0.00955888816176046,0,0,0,0,0,-0.0105194154570555,0,0.00947202143101535,0,0,0,0,0,0,0,0,0,0,0,-0.00255830499460782,0,0,0,0,0,0,0,0.00267353427696352,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0399962633163018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294756913449448,0,0,0,0,-0.0113487196322684,0,0,0,0,0,0,0,6.01943994062541e-05,0,0,0,0,0.0638387286239928,0,0,0.0212617533787088,0,-0.0107743164541704,0,0,0,0,0,-0.000146165551328337,0,0,-0.00235149935736619,-2.71050543121376e-20,0,0,0,0,0,0
X601088.SH,0,0,0,0.0526256289085151,0,0,0,0,0,0,0,0,0,0.57198244695401,0,0,-0.0892264357093511,0,0,0,0,0,0,0,0,0,-0.0520530887927861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213028299205855,0,0,0.130176568732234,0,0.052338457332226,0.0123514067934304,0,0,0.00815829550101611,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106052505146341,0,0,0,0,0,0,0,0,0,0.191872961561372,0,0,0,0,-0.0914651221742124,0,0,0,0,0,0,0,0,0,0,0,0.210246873792727,0,-0.00829428227212017,0.0464478418434778,0,0,0.150241971710743,0,0,-0.0229130566951815,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0718818527584797,0,0,0,0,0,0,0,0,0,0.0911480948381298,0,0,0,0,0,0.103223610964077,0,-0.0714591296746022,0,0,-0.114808600680221,0,0,0.0395422874039923,0.141193085223492,0,0,0,-0.04685871792332,-1.73472347597681e-18,0,0,0,0,0,0,0,0.112629841069208,0.121065139957963,0,-0.0662370220431489,-0.134653012297101,0,0,-0.0443597524588099,0.0571801603068949,-0.0560563867101193,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234787921122497,0,0,0,0,0,0,0.181844507338412,0,0.0123792918614598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530188422408052,0,0,0,0.124339520856315,0,0,-0.0802091468986617,0.0142188730491479,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.0574176396281677,0,0,0,0,0,0,0,0,0.0926299132245862,0,0,0,0,0,0.00941790206751458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226523391707805,0,0,0.185706008177016,0,0,0,0,0,-0.032087012922112,0.0193823466738399,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00942274150850637,0,0,0,0.11025116140852,0,0.0125653040143683,0,0,-0.00540444712784501,0,0,0,0,0,0.00391783234538535,0,0.107239161948262,0,-0.0337840595748082,0,0,0,0,0,0.0973866984606116,0,0,0,-0.00690521723581316,0,0,0,0,0.0337512180217562,0,-0.0118865001215202,0.00657720706889558,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.430816251062368,0,0,0,0,0,0.0703825330570014,0,-0.0960513305769944,0,0,0,0,0,0,0,0,0.0575687123324504,0,0,0,0,0,0,0,0,0,0,0,0,-0.0569740398066433,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357962321574641,0.0186880142746219,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.0420342137422474,0,0,0,0,0,0,0,0,0,0,0,0,0.369329327316945,0,0,0,0,0,0.0325371376959901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096648643256495,0,0,0,0,0.0261734159304358,0.038690584125259,0,0,-0.0102095488401338,0,0,0,0,0,0,0
X002466.SZ,0,0,-0.0668695797428296,0,-0.0362025443934338,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.560387813162129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488788477490487,0,0,0,0,0.0135813053659317,0,0,0,0,0,0,-0.0762388761861709,0,0,0,0,0.294931337432919,0,0,0,0,-0.0206744629125915,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0.0603918942413144,0,0.0647157411267106,0,0,0,0.0390945077199606,0,0,0,0.0148744356401684,0,0,0,0,-0.0171454353623135,0,0,0.00623339565107734,0,0,-0.0824619302560022,-0.0579297468721246,0,0,0,0,0,0,0,0,0,0,0,0.0448949614802215,0.057471827577361,0,0,0,0,0.115985425482375,0,-0.0422585964719837,0,0,0,0,0,0,0
X600660.SH,0,0,4.33680868994202e-19,0,0.0104094221106639,0,0,0,0.120101901532742,0,0,0,0,-0.0230288481848147,0,0,0,0,0.148669653687925,0,0,0,0,0.0134631980936042,-0.107770874263426,0,0.0340847917367947,0,0,0,0,0.0853865923007013,0,0,0,0,0,0,0,0,0,0,0,0.0258873154359776,0,0,0,0,0,0,-0.0114875450194445,0.00680565465982371,0,0,0,0,0,0
X600795.SH,0,0,0,0.177818401467944,0,0,0,0,0,0,0,0,0,0,-0.0588422508742431,0,0,-0.273282758939753,0,0,0,-0.00445833159444115,0,0,0,0,0,0,0,0,0.0191319007398486,0,0,0,0.0127817387297746,0,0,0,0,0.0221022017679434,0,0.101461435999285,0,0.0569215709662489,0.0226836764813498,0,0,-0.0408929921594671,0,0,0,-0.0144606901901041,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0.596887456915789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0771555752368646,0,0,0.0652161253754532,0.0645043921112683,0,0,0,0,0,0,0,0,0,0,0,0,-0.106947572266054,0,0,0,0,0,0,0,0.0025560853421454,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0649440616913023,0,0.0832056871555565,0.0443258121216002,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141688817849043,0,0,0,0,0,0,-0.0196245786143857,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0699628671876391,0,0,0,0.128969348536176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0426306709533349,0,0,0,0,0,0
