,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002460.SZ,X600188.SH,X600585.SH,X002466.SZ,X000792.SZ,X601898.SH,X600019.SH,X002271.SZ,X600111.SH,X600011.SH,X600660.SH,X600010.SH,X000877.SZ,X000708.SZ,X000301.SZ,X600547.SH,X601600.SH,X600886.SH,X600795.SH,X600176.SH,X600426.SH,X600362.SH,X000786.SZ,X600096.SH,X000983.SZ,X600803.SH,X000723.SZ,X000408.SZ,X600141.SH,X002080.SZ,X300073.SZ,X601991.SH,X600219.SH,X601699.SH,X600486.SH,X600801.SH,X002192.SZ,X300037.SZ,X600027.SH,X002353.SZ,X000683.SZ,X002497.SZ,X002407.SZ,X000959.SZ,X600348.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.0228694353356254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146263107041889,0.15561549291661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153995277769689,0,0,0,0,0,0,0,0.0120443567545286,0,0
X601088.SH,0,0,0,0,0,0.333686015570386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724247121148275,0,0,-0.0360728273315544,0,0,0,0,0,0,0,0,0,0,-2.71050543121376e-20,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128257365986717,0,0.0107474360845579,0,0.0246524070904864,0,0,0,0,0,0.0303562002683624,0,0,0,0,0,0,0,0,0,0,0,0,0.0398762206356565,0.00921502073949169,0,0,0,0.0434152444017287,0,0,-0.00872869623966298,0,0,0,0,0,0,0
X600309.SH,0,0.0296688645260271,0,0,0,0,0,0,0,0.0828054119174544,0,0.0467284853817977,0,0,0,0,0.118150038327436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215756016914323,0,0,0,0,0,0,0.0206932962514326,0.0684080534621092,0,0,0,-0.0247312906841853,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.366695039342733,0,0,0,0,0.149226154400998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088368225839424,0,0,0,0,0,0,0,0,0,0,0,0.133355157899794,0.0679992454385446,0.0761932114599652,0,0,0,0.0216932863656103,0,0,0,0,0,0,0
X600188.SH,0,0.340580959082739,0,0,0,0,0,0,0,0,0,0,0,-0.186803238296728,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00880926192863194,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.19455446909828,0,0,0,0,0,0,0,0,0,0,0.157720687646356,0.176972836470488,0,0.0561627353344817,-0.034146848762449,0,0,0,0,0,0
X600585.SH,0,0,0,0.0142325897965226,0,0,0,0,0,0,0,0.133155502446659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0572147023121516,0,0,0,0,0,0,0,0,0.386738355754644,0,0,0,0,0,0,0,0,0,0,0,0.00326200364326183,0,0,0,0,-0.0139708304417344,0,0
X002466.SZ,0,0,0,0,0.728586667705773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125222275975095,0,0,0,0,0.0345644369808243,0,0,0,0,0,0.0142656208405513,0.0145157983356927,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.0876443644259754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155110463906019,0.0527954596870653,-0.0104515826649797,0,0,0.409496869063389,0.0972867255819107,0,0,0,0,0,0,0,0.0173733515768887,0,0,0,0.0606878908333877,0,0,0,0,0,0,-0.0266646139672007,0,0,0,0,0,0,0
X601898.SH,0,0.121439105303787,0,0.0276505035746369,0,0.0605048374431117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169842645477794,0.170131342975615,0,0,0,0,0,0,0,0,0.0435415105523954,0,0,0,0,0,0,0,0,0,0,0.140747266120906,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.0182272684314214,0,0,0,0,0,0,0,0,0.142599630356963,0,0,0,0,0,0,0,0,0,0.0327234346799369,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0278547174947209,0,0,0,0.154392549158426,0.0677696564634106,0,0,0,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0.0274716151544183,0,0,0,0,0,0,0,0.0535284913063747,0,0,0,0,0,0,0,0,0,0,0,0.502516390344498,0,0,0,0,0,0,0,0,0,0,0,0,0.178911458209646,-0.0307919190285836,0,0.0680794584659904,0,0.125632644811791,0,0,0,0,0,0,-0.0105746720268552,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173265548887222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172319350814371,0,0,0,0.322608277269093,0,0.100482670394191,0,0,0,0.0549028178418155,0,0,0,0,0.118345592547299,0,0
X600011.SH,-0.252084782810633,0,0,0,0,-0.0162793355869143,0,0,0.229930583839005,0,0,0,0,0,0,0,0,-0.0772310105885638,-0.188727832461045,0,0,0,0,0,0,0,0,-0.0164113547615533,0,0,0,0,0,0,0.105831322195373,0,0,0,0,0,0.0367536569086461,0,0.607265249471885,0,0,0,0,0,0,0,0,-0.0142483035038658,-0.0817673878207382,0,-0.038155060645925,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0.126904590413121,0,0,0,0,0,0.0399714126719293,0,0.106292217670506,0,0.127209442150215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0973773266394827,0,0,0,0,0,0,0,0.0951035575063065,0,0,-0.0854976497047282,0,0,0,0,0,0,-0.0265581255649271,-0.135663980066666,0,0,0,0.00984953689251175,0,0
