,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600688.SH,X600027.SH,X600886.SH,X600157.SH,X600362.SH,X600111.SH,X600188.SH,X601992.SH,X000709.SZ,X600299.SH,X601158.SH,X000898.SZ,X600660.SH,X000883.SZ,X600160.SH,X000539.SZ,X000792.SZ,X600309.SH,X600583.SH,X600623.SH,X600547.SH,X600352.SH,X600489.SH,X000027.SZ,X000630.SZ,X000629.SZ,X600578.SH,X002466.SZ,X002470.SZ,X600022.SH,X600098.SH,X000060.SZ,X600808.SH,X600021.SH,X300072.SZ,X600176.SH,X000723.SZ,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0159914492527273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101268714983943,0.0886434266221671,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0601478972397076,0,0.0595192690747108,0,0,0,0,0,0.0290584909951481,0,0,0,0,0,0,0.0350062757357891,0.0985320279504206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212069848061097,0,0.0259924793012352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129470778474126,0,0,0.0413430592905836,0,0,0,0,0.0789607975650175,0,0,0,0,0,0,0.0106671027378316,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.336232171167404,0,0,0,0,0,0,0.0921596939123865,0,0,0,0,0,0,0,0,0,0,0,0,0.0275154575676156,0,0,0,0,0,0,0,0,0.0284072504061558,0,0,0,0.0956285539849112,0,0.02155913955468,0.00807813683914092,0,0,0,0.0334644890955562,0,0,0,-0.0159645615668943,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205677373255168,0,0,0,0,0,0,0,0.0164430853275909,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0.0101596476749022,0,0,0,0,0.130102268632962,0,0,0.0623807001332709,0,0,0.0168745405269691,0,0,0,0.00509207130384001,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.0126256475193939,0,0,0,0,0,0,0.0187719226651929,0,0.256512130814099,0.140239422907584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0690155769500179,0.146024643478448,0,-3.46944695195361e-18,0.0430464502138151,0,0,0.141267881908716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606939450148197,0,0,0.11814724382891,0.102103101601739,0.185817536339212,0,0,0,0,0,0,0,0.010141206659649,0,0,0,0,0.0600683722511046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456695246542663,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217231776346168,0.177119841146686,0,0,0,0,0,0.0614477598567816,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0.113035176193532,0,0.030431208302487,0,0,0,0.0512270228413755,0,0,0,0.006499401439792,0.0445175679651283,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0957535532226471,0.15216848395169,0,0.130792427267725,0.06684058607776,0,0,0,0,0,0,4.33680868994202e-19,0,0.0486025754946214,0,0,0,0,0,0,0.0144391316717202,0,0.0458112600504533,0,0,0,0,0.0490556615883037,0.0438254394297137,0,0,0,0,0.158518181632421,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140925469878702,0.108701787504309,0,0.203932634029791,0,0.0124465828155018,0,0,0,0,0,0.0286369869568756,0,0,0,0,0,0,0,0,0,0.0369103619930875,0.0129985059797756,0,0,0,0,0,0.0421612828002429,0,0,0,0,0.0954793915809298,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316581615792172,0.014031562694838,0.106822922566044,0,0,0,0,0,0.0855463297758313,0,0,0,0,0,0,0.0822097152297504,0,0.00122873459474326,0,0,0,0.0250332722350425,0,0,0.0937223344248549,0,0,0,0,0,0,0.065309070477801,0,0,0,0,0,0,0,0,0
