,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X601600.SH,X600188.SH,X601898.SH,X600688.SH,X601991.SH,X600362.SH,X002466.SZ,X600660.SH,X600547.SH,X600795.SH,X601992.SH,X300072.SZ,X002460.SZ,X600111.SH,X600886.SH,X600516.SH,X000898.SZ,X000786.SZ,X600176.SH,X000792.SZ,X000553.SZ,X000709.SZ,X600352.SH,X000825.SZ,X600027.SH,X600299.SH,X600489.SH,X002271.SZ,X000408.SZ,X601158.SH,X601699.SH,X600219.SH,X002470.SZ,X000883.SZ,X600157.SH,X600583.SH,X600808.SH,X600315.SH,X000630.SZ,X600426.SH,X002408.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088248565931669,0,0,0,0,0,0,0,0,0.0375638397734035,0,0.2709952944747,0,0,0,0,0.0284553231129129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35790402398755,0,0,0,0.0933490805000998,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294637179854221,0,0,0,0,0.467980938229202,0,0,0,0,0.201603062009799,0.134366219055476,0.216500123419964,0,0,0,0,0,0,0,0,0,0,0,0.0109690223460808,0,0,-0.0192484784670334,0.0877810767752829,0,0,0,0,0,0
X000553.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117785160102213,0,0.0266423008044181,0.218875985611117,0,0.124827569268071,0,0,0.130381739111699,0.140835195368952,0,0,0,0,0,0,0,0,0,0,-0.153763773189325,0,0,0,0,0,0,0.0071515218535373,0,0,0,0,0.0312122923982436,0,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0.0128793376691653,0.0567620159616295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512641108591054,0,0,0,0,0,0,0,0.104976120404695,0,0,0.0141457724248584,0,0.326506807161936,0,0,0,0.0914563426787544,0,-0.0116890423041358,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0.0886227122959991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111953444046909,0.0681406091185529,0.159147215806959,0,0,0.110810027074189,0,0,0,0,0,0,0,0,0.134518929119002,0,0,0,0,0.0631572514696611,0,0.0890083525095987,0,0,0.00520084393690997,0,0,0,0,0,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0.327380644385915,0,0,0,0,0,0,0,0,0.119530550015925,0.0492200157147742,0.0851024064930782,0,0,0,0.144306260107635,0.122288924493047,0,0,0,0,0,0,0,0,0,0,0,0,0.237589610675415,0,0,0,0,0,0,0,0,0.0220318175038737,0,0,-0.0200497865822274,-0.0368386651267451,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0.155512768622513,0,0,0.0278685193134002,0,0.199370647750665,0,0,0,0,0,0,0,-0.0245066616240842,0,0,0,0,0,0,0,0,0,0.10073533224614,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163100072796687,0,0,0,0,0,-0.00140388675210416,-0.00719789634826151,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056501716886906,0,0,0,0.031732662054487,0,0,0.181439196880014,0,0.0943083127039549,0,0,0.00463933214395355,0.0283422342498926,0,0,0.00210685934173991,0,0,0,0,0.166905609034577,0,0,0,0,0,0,0,0,0,0.110656070319199,0,0.0209093888238815,0,0,0,-0.0197704916623957,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,-0.0108270015107636,0,0,0,0,0,0,0,0.672481244432982,0,0,0,0,0,0,0.0385762922840687,0,0,0,0,0,0,0,0,0,0.0267326519217568,0,0,0,0,0,0.0115178186823457,0,0,0,0.0245826852095457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0.00921443148418112,0.00789559466454379,0,0.0994326483998845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163458673491381,0.188294517567897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0756686918910684,0,0,0.0145124354761722,0,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183325349770612,0,0,0,0,0,0.108459163235121,0.0746387699720765,0,0.146314392338553,0.0528640367554912,0,0.00951261130724689,0.17380135891313,0.0957637795737761,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137692036333168,-0.0112992842380871,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0.0240071417539312,0,0,0,0,0,0,0,0,0.0604683438445986,0,0,0,0.0434448253787351,0.0230392901302938,0,0,0.0235564720499165,0,0,0.0225314247476488,0,0,0,0,0,0,0,0,0.144652724473396,0.006436311319685,0,0,2.16840434497101e-19,0,0,0,0.0245516920333905,0,0,-0.0170591147125673,0,0,0,0,0,0,0
