,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600688.SH,X600795.SH,X600547.SH,X601600.SH,X600188.SH,X601991.SH,X600157.SH,X600027.SH,X600111.SH,X600362.SH,X600886.SH,X002466.SZ,X601992.SH,X600623.SH,X000792.SZ,X600489.SH,X600309.SH,X600299.SH,X600660.SH,X300072.SZ,X002075.SZ,X601158.SH,X600583.SH,X000709.SZ,X000883.SZ,X600549.SH,X000723.SZ,X000898.SZ,X000539.SZ,X600352.SH,X002407.SZ,X000983.SZ,X000027.SZ,X002470.SZ,X002460.SZ,X000630.SZ,X000012.SZ,X600176.SH,X000060.SZ,X000761.SZ,X600021.SH,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.085634487798928,0,0,0,0,0,0,0,0.0891951727477269,0,0,0,0,0,0,0,0.111208267932065,0,0,0,0,0,0,0,0,-0.0170884396597521,-0.0486752918844288,0,0,0,0,0,0,0,-0.0285073111320624,0,0,0.0413624305146874,0,0,0,0,0,-0.00541281401563666,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.21317905013295,0,-0.0360329949132728,0,0,0,-0.0098004116520414,0,0,0,0,0,0,0.0159042818789748,0,0,0,0,0,0,0,0,0,0,0,0.0292268264562361,0,0,0,0,-0.0247513137716414,0,0,0.0246120738671664,0,0,0,0,0,0,0,0,0,0,0.00627463647634892,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.0764997359092582,0,0,0,0,0.00350485356492162,0,0.0603897911708503,0,0,0,0,0,0,0.0589377961432251,0.0040310066605965,-0.0117121727915216,0,0,0,0,0,0,0,0,0,0.010723189178845,0,0,0,0,0,0.118951519679527,0,0,0,0,0,0,0,0,0,0,0,0.0163559611845235,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0557032188151722,0,0,0,-0.0573114839084772,0,0,0,0,0,0.0300395581380016,0,0,0,0,0.0353386991668286,0,0,0,0,0,0,-0.00965560562651627,0,0,0,0,0.0186235364159171,0,0,0,0,0,0,0.323052116561547,0,0.0101866429391862,0,0,0,0,0,0,0,0,-0.0112246606556901,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.112791773961069,0,0,0,0,0.324639963872545,0,0,0,0,0,0,0,0,0,0,0.0181174073062405,0,0,0,0,0,0.050897409850826,0.0937978593667636,0,0,0,0,0.0397849474669002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118476544239326,0,0,0,0,0.025436108141466,0.0453626543300924,0,0,0,0,0,0,0.0578103957706058,0,0,0,0.0600876602947395,0,0.119201128997108,0,0.112344433703669,-0.0595102121374758,0.0362187888726457,0,0,0,0,0,0,0,0,0,0,0,0,0.0414604503864767,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.0244406038267539,0,0.090994566177531,0,0.0455346101048176,0,0.120185698946857,0,0,0,0,0.0253025020276644,0,0,0,0,0,0,-0.0832396416135555,0,0,0.0418132212685294,0,0.0279839794163013,0,0,0,0.117831476853327,0,0,0,0,0.123882912365888,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211345319582068,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.0480884470296981,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113899173425202,0,0,0.0133381451594886,0,0.122041157179266,0.0223532632728566,0,0,0,0,0.0427858696760803,0.0828606962502058,0,0,0,0,0.201151603284981,0,0,0.0238353163656812,0,0,0,0,0.152859739602379,0,0,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.116511541185079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243223138055987,0.217185883675117,0,0,0,0,0.0497572447004605,0,0,0,0,0,0,0,0,0,0,0.0397129060729908,0.0587455510293998,0,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.0428226136134426,0,0,0,0,0,0.0633550593154122,0,0,0,0.0368197026285471,0,0,0.0193523255699262,0,0,0,0,0,0.0117806917638758,0,0,0,0,0.0167178641912314,0,0,0,0,0,0,0,0,0,0.0454768484511815,0,0.00299174534413926,0,0,0.0907013143820885,0,0,0,0,0,0,0,0,0,0,0,0,0
