,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600188.SH,X600660.SH,X600019.SH,X601600.SH,X600547.SH,X600886.SH,X600585.SH,X600011.SH,X600795.SH,X000792.SZ,X600362.SH,X600489.SH,X600010.SH,X600111.SH,X600803.SH,X600027.SH,X000708.SZ,X002460.SZ,X000301.SZ,X601991.SH,X600160.SH,X600219.SH,X600426.SH,X000983.SZ,X000807.SZ,X000786.SZ,X601699.SH,X002466.SZ,X000630.SZ,X600985.SH,X000408.SZ,X601168.SH,X600176.SH,X002128.SZ,X600096.SH,X000933.SZ,X000877.SZ,X000883.SZ,X002353.SZ,X600352.SH,X600995.SH,X600378.SH,X600863.SH,X600612.SH,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.428360042975011,0,0,0.11463407538938,0.0754067292060162,0,0,0.0354548621947212,0,0.135555613704458,0,0,0,0,0,0.0896506117690719,0,0,0,0,0,0,0,0,0,0.147380903307576,0,0,0,0,0,0,0.238730979682118,0,0,4.33680868994202e-19,0,0,0,6.93889390390723e-18,0,0,0.0423721175215199,0,0,0,0,0,0,0,-0.0329226640104586,-0.0149255280896718,0,0,0,-0.00996470978933131,0,0
X600028.SH,0.280109157952309,0,0.141730778503047,0,0.118953083502428,0,0,0,0,0,0.0853041747276621,0,0,0.24729280830733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0562438273524899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102953679306005,0,0.0793806991246621,0,0,-0.00430846370830575,0,0
X601088.SH,0,0.11758014786753,0,0,0.159383320774711,0.14406042329691,0,0,0,0,0,0,0,0.144797924870895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0236517420291459,0,0,0,0,0,0,0,0.0337589999019322,0,0,0,0,0,0,0.0412270286391953,0,0,0,0,-0.0171932140390872,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291850466888117,0,0,0.0414116679655536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24127737885066,0,0,-0.0878500380764871,-0.0370075615806365,0,0,0,0,0,0
X601898.SH,0,0.215974515213938,0.341316387068587,0,0,0.149555317860379,0,0,0,0,0,0,0,0,0,0,0.0815121750937149,0,0,0,0,0,-0.0232669620293773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033382642184377,0,0,0.145647919923369,0,0,0,0,0.0792140407464124,0,0,0,0,0,0,0,0,0.00971834251973267,0,0
X600188.SH,0,0,0,0,0.174164410407207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158576824817766,0,0,0.56569339973367,0,0,0,0,0,0,0,0,0,0,0,0,0.159346185486487,0,0,0,0,0,0,0,0,-0.0400392199552006,0,0
X600660.SH,0,0,0,0.0798763394474215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218572797203871,0,0,0.0556688849891396,0,0,0,0,0,-0.0590712768961956,0,0,0,0,-0.0692762042154157,0,0,0,0,0,0,0,0,0,-0.102045436636263,0,-0.281990342355998,0,0,0,0,0
X600019.SH,0,0.267497546728559,0,0.0138317394581207,0,0,0.00563431237367105,0,0,0,0,0,0.118938630915076,0,0.103324484264925,0,0.144058681475211,0,0,0,0,0.0946127033440482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0475022253158418,0,0,0,-0.0284271863616785,0,-5.42101086242752e-20,0,0,0,-0.0344638828090942,0,0
X601600.SH,-8.67361737988404e-19,0,0,0,0,0.0311589769970631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0772286150127128,0,0,0,0,0.0116619818239445,0,0,0,0.216577894208951,0,0,0,0,0,0,0.360911959701946,0,0.204500908062517,0,0.0517721968416153,0,0,0,0,0,0,0.0933730428679542,0,0,0,-0.00258634268257506,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0.112330039729241,0,0,0,0,0,0,0,0,-0.120303250421944,0,0.707751503974546,0,0,0.0212370364120572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325183920444167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0309069925493317,0.0337364637924764,0,0,0,-0.00655001993509383,0,0
