,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X601898.SH,X600010.SH,X601991.SH,X601600.SH,X600795.SH,X600886.SH,X600188.SH,X600362.SH,X600111.SH,X600027.SH,X600309.SH,X600688.SH,X601992.SH,X000792.SZ,X600157.SH,X600583.SH,X601158.SH,X600352.SH,X000898.SZ,X000709.SZ,X000831.SZ,X600547.SH,X002353.SZ,X600489.SH,X000539.SZ,X600008.SH,X000630.SZ,X000825.SZ,X000027.SZ,X600660.SH,X002470.SZ,X600021.SH,X000629.SZ,X600549.SH,X600315.SH,X600808.SH,X600578.SH,X600307.SH,X600098.SH,X601699.SH,X000983.SZ,X600863.SH,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.679158435429593,0,0,0,0,0,0,0,0.0390831290833478,0,0,0.098420371950162,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198013068979165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00304553866896033,0,0,0,0,0,0
X600028.SH,0.493488191630687,0,0,0,0,0,0,0,0,0.00509467752606448,0,0,0.0166365575819435,0,0,0,0,0.417744463569815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0393174735430447,-0.0109960572326506,0,0.00469704257548133,0,0,0,0
X601088.SH,0,0.0874019447995923,0,0,0.0612023624112409,0,0,0,0,0,0,0.0642215355392208,0.0617611204178686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958507971168343,0.452701565854004,0,0,0,0,0.000154681174112919,0,0,0,0,0,0
X600011.SH,0.0810096814548327,0.0160771800809271,0,0,0,0,0.0569790604934308,0,0.113034217240299,0,0.0897973838763636,0,0.0335862094248775,0,0,0.0997578021127607,0,0,0,0,0,0,0,0,0,0.0694002323687321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515222362098265,0.23174815650151,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0
X600019.SH,0.0117480984824827,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.375614401184258,0.289786787308213,0,0,0,0,0,0,0,0,0,0,0,0.0169138971054776,0,0,0,0,0,0,0,0.134944186510797,0,0,0,0,-0.0534611745077936,-0.0176670175354593,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510174040945675,0.0353956481760239,0,0,0.144097350120758,0,0,0,0,0.0330170316252831,0,0,0,0,0,0,0,0,0.140244284776566,0,0,0,0,0,0,0,0,0.0590570248410901,0.148082561528931,0,0,0,0,0,0.00157227796833893,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.118337150080811,0.0810590354492143,0,0,0,0,0,0,0,0,0,0,0.0453435999146417,0,0,-0.00604907642225272,0,0,0,0,0,0,0,0,0,0,0.00939752456401676,0,0,0,0.146351896577582,0,0,0,0,0.0168291031354611,0,0.240588544496825,0.270554633121626,0,0,0,0,-0.00266473168430429,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0691351639138437,0,0,0,0,0.50007234244871,6.93889390390723e-18,0.048468184783281,0,0,0,0,0,0,0.0755102713130266,0,0,0,0,0,0,0.183676859271839,0,0,0,0,0,0,0,0,0,0,-0.0153101400921919,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.104399793213302,0,0,0.315543715812605,0.122971699231418,0.00721676823520409,0,0,0,0.0606735853586795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229806382171834,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0239092183115931,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.239331263233645,0,0.170367916780993,0,0,0.140639215746672,0,0,0,0,0,0,0.0261947939852862,0,0,0,0,0,0,0,0,0,0,0,0,0.170506931002737,0,0.026563879081179,0,0,0,0,0.0492334123201906,0,0,0,0,0,0,0,0,0,0,0,-0.00710238713153198,-0.0150500328425734,0,0,0,0,0,0
